hotel,hotel_url,description,popular_facilities,highres_url,city,country
PousaDinháChica Hospedagem perto de Tiradentes Minas Gerais,https://www.booking.com/hotel/br/cobertura-15min-do-centro.es.html?aid=2410095,"PousaDinháChica Hospedagem perto de Tiradentes Minas Gerais dispone de vistas a la montaña, wifi gratis y parking privado gratis. Se encuentra en São João del Rei, a 13 km de Estación de autobús de São João del Rei.

La casa o chalet ofrece terraza, vistas a la ciudad, zona de estar, TV de pantalla plana, cocina totalmente equipada con nevera y horno, y baño compartido con ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

También hay un jardín ideal para relajarse.

Estación de autobús de Tiradentes está a 22 km del alojamiento, y Estación de tren São João del Rei está a 12 km.","Muebles de exterior, Terraza, Inglés, Bar, TV de pantalla plana, Productos de limpieza, Ropa de cama, Escritorio, Zona de comedor, Vistas al jardín, Plancha para ropa, Sofá cama, Balcón, Vistas a un lugar de interés, Sofá, WiFi gratis, Enchufe cerca de la cama, Tendedero, Servicio de streaming (como Netflix), Patio, Zona de estar, Ventilador, Fogones, Barbacoa, Horno, TV, Español, Independiente, Bañera o ducha, Utensilios de cocina, Vistas a la ciudad, Ducha, Secadora de ropa, Vistas a un patio interior, Mesa de comedor, Vistas, Toallas, Artículos de aseo gratis, Senderismo, Jardín, Proporciona factura, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Portugués, Aseo adicional, Toallas / sábanas (por un suplemento), Acceso a pisos superiores solo mediante escaleras, WC, Accesible para personas sordas, Baño compartido, Habitaciones familiares, Zona de comedor exterior, Cocina, Lavadora, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/502908540.jpg?k=a11d965b52983efb3305cb5001e7bad03fff97922505b8c8c24e7240c3c7980c&o=&hp=1,São João del-Rei,Brasil
Hotel Lenheiros,https://www.booking.com/hotel/br/lenheiros.es.html?aid=2410095,"El hotel Lenheiros está situado frente a la pintoresca estación de tren de Maria Fumaça, a solo 50 metros del centro histórico de São João del Rey. Ofrece un restaurante y habitaciones amplias con conexión Wi-Fi gratuita.

Algunas cuentan con muebles de estilo colonial y ventanas amplias. TV, teléfono, minibar y aire acondicionado.

El desayuno buffet incluye fruta de temporada y especialidades como el popular pan de queso. También se ofrecen pizzas y platos brasileños. Los huéspedes también pueden disfrutar de licores de calidad en el bar de whisky.

El Hotel Lenheiros se encuentra a 400 metros de las plazas históricas de Largo do Rosário y Largo da Cruz. La estación de autobuses de São João Del Rey está a 4 km. Hay servicio de aparcacoches gratuito a 100 metros.","Terraza, Bar, TV de pantalla plana, Servicio de lavandería, Restaurante, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Teléfono, Mobiliario exterior, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Terraza / solárium, Bañera o ducha, Guardaequipaje, Servicio de planchado, Ducha, Armario, Servicio de aparcacoches, Artículos de aseo gratis, Billar, Servicio de limpieza diario, Sala de juegos, Jardín, Canales por cable, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Secador de pelo, Radio, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/29606066.jpg?k=269c1aa31c254235a1164a3451139350799f6c1874fce5fe8f16d279fd148397&o=&hp=1,São João del-Rei,Brasil
Vicenza Apart Hotel,https://www.booking.com/hotel/br/vicenza-apart.es.html?aid=2410095,"El Vicenza ofrece apartamentos dúplex en una zona residencial, a solo 400 metros del centro histórico de São João del Rei. Cuenta con WiFi gratuita, aparcamiento gratuito y gimnasio.

Los apartamentos del Vicenza Apart Hotel disponen de aire acondicionado, TV, caja fuerte electrónica, zona de estar, zona de cocina y baño con secador de pelo. Hay servicio de habitaciones las 24 horas.

Se sirve un desayuno variado en las habitaciones, así como café y té en el vestíbulo. Además, se proporciona servicio de masajes terapéuticos por un suplemento.

El Vicenza Apart Hotel está enfrente de la pintoresca estación de tren Maria Fumaça, que conecta con otras localidades históricas, como Tiradentes, ubicada a 12 km. El balneario Águas Santas está a solo 6 km.","Inglés, Servicios de belleza, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Masajes, Escritorio, Zona de comedor, Perchero, Sofá, WiFi gratis, Enchufe cerca de la cama, Zona de estar, Teléfono, Servicio de despertador, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Caja fuerte, Microondas, Guardaequipaje, Utensilios de cocina, Canales vía satélite, Servicio de planchado, Ducha, Servicio de despertador / alarma, Armario, Servicio de aparcacoches, Gimnasio, Toallas, Artículos de aseo gratis, Suelo de baldosa / mármol, Proporciona factura, Almuerzos para llevar, Desayuno en la habitación, Servicio de habitaciones, Nevera, Parking gratis, Baño privado, Caja fuerte para ordenador portátil, Secador de pelo, Radio, Recepción 24 horas, Detectores de humo, Ascensor, Acceso a pisos superiores solo mediante escaleras, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/44164748.jpg?k=0778e1ee72660ec4d885ec9e52605642da180e25371d4d71d6b413f47c6d5be9&o=&hp=1,São João del-Rei,Brasil
Pousada Rotunda,https://www.booking.com/hotel/br/pousada-rotunda.es.html?aid=2410095,"La encantadora Pousada Rotunda está a 600 metros del Museo de Trenes de São João del Rey. Ofrece piscina al aire libre, sauna, sala de juegos, conexión Wi-Fi gratuita y aparcamiento.

Todas las habitaciones presentan una decoración rústica pero elegante y cuentan con suelo de madera, TV LCD con canales por cable, minibar y baño privado. Algunas tienen aire acondicionado.

El hotel Pousada Rotunda sirve un desayuno bufé en una zona de comedor, decorada con tonos cálidos y elementos de madera. El desayuno incluye gran variedad de panes, quesos y frutas. Los huéspedes también podrán disfrutar de bebidas en el bar o en el patio.

El hotel está a 400 metros de uno de los principales lugares de interés de Minas Gerais, el Teatro Municipal, así como a solo 8 minutos a pie de la congregación de San Francisco de Asís.

La tienda de regalos ofrece algunas de las artesanías de la zona. Hay servicio de lavandería y recepción las 24 horas.","Tumbonas/sillas de playa, Bar, Abierta todo el año, TV de pantalla plana, Extintores, Sombrillas, Vistas al jardín, Escritorio, Perchero, Adaptado personas de movilidad reducida, Zona poco profunda, WiFi gratis, Enchufe cerca de la cama, Baño de vapor, Piscina al aire libre, Teléfono, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, Muy buen desayuno, WC elevado, TV, Minibar, Centro de negocios, Sauna, Ducha, Armario, Toallas, Artículos de aseo gratis, Billar, Para todas las edades, Sala de juegos, Jardín, Canales por cable, WC con barras de apoyo, Servicio de habitaciones, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Toallas de playa/piscina, Zona TV / salón de uso compartido, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/81515300.jpg?k=88c211d75b1c4047da4553e35fb6d7c8aa56ea3bed1aefa50ce6e97e6bfa3466&o=&hp=1,São João del-Rei,Brasil
Hotel Trilhos de Minas,https://www.booking.com/hotel/br/trilhos.es.html?aid=2410095,"El Hotel Trilhos de Minas goza de una ubicación céntrica en la zona comercial de São João Del Rei y ofrece alojamiento práctico con conexión Wi-Fi gratuita. Además, hay servicio de habitaciones y recepción 24 horas.

Las habitaciones del Trilhos de Minas están equipadas con TV de pantalla plana. Habitación con aire acondicionado, TV, teléfono, armario, nevera y baño privado con ducha de agua caliente.

Todos los días se sirve un desayuno buffet que incluye fruta fresca variada, pan y embutidos. El restaurante del hotel ofrece especialidades regionales y una selección de bebidas.

El aeropuerto Otavio de Almeida Neves está a 2 km. El hotel se encuentra a 7 km del centro de São João Del Rey y a 5 km de la estación de autobuses. Hay aparcamiento disponible con reserva previa.","TV de pantalla plana, Extintores, Desayuno fabuloso, Llave de acceso, Restaurante, Ropa de cama, Perchero, WiFi gratis, Enchufe cerca de la cama, Registro de entrada / salida privado, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Minibar, Centro de negocios, Bañera o ducha, Canales vía satélite, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Servicio de limpieza diario, Senderismo, Suelo de baldosa / mármol, Campo de golf (a menos de 3 km), Almuerzos para llevar, Canales por cable, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, WC, Aire acondicionado, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/80084186.jpg?k=e6e9edb9485b807c6735ccc02658280ad7c7fc571741ab096292c32829e42b97&o=&hp=1,São João del-Rei,Brasil
Pousada Trilha da Serra,https://www.booking.com/hotel/br/pousada-trilha-da-serra-sao-joao-del-rei.es.html?aid=2410095,"Pousada Trilha da Serra está en São João del Rei, a 6,7 km de Estación de autobús de Tiradentes, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. El alojamiento ofrece bar y se encuentra a 8 km de Estación de autobús de São João del Rei. El alojamiento ofrece club infantil y wifi gratis.

En la posada u hostería, las habitaciones están equipadas con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

En Pousada Trilha da Serra se sirve todas las mañanas un desayuno buffet.

Puedes jugar al billar en el alojamiento.

Largo das Forras está a 6,7 km del alojamiento, y Campo do Aymorés está a 6,9 km.","Tumbonas/sillas de playa, Bar, Abierta todo el año, TV de pantalla plana, Extintores, Ropa de cama, Zona de fumadores, Sombrillas, Perchero, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Ventilador, Piscina al aire libre, Cámaras de seguridad en las zonas comunitarias, TV, Canales vía satélite, Ducha, Papel higiénico, Armario, Toallas, Artículos de aseo gratis, Billar, Servicio de limpieza diario, Para todas las edades, Jardín, Canales por cable, Parking gratis, Baño privado, Desayuno excepcional, Horario de apertura, Toda la unidad en la planta baja, Zona TV / salón de uso compartido, WC, Toallas de playa/piscina, Club infantil, Portugués, Balcón, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/196112358.jpg?k=f62be37c95ff51f76a4e8c08573f3d3104d40a70b58811befbb4b5b73a2413af&o=&hp=1,São João del-Rei,Brasil
Pousada Estação do Trem,https://www.booking.com/hotel/br/pousada-estacao-do-trem.es.html?aid=2410095,"El Pousada Estação do Trem presenta una elegante arquitectura de estilo colonial con palmeras. Se encuentra a 50 metros de la estación de tren de São João del Rei` y a 2 km de la estación de autobuses.

Las habitaciones de la Estação do Trem Pousada están bien iluminadas y presentan muebles de madera y paredes coloridas con escenas locales. Todas disponen de minibar, TV y baño privado.

Todos los días se sirve un desayuno con cruasanes, galletas y fruta de temporada.  El establecimiento goza de una ubicación céntrica, cerca de varios restaurantes, bares y locales de ocio.

La recepción de la Pousada Estação do Trem está abierta las 24 horas y proporciona aparcamiento gratuito.","Muebles de exterior, Inglés, Bar, TV de pantalla plana, Extintores, Desayuno fabuloso, Ropa de cama, Zona de fumadores, Plancha para ropa, Perchero, WiFi gratis, Enchufe cerca de la cama, Registro de entrada / salida privado, Ventilador, Teléfono, Alarma de seguridad, Servicio de despertador, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Canales vía satélite, Ducha, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Jardín, Proporciona factura, Canales por cable, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Secador de pelo, Recepción 24 horas, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/158929746.jpg?k=7246a047722a325039929b7b8a341b0e6c942f868f62d3bc6f2b56b1f2c24b22&o=&hp=1,São João del-Rei,Brasil
Pousada Sinhá Moça Campos Ltda,https://www.booking.com/hotel/br/pousada-sinhaps-moassa.es.html?aid=2410095,"El Sinhá Moça, situado a 1.100 metros del centro de São João del Rei, es una posada rústica que ofrece Wi-Fi. Todos los días se sirve un desayuno buffet que incluye una variedad de especialidades regionales.

Las habitaciones presentan una decoración rústica y disponen de TV, minibar y ventilador. Incluyen baño privado con ducha.

La Pousada Sinhá Moça Campos Ltda se encuentra a 1.000 metros de la iglesia de Nossa Senhora do Pilar y a 1.100 metros de la iglesia de San Francisco de Asís. La estación de autobuses de São João del Rei está a solo 80 metros.

Solo se admiten huéspedes de terceros bajo petición.","Parking en un garaje, Parking privado, Servicio de planchado, Prohibido fumar en todo el alojamiento, Portugués, Servicio de lavandería, Desayuno excepcional, Extintores, Servicio de limpieza diario, Zona de fumadores, Recepción 24 horas, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Habitaciones familiares, WiFi gratis, Habitaciones sin humo, Taquillas, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/130371149.jpg?k=518a4942837bdbd5c2243ec0d27c9d1aa8b9b45f46adcbdd63aa6f51379b8117&o=&hp=1,São João del-Rei,Brasil
Terra D` Ouro Apart Hotel,https://www.booking.com/hotel/br/serra-d-ouro-apart-sao-joao-del-rei.es.html?aid=2410095,"Terra D` Ouro Apart Hotel se encuentra en São João del Rei, a 15 min a pie de Estación de autobús de São João del Rei, y ofrece alojamiento con centro de fitness, parking privado gratis, jardín y salón de uso común. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El bar es ideal para tomar algo.

En el hotel, cada habitación tiene escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones cuentan con nevera.

En Terra D` Ouro Apart Hotel se puede disfrutar de un desayuno buffet.

Estación de autobús de Tiradentes está a 10 km del alojamiento, y Estación de tren São João del Rei está a 3,5 km.","Acceso a pisos superiores en ascensor, Bar, Snack-bar, TV de pantalla plana, Extintores, Desayuno fabuloso, Ropa de cama, Zona de fumadores, Escritorio, Zona de comedor, WiFi gratis, Registro de entrada / salida privado, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Parking adaptado para personas de movilidad reducida, TV, Microondas, Ducha, Salas de reuniones / banquetes, Toallas, Gimnasio, Servicio de limpieza diario, Jardín, Proporciona factura, Seguridad 24 horas, Servicio de habitaciones, Nevera, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Zona de spa / relajación, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Galerías de arte temporales, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/273280049.jpg?k=973be433b1ea3972b9f98d5d77b1b83cdbd76cfbfb67571161fed6f35db28672&o=&hp=1,São João del-Rei,Brasil
Pouso São João,https://www.booking.com/hotel/br/aconchego-mineiro-sao-joao-del-rei.es.html?aid=2410095,"Pouso São João, que tiene vistas a la ciudad, dispone de alojamiento con balcón y hervidor a unos 1,9 km de Estación de autobús de São João del Rei. El alojamiento está a 11 km de Estación de autobús de Tiradentes y tiene wifi gratis en todo el alojamiento.

El apartamento incluye 1 dormitorio, una sala de estar y 1 baño con artículos de aseo gratuitos y ducha. Hay toallas y ropa de cama en el apartamento.

Estación de tren São João del Rei está a 4 min a pie del alojamiento, y Santuario de la Santísima Trinidad está a 10 km. El aeropuerto (Aeropuerto Presidente Itamar Franco) está a 176 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Acceso a pisos superiores en ascensor, Tetera / cafetera, TV de pantalla plana, Productos de limpieza, Ropa de cama, Escritorio, Vistas a un lugar de interés, WiFi gratis, Enchufe cerca de la cama, Traslado aeropuerto, TV, Prohibido fumar en todo el alojamiento, Minibar, Utensilios de cocina, Vistas a la ciudad, Ducha, Mesa de comedor, Armario, Toallas, Artículos de aseo gratis, Vistas, Suelo de baldosa / mármol, Hervidor eléctrico, Baño privado, Ascensor, WC, Habitaciones familiares, Portugués, Balcón, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/575525340.jpg?k=d10f695997bf63036dac8b1099d94127f918a32c6293613afe20bf29bc688b0c&o=&hp=1,São João del-Rei,Brasil
