hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Dan Inn São José dos Campos,https://www.booking.com/hotel/br/dan-inn-sao-jose-dos-campos.es.html?aid=2410095,"Este hotel ofrece alojamiento con aire acondicionado, TV por cable y acceso gratuito a internet en el centro de São José dos Campos, cerca de bancos, supermercados, centros comerciales, farmacias y buenos restaurantes.

El Hotel Dan Inn São José dos Campos ofrece piscina en la azotea, con vistas de la ciudad.

Los huéspedes también podrán disfrutar de sauna y gimnasio. El hotel también dispone de un restaurante y el bar americano, donde podrá deleitarse con sabrosos platos y sus bebidas favoritas.","Tumbonas/sillas de playa, Acceso a pisos superiores en ascensor, Inglés, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Escritorio, Sombrillas, Menús para dietas especiales (bajo petición), Perchero, WiFi gratis, Parking privado, Baño de vapor, Piscina al aire libre, Barbacoa, Teléfono, Fruta, Servicio de despertador, Fax / fotocopiadora, Alarma de seguridad, Suelo de madera o parquet, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Terraza / solárium, Centro de negocios, Español, Caja fuerte, Sauna, Guardaequipaje, Canales vía satélite, Ducha, Papel higiénico, Salas de reuniones / banquetes, Toallas, Gimnasio, Artículos de aseo gratis, Billar, Servicio de aparcacoches, Servicio de limpieza diario, Solo para adultos, Canales por cable, Seguridad 24 horas, Parking en un garaje, Baño privado, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/134908132.jpg?k=c3fe200bcda4684a6a598bc6f3a6d86f85b5a3943b15e885a95a6534d7ac7bdc&o=&hp=1,São José dos Campos,Brasil
Hotel Nacional Inn São José dos Campos,https://www.booking.com/hotel/br/promenade-enterprise.es.html?aid=2410095,"El Hotel Nacional Inn São José dos Campos ofrece TV por cable, conexión WiFi gratuita, piscina, gimnasio y aparcamiento privado. Queda junto a la entrada de São José dos Campos, junto a la carretera Dutra y el centro comercial Center Vale.

Las habitaciones luminosas de este hotel de 4 estrellas disponen de aire acondicionado, teléfono, sistema de sonido y minibar, además de baño privado con ducha de agua caliente.

Por las mañanas se sirve un desayuno buffet abundante con frutas tropicales y bollería recién hecha. Este hotel Nacional Inn también alberga una zona amplia y moderna con sauna y bañera de hidromasaje.

El Hotel Nacional Inn São José dos Campos se encuentra a 10 minutos en coche de la estación de autobuses y a 15 minutos en coche del aeropuerto de São José dos Campos. Junto al hotel hay un supermercado.","Peluquería / salón de belleza, Acceso a pisos superiores en ascensor, Inglés, Bar, Servicio de lavandería, Extintores, Desayuno fabuloso, Insonorización, Restaurante, Ropa de cama, Masajes, Utensilios de planchado, Vistas a un lugar de interés, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Parking privado, Baño de vapor, Piscina al aire libre, Teléfono, Fruta, Alarma de seguridad, Servicio de despertador, TV, Habitaciones insonorizadas, Minibar, Caja fuerte, Sauna, Guardaequipaje, Canales vía satélite, Paquetes de spa / bienestar, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Gimnasio, Artículos de aseo gratis, Billar, Servicio de aparcacoches, Sala de juegos, Bañera de hidromasaje / jacuzzi, Canales por cable, Servicio de habitaciones, Parking en un garaje, Baño privado, Vino / champán, Secador de pelo, Zona de juegos interior, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Zona de comedor exterior, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/419711154.jpg?k=c40dc78837811780cbb4506eb9591d0572a21e4789c3f7773427e30eec424ec4&o=&hp=1,São José dos Campos,Brasil
Hotel Modena - São José dos Campos,https://www.booking.com/hotel/br/modena.es.html?aid=2410095,"El Hotel Modena - São José dos Campos está en el centro de la ciudad de São José dos Campos y proporciona conexión Wi-Fi gratuita y aparcamiento. Tiene un servicio de recepción 24 horas y se encuentra a 10 km de la estación de autobuses de São José dos Campos.

Las habitaciones del Hotel Modena - São José dos Campos presentan una decoración sencilla y son amplias y luminosas. Disponen de una TV de pantalla plana por cable, un minibar y un baño privado con ducha de agua caliente.

El hotel sirve a diario un desayuno bufé compuesto de fruta fresca, panes y embutidos. Alberga un restaurante que ofrece especialidades regionales y una selección de bebidas.

El Hotel Modena - São José dos Campos se encuentra a 800 metros del acceso a la autopista Presidente Dutra, a 1,5 km del centro comercial Center Vale y a 70 km del aeropuerto internacional de Guarulhos.","Acceso a pisos superiores en ascensor, Inglés, TV de pantalla plana, Extintores, Llave de acceso, Detector de monóxido de carbono, Ropa de cama, Zona de fumadores, Escritorio, Toda la unidad accesible en silla de ruedas, WiFi gratis, Enchufe cerca de la cama, Registro de entrada y salida exprés, Teléfono, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Español, Canales vía satélite, Ducha, Armario, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Suelo de baldosa / mármol, Canales por cable, Seguridad 24 horas, Parking gratis, Baño privado, Parking en un garaje, Portugués, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Zona de spa / relajación, Habitaciones familiares, Taquillas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/307541735.jpg?k=dedec9c5e868c0a4b5d6ce691dba4017d8e9929d957b1c8cc64272da9e25706e&o=&hp=1,São José dos Campos,Brasil
Astro Hotel,https://www.booking.com/hotel/br/astro.es.html?aid=2410095,"Just 8 km from Professor Urbano Ernesto Stumpf airport, Astro features free WiFi and air-conditioned rooms. Located in São José dos Campos, it offers a daily breakfast at its restaurant.

With an LCD cable TV, minibar and work desk, all rooms offer a simple, modern décor. All include a private bathroom with a shower.

Astro Hotel is 3 km from São José dos Campos Municipal bus station, and 1.000 metres from Dutra Highway’s access. Poliedro School is just 50 metres away, and private parking is free.","Acceso a pisos superiores en ascensor, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Zona de fumadores, Escritorio, WiFi gratis, Enchufe cerca de la cama, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Minibar, Guardaequipaje, Vistas a la ciudad, Servicio de planchado, Ducha, Armario, Vistas, Toallas, Buen desayuno, Servicio de limpieza diario, Suelo de baldosa / mármol, Canales por cable, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Portugués, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Taquillas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/353077890.jpg?k=8d2078f6d4aaa42aaa3e82b735f8dada2ce2e385a29df128370d050ebb113e6a&o=&hp=1,São José dos Campos,Brasil
HOTEL LAREIRA,https://www.booking.com/hotel/br/lareira.es.html?aid=2410095,"HOTEL LAREIRA está en São José dos Campos, en la región de Estado de São Paulo, a 45 km de Sítio do Picapau Amarelo. Este hotel de 2 estrellas ofrece recepción 24 horas, servicio de conserjería y wifi gratis. El hotel tiene habitaciones familiares.

En el hotel, las habitaciones cuentan con armario, TV, baño privado, ropa de cama y toallas.

El aeropuerto (Aeropuerto regional de São José dos Campos) está a 5 km.","Extintores, Ropa de cama, WiFi gratis, Enchufe cerca de la cama, Ventilador, Teléfono, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, TV, Ducha, Armario, Toallas, Buen desayuno, Servicio de limpieza diario, Canales por cable, Parking gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/183290718.jpg?k=668106202b0ea7ca6007945870f595ccf8f32a34de7f1ba7f1181f8b3a3c5fc5&o=&hp=1,São José dos Campos,Brasil
ibis Sao Jose dos Campos Colinas,https://www.booking.com/hotel/br/ibis-sao-jose-dos-campos-colinas.es.html?aid=2410095,"El Ibis Sao Jose dos Campos Colinas ofrece alojamiento en São José dos Campos. El establecimiento cuenta con bar y restaurante de cocina internacional. Además, hay aparcamiento privado y WiFi gratuita.

Las habitaciones del Ibis Sao Jose dos Campos Colinas disponen de escritorio, baño privado con ducha, secador de pelo y artículos de aseo gratuitos y TV de pantalla plana con canales por cable.

Se sirve un desayuno buffet diario.

El establecimiento tiene solárium.","Acceso a pisos superiores en ascensor, Inglés, Bar, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Boles para mascotas, Restaurante, Ropa de cama, Escritorio, Cajero automático en el hotel, Menús para dietas especiales (bajo petición), Insonorización, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Hipoalergénico, Registro de entrada y salida exprés, Parking privado, Teléfono, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Español, Caja fuerte, Guardaequipaje, Vistas a la ciudad, Servicio de planchado, Ducha, Papel higiénico, Salas de reuniones / banquetes, Armario, Toallas, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de limpieza diario, Canales por cable, WC con barras de apoyo, Seguridad 24 horas, Cafetería en el alojamiento, Ruta de bares, Parking en un garaje, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/252001349.jpg?k=fe59db8db6b39fe8be48e09eaa60788d7137bd09acd959690fa8bf4d1dbea558&o=&hp=1,São José dos Campos,Brasil
Carlton Plaza São José dos Campos,https://www.booking.com/hotel/br/comfort-sao-jose-dos-campos.es.html?aid=2410095,"Este hotel se encuentra en el barrio de Jardim Paulista, a 8 minutos en coche del aeropuerto, y ofrece piscina al aire libre, gimnasio y WiFi gratuita. Hay aparcamiento privado.

Los alojamientos del Carlton Plaza São José dos Campos son modernos y tienen TV por cable y escritorio. Algunos también incluyen zona de estar y TV LCD.

El restaurante Ouro Preto sirve cocina Mineira. Además, los huéspedes podrán tomar copas en el bar del vestíbulo del hotel.

El Carlton Plaza São José dos Campos se halla a 20 minutos a pie del centro comercial Centre Vale y a 15 minutos en coche del Instituto Tecnológico de Aeronáutica.","Tumbonas/sillas de playa, Terraza, Inglés, Bar, Tarjeta de acceso, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Ropa de cama, Escritorio, Zona de fumadores, Sombrillas, WiFi gratis, Enchufe cerca de la cama, Parking privado, Piscina al aire libre, Teléfono, Fruta, Fax / fotocopiadora, Servicio de despertador, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Caja fuerte, Guardaequipaje, Vistas a la ciudad, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de limpieza diario, Solo para adultos, Canales por cable, Seguridad 24 horas, Servicio de habitaciones, Parking en un garaje, Baño privado, Italiano, Vino / champán, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/282474341.jpg?k=6292fd67be8c60b8385c1a00da748f1fed3745797eebdb838a54a984da03cd7b&o=&hp=1,São José dos Campos,Brasil
Plaza Hotel São José dos Campos,https://www.booking.com/hotel/br/plaza-hotel-sao-jose-dos-campos.es.html?aid=2410095,"El Hotel Plaza São José dos Campos, situado a 400 metros de la estación de autobuses y a 800 del centro de São José dos Campos, alberga un restaurante y proporciona conexión Wi-Fi gratuita.

Las habitaciones del Plaza Hotel presentan una decoración en tonos blancos con edredones vistosos e incluyen TV de pantalla plana por cable, aire acondicionado, minibar y baño privado con ducha. Se proporciona servicio de despertador.

El Plaza Hotel São José dos Campos dispone de recepción abierta las 24 horas y alberga una sala de reuniones y una máquina expendedora. Además, proporciona servicio de lavandería y sirve un desayuno buffet diario compuesto de diversos tipos de pan, bollería, fruta y una selección de bebidas frías y calientes.

El centro comercial Center Vale queda a 1,5 km y el aeropuerto de São José dos Campos, a 3 km, al igual que el parque Santos Dumont y el Parque da Cidade. Se proporciona aparcamiento gratuito.","Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, WiFi gratis, Parking privado, Teléfono, Cámaras de seguridad en las zonas comunitarias, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Minibar, Guardaequipaje, Servicio de planchado, Ducha, Armario, Toallas, Buen desayuno, Servicio de limpieza diario, Proporciona factura, Canales por cable, Seguridad 24 horas, Baño privado, Recepción 24 horas, Detectores de humo, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, WC, Aire acondicionado, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/172928447.jpg?k=3d90984f02a294668672f51ce757b915679f175f885671f7e7efea6bb17ed0ae&o=&hp=1,São José dos Campos,Brasil
ibis Sao Jose dos Campos Dutra,https://www.booking.com/hotel/br/ibis-sao-jose-dos-campos-dutra.es.html?aid=2410095,"Ibis Sao Jose dos Campos Dutra está en São José dos Campos, a 48 km de Sítio do Picapau Amarelo, y dispone de alojamiento con jardín, parking privado, restaurante y bar. Este hotel de 3 estrellas tiene habitaciones con aire acondicionado, baño privado y wifi gratis. Todas las habitaciones cuentan con TV de pantalla plana con canales por cable.

En el hotel, cada habitación incluye armario. En ibis Sao Jose dos Campos Dutra, las habitaciones tienen ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet o continental.

Puedes jugar al billar en ibis Sao Jose dos Campos Dutra.

La recepción ofrece ayuda las 24 horas, y el personal habla inglés y portugués.

El aeropuerto (Aeropuerto regional de São José dos Campos) está a 4 km.","Acceso a pisos superiores en ascensor, Inglés, Bar, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Detector de monóxido de carbono, Restaurante, Ropa de cama, Zona de fumadores, Insonorización, Menús para dietas especiales (bajo petición), Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Happy hour, Registro de entrada y salida exprés, Parking privado, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Entrada privada, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, Muy buen desayuno, WC elevado, TV, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Caja fuerte, Bañera o ducha, Guardaequipaje, Vistas a la ciudad, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de despertador / alarma, Armario, Vistas, Toallas, Artículos de aseo gratis, Billar, Servicio de limpieza diario, Jardín, Canales por cable, WC con barras de apoyo, Seguridad 24 horas, Parking en un garaje, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/312657281.jpg?k=3e585a5cf908e254dc1590b15c7f8c85798aafaf0b1e5ed716615100ea5b5ac5&o=&hp=1,São José dos Campos,Brasil
Hotel Aquarius do Vale,https://www.booking.com/hotel/br/aquarius-do-vale.es.html?aid=2410095,"El Hotel Aquarius do Vale cuenta con alojamientos prácticos con conexión Wi-Fi gratuita, gimnasio, recepción 24 horas, lavandería e instalaciones para reuniones.

Las habitaciones del Aquarius do Vale disponen de aire acondicionado, armario, minibar, TV por cable y baño privado.

El hotel se encuentra a 10 km del aeropuerto São José dos Campos, a 5 km del centro de São José y la estación de autobuses, a 2 km del centro comercial Calinas y a 100 km del centro de São Paulo.

El hotel ofrece un desayuno bufé por las mañanas con una gran variedad de fruta fresca, pan y embutidos. El restaurante del hotel también sirve especialidades regionales y una selección de bebidas.","Inglés, Extintores, Llave de acceso, Desayuno fabuloso, Zona de fumadores, Menús para dietas especiales (bajo petición), Adaptado personas de movilidad reducida, WiFi gratis, Baño de vapor, Registro de entrada / salida privado, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, WC elevado, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Menú para niños, Sauna, Buffet para niños, Guardaequipaje, Servicio de planchado, Servicio de aparcacoches, Gimnasio, Billar, Servicio de limpieza diario, Sala de juegos, Taquillas en el gimnasio / spa, WC con barras de apoyo, Seguridad 24 horas, Parking gratis, Parking en un garaje, Adaptado para sillas de ruedas, Zona de juegos interior, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/272859248.jpg?k=e2e6863aba4edfeacde9ebf34abbc3cf618f70464eb9a0b1b7da567e3466ae4b&o=&hp=1,São José dos Campos,Brasil
