hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Kevins,https://www.booking.com/hotel/co/kevins.es.html?aid=2410095,"El Hotel Kevins se encuentra a menos de 5 minutos a pie de la playa de Tolú y ofrece una piscina al aire libre, conexión Wi-Fi gratuita y aparcamiento privado en el establecimiento.

Las habitaciones disponen de aire acondicionado, TV por cable de pantalla plana, caja fuerte, escritorio y baño privado con ducha y toallas limpias.

El Hotel Kevins alberga un restaurante que abre durante todo el día.

Este establecimiento está a 50 minutos en barco del archipiélago de San Bernardo y a 1 hora y 30 minutos en coche del aeropuerto de Los Garzones.","Terraza, Caja fuerte, Teléfono, Toallas / sábanas (por un suplemento), Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, Solárium, TV, Masajes, Parking gratis, Servicio de traslado, WiFi gratis, Buen desayuno, Mesa de comedor, Mobiliario exterior, Piscina al aire libre, Salas de reuniones / banquetes, Zona de comedor, Bar, Restaurante, Balcón, Toallas, Habitaciones familiares, Español, Piscina privada, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/115426925.jpg?k=0d19cc333d8a63563b4d65890b794c1ea67b605883a8a619af16d3d87aed25da&o=&hp=1,Tolú,Colombia
Hotel Don Toño Tolú,https://www.booking.com/hotel/co/don-tono-restaurante-bar.es.html?aid=2410095,"Hotel Don Toño Tolú está en Tolú, a pocos pasos de Playas de Tolú, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y servicio de conserjería, además de wifi gratis en todo el alojamiento. Hay bar.

En el hotel, las habitaciones están equipadas con armario, TV de pantalla plana, baño privado, ropa de cama y toallas. En Hotel Don Toño Tolú, todas las habitaciones disponen de zona de estar.

El alojamiento ofrece barbacoa. La clientela puede practicar actividades en Tolú y alrededores, como pesca.

Playa El Francés está a 2,1 km del alojamiento, y Playa La Perdiz está a 2,3 km. El aeropuerto más cercano (Golfo de Morrosquillo ) está a 2 km.","Desayuno, Terraza, Bañera o ducha, Toallas / sábanas (por un suplemento), Baño privado, Jardín, Extintores, Toda la unidad accesible en silla de ruedas, Parking gratis, Tours en bici, Ropa de cama, Servicio de habitaciones, Mesa de comedor, Cama plegable, Baño al aire libre, Máquina expendedora (bebidas), Zona de comedor, Restaurante, Balcón, Servicio de entrega de comestibles, Vestidor, Cafetería en el alojamiento, Aire acondicionado, Solárium, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, WiFi gratis, Enchufe cerca de la cama, Pesca, Canales por cable, Desayuno en la habitación, Zona de estar, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Toda la unidad en la planta baja, Playa, Sombrillas, Papel higiénico, Fax / fotocopiadora, Suelo de baldosa / mármol, Juegos de mesa / puzles, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Caja fuerte, Muebles de exterior, Parking en la calle, TV, Armario, Servicio de traslado, Zona de pícnic, Barbacoa, Guardaequipaje, Zona privada de playa, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Tendedero, Español, Zona de fumadores, Prohibido fumar en todo el alojamiento, Baños públicos, Vistas, Ventilador, Vino / champán, Perchero, Información turística, Snack-bar, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Situado frente a la playa, Entrada privada, Fruta, Ducha, Plancha para ropa, Taquillas, Servicio de lavandería, Tumbonas/sillas de playa",https://cf.bstatic.com/xdata/images/hotel/max1024x768/316102667.jpg?k=1e53df379f45339fac3c3c0f681b753c94806971f4b8d248ae761777bf1e1122&o=&hp=1,Tolú,Colombia
Hostal El Danubio Tolu,https://www.booking.com/hotel/co/hosta-el-danubio-tolu.es.html?aid=2410095,"Hostal El Danubio Tolu está en Tolú, a pocos pasos de Playas de Tolú, y dispone de alojamiento con jardín, parking privado gratis y terraza. Hay wifi gratis en todo el alojamiento y Playa La Perdiz está a 2,3 km.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, las habitaciones incluyen aire acondicionado y baño privado.

El aeropuerto (Golfo de Morrosquillo ) está a 2 km.","Terraza, Baño privado, Jardín, Aire acondicionado, TV, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Situado frente a la playa, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Vistas al jardín, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Playa, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/458511405.jpg?k=6e9729a608d0f694a86943a1948dda9b2d7202c7b9344add9cd98419af90f8b3&o=&hp=1,Tolú,Colombia
Canadian House Tolú,https://www.booking.com/hotel/co/canadian-house-summer-home.es.html?aid=2410095,"Canadian House Tolú está en Tolú, a 2 min a pie de Playas de Tolú, y dispone de alojamiento con wifi gratis y parking privado gratis. Este alojamiento libre de humo se encuentra a 19 min a pie de Playa La Perdiz.

En el hostal o pensión, cada habitación dispone de baño privado.

Playa El Francés está a 2,8 km del alojamiento. El aeropuerto (Golfo de Morrosquillo ) está a 1 km.","Prohibido fumar en todo el alojamiento, Parking gratis, Baño privado, Español, Inglés, WiFi gratis, Aire acondicionado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538076000.jpg?k=af77be9cb3bd48fda173e3ee2344e7faf90e7325d4a91037c809de189ce4da28&o=&hp=1,Tolú,Colombia
Hotel colombia,https://www.booking.com/hotel/co/colombia-santiago-de-tolu.es.html?aid=2410095,"Hotel colombia se encuentra en Tolú, a 2 min a pie de Playas de Tolú, y ofrece alojamiento con wifi gratis y parking privado gratis. Este alojamiento libre de humo está a 1,7 km de Playa La Perdiz.

En el hotel, las habitaciones cuentan con balcón. Cada habitación tiene baño privado con ducha y artículos de aseo gratuitos. En Hotel colombia, cada habitación dispone de aire acondicionado y TV de pantalla plana.

En recepción se habla inglés y español, y el personal estará encantado de ayudar en cualquier momento.

El aeropuerto más cercano (Golfo de Morrosquillo ) está a 2 km del alojamiento.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ventilador, Inglés, Baño privado, Aire acondicionado, Armario, Perchero, Parking gratis, WiFi gratis, Ducha, WC, TV de pantalla plana, Balcón, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Playa, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/568601547.jpg?k=a492e233eecee6dee37c7d9905bae25540844743e06fa55024881b709d69de94&o=&hp=1,Tolú,Colombia
Hotel Pizzeria Opera Tolú,https://www.booking.com/hotel/co/pizzeria-opera-tolu.es.html?aid=2410095,"El Hotel Pizzeria Opera Tolú ofrece alojamientos en Tolú, a 18 km de Coveñas, y tiene WiFi gratuita y un restaurante italiano con horno de piedra. En el establecimiento hay aparcamiento privado gratuito.

Algunas habitaciones disponen de terraza o balcón. Hay TV de pantalla plana.

El Hotel Pizzeria Opera Tolú está a 32 km de Sincelejo y a 26 km de San Antero.","Submarinismo, Terraza, Juegos de mesa / puzles, Almuerzos para llevar, Caja fuerte, Habitaciones sin humo, Snorkel, Cambio de moneda, Recepción 24 horas, Inglés, Jardín, Extintores, Clases de cocina, 2 restaurantes, Aire acondicionado, Vino / champán, Italiano, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Muy buen desayuno, Situado frente a la playa, WiFi gratis, Bañera de hidromasaje / jacuzzi, Zona de fumadores, Mobiliario exterior, Canguro / servicios para niños, Guardaequipaje, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Restaurante, Habitaciones familiares, Español, Playa, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/106106939.jpg?k=69d7f8531a2ef96f24c056c8eb68824df7eaffa8ba9ba64015641cfafc04616d&o=&hp=1,Tolú,Colombia
Sky view hotel tolu,https://www.booking.com/hotel/co/sky-view-tolu-tolu1.es.html?aid=2410095,"Sky view hotel tolu está en Tolú, a pocos pasos de Playas de Tolú, y dispone de alojamiento con piscina al aire libre, parking privado gratis, salón de uso común y terraza. Este hotel de 3 estrellas ofrece restaurante y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y cambio de moneda.

En el hotel, las habitaciones disponen de armario y TV de pantalla plana, y algunas también ofrecen balcón. Las unidades cuentan con nevera.

Playa La Perdiz está a 2 km del alojamiento, y Playa El Francés está a 2,5 km. El aeropuerto (Golfo de Morrosquillo ) está a 2 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Terraza, Juegos de mesa / puzles, Horario de apertura, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Caja fuerte, Cafetería en el alojamiento, Almuerzos para llevar, Habitaciones sin humo, Baños públicos, Cambio de moneda, Recepción 24 horas, Cenas temáticas, WC elevado, Baño privado, Aire acondicionado, Extintores, 2 restaurantes, TV, WC con barras de apoyo, Armario, Tour o clase sobre cultura local, Traslado aeropuerto, Vino / champán, Menú para niños, Información turística, Servicio de limpieza en seco, Piscina en la azotea, Piscina pequeña, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Bar en la piscina, Tours en bici, Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Servicio de habitaciones, Proporciona factura, Ruta de bares, Mobiliario exterior, Piscina al aire libre, Servicio de planchado, Para todas las edades, Guardaequipaje, Servicio de lavandería, Terraza / solárium, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Bar, Restaurante, TV de pantalla plana, Abierta todo el año, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Zona poco profunda, Tumbonas/sillas de playa, Ascensor, Nevera, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/374054427.jpg?k=0aaf249e014c55a59264e2191b25a1d67aefa65d323b97be83e1e8b017def4f6&o=&hp=1,Tolú,Colombia
Hostal del Mar - Tolu,https://www.booking.com/hotel/co/hostal-luz-mar-santiago-de-tolu-sucre.es.html?aid=2410095,"El Hostal del Mar - Tolu se encuentra en Tolú y ofrece jardín y restaurante. Todas las habitaciones tienen terraza.

Todos los alojamientos están equipados con TV.

Todas las mañanas se sirve un desayuno continental.

Coveñas se encuentra a 18 km del Hostal del Mar - Tolu. El aeropuerto más cercano es el de Tolú, ubicado a 2 km.","Desayuno, Secador de pelo, Terraza, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Baño privado, Jardín, Extintores, Hipoalergénico, Manicura, Parking gratis, Tours en bici, Ropa de cama, Mesa de comedor, Proporciona factura, Zona de juegos interior, Mobiliario exterior, Canguro / servicios para niños, Zona de comedor exterior, Zona de comedor, Restaurante, Tratamientos faciales, Snorkel, Cambio de moneda, Aire acondicionado, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Patio, Enchufe cerca de la cama, Pesca, Vistas a un patio interior, Zona de estar, Llave de acceso, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Playa, Papel higiénico, Suelo de baldosa / mármol, Submarinismo, Juegos de mesa / puzles, Parking adaptado para personas de movilidad reducida, Adaptado para sillas de ruedas, TV, Ciclismo, Armario, Masajes, Servicio de traslado, Ruta de bares, Zona de pícnic, Productos de limpieza, Vistas al jardín, Servicio de planchado, Guardaequipaje, WC, Terraza / solárium, TV de pantalla plana, Toallas, Tendedero, Español, Zona de fumadores, Piragüismo, Prohibido fumar en todo el alojamiento, Servicios de belleza, Vistas, Recepción 24 horas, Ventilador, Libros, DVD o música para niños, Inglés, Traslado aeropuerto, Perchero, Vino / champán, Información turística, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Entrada privada, Menús para dietas especiales (bajo petición), Fruta, Ducha, Plancha para ropa, Aseo adicional, Servicio de lavandería, Pedicura, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/498518982.jpg?k=877dc62b788c62a5b5cadbd2639e17a362be8dae4889a5e20dc367ac29638672&o=&hp=1,Tolú,Colombia
Casa Inés Tolú,https://www.booking.com/hotel/co/casa-ines.es.html?aid=2410095,"Casa Inés Tolú se encuentra en Tolú, a pocos pasos de Playas de Tolú, y dispone de terraza, habitaciones libres de humo y wifi gratis en todo el alojamiento. El alojamiento ofrece servicio de habitaciones, mostrador de información turística y guardaequipaje.

En el hotel se puede disfrutar de un desayuno americano.

Playa La Perdiz está a 9 min a pie del alojamiento. El aeropuerto más cercano (Golfo de Morrosquillo ) está a 1 km.","Desayuno, Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Baños públicos, Bañera o ducha, Habitaciones sin humo, Ventilador, Inglés, Aire acondicionado, Extintores, Tour o clase sobre cultura local, Vino / champán, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Menús para dietas especiales (bajo petición), Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Productos de limpieza, Llave de acceso, Guardaequipaje, Servicio de lavandería, Terraza / solárium, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/450907798.jpg?k=c70a948d4bacfba3c0a392b7666078209a4859aabf64b478c42242809ff190a9&o=&hp=1,Tolú,Colombia
Hotel Cabañas DE TOLU,https://www.booking.com/hotel/co/h-cab-detolu.es.html?aid=2410095,"Hotel Cabañas DE TOLU se encuentra en Tolú, a 2 min a pie de Playas de Tolú, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento ofrece restaurante, servicio de traslado gratuito y servicio de habitaciones, además de wifi gratis en todo el alojamiento. El bar es ideal para tomar algo.

En el hotel, todas las habitaciones están equipadas con balcón. Hotel Cabañas DE TOLU dispone de algunas unidades con vistas incluyen, y todas tienen baño privado con ducha.

En el alojamiento se puede disfrutar de un desayuno americano.

El personal de recepción puede ofrecer consejos sobre cómo y por dónde moverse en la zona.

Playa La Perdiz está a 1,7 km del alojamiento. El aeropuerto más cercano (Golfo de Morrosquillo ) está a 2 km.","Desayuno, Terraza, Juegos de mesa / puzles, Baños públicos, Cafetería en el alojamiento, Habitaciones sin humo, Recepción 24 horas, Baño privado, Jardín, Centro de negocios, Extintores, Aire acondicionado, Solárium, Traslado aeropuerto, Menú para niños, Información turística, Snack-bar, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Tours en bici, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Proporciona factura, Alquiler de coches, Zona de fumadores, Zona de pícnic, Tours a pie, Piscina al aire libre, Habitaciones insonorizadas, Alquiler de bicicletas, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Piscina infantil, Bar, Restaurante, Zona de comedor, Balcón, Tumbonas/sillas de playa, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/529181854.jpg?k=d6ea3f192ff28b061a22671bbb384f93316361b1c12a8e9f1b5aa01324c84844&o=&hp=1,Tolú,Colombia
