hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostel Salvador Meu Amor,https://www.booking.com/hotel/br/hostel-salvador-meu-amor.es.html?aid=2410095,"Hostel Salvador Meu Amor ofrece habitaciones con wifi gratis en Salvador. El alojamiento está muy bien situado, a 3 min a pie de Pelourinho y a 400 metros de Iglesia de San Francisco. El alojamiento está cerca de varios lugares de interés destacados, a unos 17 min a pie de Estadio Arena Fonte Nova, a 800 metros de Elevador Lacerda y a 2 min a pie de Museo Afro-Brasileño. El alojamiento está a 2,4 km de Praia do MAM y a 400 metros del centro de la ciudad.

Todas las unidades disponen de ropa de cama.

Iglesia de Bonfim está a 6,2 km del alojamiento, y Faro de Barra está a 6,6 km. El aeropuerto más cercano (Aeropuerto internacional de Salvador) está a 23 km.","Portugués, Ducha, Prohibido fumar en todo el alojamiento, Extintores, Llave de acceso, Ventilador, Toallas / sábanas (por un suplemento), Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Habitaciones familiares, Cocina compartida, WiFi gratis, Español, Enchufe cerca de la cama, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/507042144.jpg?k=5851e49668e95ff0ce028e23b98ee0ee1311ebd4470ccd3a24055d6057e25748&o=&hp=1,Salvador,Brasil
Ibis Salvador Rio Vermelho,https://www.booking.com/hotel/br/ibis-salvador-rio-vermelho.es.html?aid=2410095,"El Ibis Salvador Rio Vermelho dispone de restaurante y bar, y está muy bien situado en Salvador, justo enfrente de la playa Rio Vermelho.

Hay conexión WiFi gratuita y recepción 24 horas. Todos los días se sirve un desayuno por un suplemento.

Las habitaciones son funcionales y cuentan con aire acondicionado, TV por cable y baño privado con ducha de agua caliente.

El Ibis Rio Vermelho está a 24 km del aeropuerto internacional Luís Eduardo Magalhães, a 12 km de la estación de autobuses de Salvador y a 7 km del faro Farol da Barra. También se encuentra a 12 km del centro de Salvador y la zona de Pelourinho, y a 8 km del estadio Arena Fonte Nova.

El hotel inició la renovación de la fachada el 01/06/2022 con finalización prevista para febrero de 2023. El establecimiento lamenta las molestias que ello pueda ocasionar. El objetivo es ofrecer un mejor servicio a los huéspedes.","Inglés, Playa, Bar, Tarjeta de acceso, Snack-bar, Servicio de lavandería, Extintores, Llave de acceso, Situado frente a la playa, Restaurante, Boles para mascotas, Escritorio, Adaptado personas de movilidad reducida, WiFi gratis, Happy hour, Registro de entrada y salida exprés, Parking privado, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Habitaciones insonorizadas, Centro de negocios, Caja fuerte, Guardaequipaje, Vistas a la ciudad, Servicio de planchado, Ducha, Vistas a un patio interior, Armario, Servicio de aparcacoches, Artículos de aseo gratis, Cesta para mascotas, Almuerzos para llevar, WC con barras de apoyo, Seguridad 24 horas, Cafetería en el alojamiento, Parking en un garaje, Baño privado, Vino / champán, Portugués, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Taquillas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/300489204.jpg?k=a5166647c8ffd351288f38d907d5eebe965963a0dea41009ed8e8013b26179ed&o=&hp=1,Salvador,Brasil
Ibis Budget Salvador,https://www.booking.com/hotel/br/web-salvador.es.html?aid=2410095,"Ibis Budget Salvador is located in the heart of Salvador, next door to Shopping da Bahia and is opposite the city’s bus terminal. A convenience store is ideally located in the lobby and parking is free. WiFi is free of charges.

It is 500 metres from Tancredo Neves Avenue, in Salvador´s financial centre and is nearby Bahia Convention Centre and Salvador Shopping centre. Within a short walk visitors find supermarkets, restaurants, bus and taxi stops. Luis Eduardo Magalhães Airport is 20 km away.

All rooms at Ibis Budget Salvador are equipped with air conditioning and contain a cable TV, a safe and other amenities.

A breakfast buffet is also available for an additional charge and is served from 06:00 until 10:00 (Mondays to Saturdays) or from 06:30 until 10:30 (Sundays).","Inglés, Tarjeta de acceso, Snack-bar, Servicio de lavandería, Llave de acceso, Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Fax / fotocopiadora, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Centro de negocios, Francés, Guardaequipaje, Supermercado pequeño en el alojamiento, Servicio de planchado, Salas de reuniones / banquetes, Buen desayuno, Gimnasio, Jardín, Proporciona factura, Parking gratis, Recepción 24 horas, Ascensor, Aire acondicionado, WC, Habitaciones familiares, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/496722972.jpg?k=6ea9c5d67a2da88ba7636a784e92de68c30f46dfa5185070929160dd1410279b&o=&hp=1,Salvador,Brasil
Iguatemi Business & Flat by Avectur,https://www.booking.com/hotel/br/iguatemi-business-flat.es.html?aid=2410095,"El Iguatemi Business & Flat está situado junto a la avenida Tancredo Neves y el centro comercial Iguatemi. Ofrece modernas habitaciones con una TV de pantalla plana y una pequeña cocina. Cuenta con una piscina al aire libre.

Todas las habitaciones de Iguatemi Business & Flat disponen de aire acondicionado y conexión inalámbrica a internet.

Además de una piscina al aire libre, el hotel también cuenta con un gimnasio, una sauna y un centro de negocios.

El restaurante del Iguatemi Business Flat sirve auténtica cocina brasileña.

Este hotel está a sólo a 20 minutos en coche del aeropuerto Luis Eduardo Magalhães y dispone de aparcamiento privado gratuito.","Tumbonas/sillas de playa, Acceso a pisos superiores en ascensor, Tarjeta de acceso, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Ropa de cama, Escritorio, Información turística, Zona de fumadores, Toda la unidad accesible en silla de ruedas, Sombrillas, Adaptado personas de movilidad reducida, Sofá, WiFi gratis, Enchufe cerca de la cama, Hipoalergénico, Baño de vapor, Registro de entrada / salida privado, Piscina al aire libre, Teléfono, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Terraza / solárium, Centro de negocios, Suelo de moqueta, Piscina con vistas, Sauna, Microondas, Guardaequipaje, Vistas a la ciudad, Servicio de planchado, Ducha, Armario, Vistas, Toallas, Gimnasio, Buen desayuno, Artículos de aseo gratis, Mesa de comedor, Servicio de limpieza diario, Canales por cable, Seguridad 24 horas, Parking gratis, Baño privado, Parking en un garaje, Secador de pelo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Acceso a pisos superiores solo mediante escaleras, Toallas de playa/piscina, Habitaciones familiares, Zona de spa / relajación, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/33578206.jpg?k=e96d2b8c764c40666aec351c0d6c5de0320b66533298a0084670a594dc0bde6c&o=&hp=1,Salvador,Brasil
Pousada Belo Mar,https://www.booking.com/hotel/br/pousada-belo-mar-salvador.es.html?aid=2410095,"Pousada Belo Mar está en Salvador, a 11 min a pie de Praia do Farol da Barra, y dispone de jardín, habitaciones libres de humo, wifi gratis en todo el alojamiento y bar. Este alojamiento se encuentra muy cerca de lugares de interés como Praia de Ondina, Praia do Porto da Barra y Faro de Barra. Pelourinho está a 4,9 km del albergue y Iglesia de San Francisco, a 5 km.

En el albergue, cada habitación dispone de armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

En Pousada Belo Mar se puede disfrutar de un desayuno buffet.

Estadio Arena Fonte Nova está a 5,1 km del alojamiento, y Elevador Lacerda está a 5,4 km. El aeropuerto (Aeropuerto internacional de Salvador) está a 25 km.","Baño privado, Bar, Portugués, Ducha, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Armario, Toallas, Ropa de cama, WC, Aire acondicionado, Jardín, Desayuno, TV, WiFi gratis, Habitaciones insonorizadas, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/566055268.jpg?k=cda4af481b32b89d054f36e0cef9ae653950deba06ee4c8bab265df99306df09&o=&hp=1,Salvador,Brasil
Sotero Hotel by Castelo Itaipava,https://www.booking.com/hotel/br/sotero-by-nobile.es.html?aid=2410095,"El Sotero está situado a solo 2 km de la playa Jardim de Alah y dispone de piscina en la azotea con vistas al mar, gimnasio y sauna. Todos los días ofrece un desayuno buffet. Hay WiFi gratuita.

Todos los alojamientos tienen aire acondicionado, TV LCD por cable, escritorio y baño con secador de pelo. Presentan una decoración contemporánea y algunos incluyen minibar, mientras que otros cuentan con zona de cocina totalmente equipada.

El Sotero Hotel by Castelo Itaipava se encuentra en la zona financiera de Salvador, a 1 km del centro comercial Salvador y de la estación de autobuses de la ciudad. El centro de convenciones de Salvador está a 2 km.

Este hotel está situado a 10 km del estadio Fonte Nova y a 15 km del aeropuerto internacional Deputado Luís Eduardo Magalhães. Hay aparcamiento privado disponible por un suplemento.","Tarjeta de acceso, Abierta todo el año, Extintores, Boles para mascotas, Utensilios de planchado, Adaptado personas de movilidad reducida, Registro de entrada / salida privado, Piscina al aire libre, Teléfono, Fruta, Alarma de seguridad, TV, Habitaciones insonorizadas, Caja fuerte, Sauna, Salas de reuniones / banquetes, Cafetería en el alojamiento, Recepción 24 horas, Habitaciones familiares, Portugués, Restaurante, Escritorio, Toda la unidad accesible en silla de ruedas, Camas extralargas (más de 2 metros), Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Artículos de aseo gratis, Cesta para mascotas, Horario de apertura, TV de pantalla plana, Ropa de cama, Perchero, Desayuno, Enchufe cerca de la cama, Baño de vapor, Español, Piscina con vistas, Vistas a la ciudad, Servicio de planchado, Armario, Toallas, Gimnasio, Canales por cable, Baño privado, Detectores de humo, Ascensor, Toallas de playa/piscina, WC, Taquillas, Cámaras de seguridad fuera del alojamiento, Tendedero, Suelo de baldosa / mármol, Papel higiénico, Acceso a pisos superiores en ascensor, Inglés, Servicio de lavandería, Llave de acceso, Detector de monóxido de carbono, Insonorización, Menús para dietas especiales (bajo petición), Plancha para ropa, Sofá, WiFi gratis, Registro de entrada y salida exprés, Parking privado, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Habitaciones hipoalergénicas, Terraza / solárium, Centro de negocios, Guardaequipaje, Servicio de limpieza diario, Seguridad 24 horas, Parking en un garaje, Vino / champán, Secador de pelo, Aire acondicionado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/97012274.jpg?k=9a168b3ddb90acc31b2011f4dd92b934a8bead8c6bd66b7be1559fe5e588247f&o=&hp=1,Salvador,Brasil
Best Western Salvador Hangar Aeroporto,https://www.booking.com/hotel/br/ibis-salvador-aeroporto-hangar.es.html?aid=2410095,"Located just 3 km from Eduardo Luís Magalhães International Airport, Best Western Salvador Hangar Aeroporto offers a restaurant. Free WiFi is provided throughout.

Each guestroom is ideally fitted with air conditioning, a flat-screen TV and a telephone. Rooms are decorated with contemporary furnishing.

Guests are invited to appreciate drinks and cocktails at Ibis Salvador Aeroporto Hangar.

The hotel is set 11.7 km from Pituaçu Park.","Inglés, Bar, Tarjeta de acceso, Snack-bar, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Zona de fumadores, Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Teléfono, Fruta, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, WC elevado, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Centro de negocios, Caja fuerte, Buffet para niños, Guardaequipaje, Servicio de planchado, Ducha, Servicio de aparcacoches, Buen desayuno, Billar, Servicio de limpieza diario, Jardín, Proporciona factura, Almuerzos para llevar, WC con barras de apoyo, Seguridad 24 horas, Parking en un garaje, Baño privado, Música / espectáculos en directo, Vino / champán, Adaptado para sillas de ruedas, Zona de juegos interior, Parking, Recepción 24 horas, Ascensor, Detectores de humo, WC, Zona TV / salón de uso compartido, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/511493329.jpg?k=75f4ea5621c40b07fb765d2c3e0133e629567af4b89dd6040b01b6e27bb6454d&o=&hp=1,Salvador,Brasil
The Hotel,https://www.booking.com/hotel/br/the.es.html?aid=2410095,"El The Hotel se encuentra en Salvador y dispone de WiFi gratuita, jardín y terraza. La playa de Barra está a 400 metros, y el faro de Barra, a 900 metros.

Las habitaciones del The Hotel son de estilo actual y tienen minibar, aire acondicionado y TV por cable. Hay además cafetera y baño privado con ducha, artículos de aseo gratuitos y secador de pelo.

El establecimiento cuenta con recepción 24 horas, consigna de equipaje y máquina expendedora, y el restaurante DiLucca sirve pasta, antipasti y otras especialidades italianas.

El hotel se halla a 50 metros del centro comercial Barra, a 1,8 km de la playa de Ondina y a 23 km del aeropuerto Luis Eduardo Magalhães.","Acceso a pisos superiores en ascensor, Terraza, Inglés, Bar, Tarjeta de acceso, Snack-bar, Tetera / cafetera, TV de pantalla plana, Extintores, Llave de acceso, Boles para mascotas, Restaurante, Ropa de cama, Vistas al jardín, Escritorio, Menús para dietas especiales (bajo petición), Insonorización, Alquiler de coches, Plancha para ropa, Perchero, Toda la unidad accesible en silla de ruedas, Adaptado personas de movilidad reducida, WiFi gratis, Hipoalergénico, Registro de entrada y salida exprés, Traslado aeropuerto, Teléfono, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Suelo de madera o parquet, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Terraza / solárium, Centro de negocios, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Español, Guardaequipaje, Vistas a la ciudad, Canales vía satélite, Ducha, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Cafetera, Cesta para mascotas, Jardín, Almuerzos para llevar, Canales por cable, Solárium, Hervidor eléctrico, Servicio de habitaciones, Baño privado, Vino / champán, Secador de pelo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Detectores de humo, Ascensor, Aire acondicionado, Portugués, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/363516877.jpg?k=9ad29f50668a16417216627f510dca2fba93d8a39c7e3d917a23484c13d0fab8&o=&hp=1,Salvador,Brasil
Intercity Salvador,https://www.booking.com/hotel/br/intercity-premium-salvador.es.html?aid=2410095,"El InterCity Premium Salvador está a solo 1 km del centro comercial Iguatemi y dispone de sauna, piscina en la azotea y centro de fitness. El establecimiento sirve desayuno buffet, ofrece servicio de habitaciones y tiene WiFi gratuita en las zonas comunes.

Las habitaciones tienen aire acondicionado, decoración actual, minibar, escritorio, WiFi, TV de pantalla plana por cable y baño privado con artículos de aseo InterCity gratuitos y secador de pelo. Hay algunas con vistas al mar.

Las instalaciones ofrecen recepción 24 horas, aparcamiento privado y sala de juegos.

El hotel InterCity Premium se halla a 8 km de Salvador Centre, a 7 km del centro histórico de Pelourinho, a 4 km de la playa de Armação, a 15 km del aeropuerto internacional Deputado Luis Eduardo Magalhães y a 10 km del estadio Fonte Nova y del distrito Farol da Barra. Hay aparcamiento.","Pista de tenis, Terraza, Inglés, Bar, Abierta todo el año, Servicio de lavandería, Boles para mascotas, Restaurante, Masajes, WiFi gratis, Parking privado, Piscina al aire libre, Español, Terraza / solárium, Centro de negocios, Caja fuerte, Sauna, Vistas a la ciudad, Salas de reuniones / banquetes, Gimnasio, Buen desayuno, Cesta para mascotas, Sala de juegos, Spa y centro de bienestar, Servicio de habitaciones, Baño privado, Recepción 24 horas, Ascensor, Aire acondicionado, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/23957725.jpg?k=1dd21dfcfb2a52427a506a6e57cd61d8c93ab8d58f6b960db31438c827d0295c&o=&hp=1,Salvador,Brasil
Quality Hotel & Suítes São Salvador,https://www.booking.com/hotel/br/matiz-salvador.es.html?aid=2410095,"El Quality Suites - São Salvador se encuentra a 900 metros del centro comercial Salvador Shopping y a solo 1,4 km de la playa de Armação y ofrece WiFi gratuita y desayuno diario. Además, el hotel cuenta con piscina al aire libre, sauna, centro de fitness y restaurante.

Los alojamientos están ubicados en 2 edificios modernos y constan de aire acondicionado, minibar, escritorio y TV de pantalla plana. Todas las habitaciones incluyen baño privado con ducha de agua caliente, secador de pelo y artículos de aseo. Algunas habitaciones están equipadas con zona de cocina, sofá y zona de comedor.

También se ofrece servicio de lavandería y servicio de habitaciones las 24 horas.

El Quality Suites – São Salvador se halla a 15 km del aeropuerto internacional Deputado Luís Eduardo Magalhães y a 2 km del centro de convenciones Bahia. Asimismo, el alojamiento está situado a 7 km del barrio de Pelourinho, el centro histórico de Salvador.","Tumbonas/sillas de playa, Acceso a pisos superiores en ascensor, Inglés, Bar, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Insonorización, Restaurante, Ropa de cama, Escritorio, Parking en el alojamiento, Menús para dietas especiales (bajo petición), Plancha para ropa, Utensilios de planchado, Toda la unidad accesible en silla de ruedas, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Hipoalergénico, Piscina al aire libre, Teléfono, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Centro de negocios, Caja fuerte, Guardaequipaje, Vistas a la ciudad, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de despertador / alarma, Armario, Toallas, Gimnasio, Artículos de aseo gratis, Suelo de baldosa / mármol, Almuerzos para llevar, Canales por cable, WC con barras de apoyo, Seguridad 24 horas, Servicio de habitaciones, Parking en un garaje, Baño privado, Adaptado para sillas de ruedas, Secador de pelo, Horario de apertura, Recepción 24 horas, Detectores de humo, Ascensor, Toallas de playa/piscina, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/229382739.jpg?k=72ec9eaf9d6e7890aaad7347c10f0472e76c5ecbe439b2a51108ce060d949ca9&o=&hp=1,Salvador,Brasil
