hotel,hotel_url,description,popular_facilities,highres_url,city,country
Studio House Hotel,https://www.booking.com/hotel/br/studio-congonhas.es.html?aid=2410095,"Studio House Hotel está en São Paulo, a 6,3 km de Parque Ibirapuera, y tiene terraza, habitaciones libres de humo y wifi gratis en todo el alojamiento. El alojamiento está a unos 7 km de Pabellón de Ciccillo Matarazzo, a 7,5 km de Centro Comercial Interlagos y a 8,1 km de Centro de Convenciones Sao Paulo Expo. El alojamiento dispone de cocina compartida y guardaequipaje.

Todas las habitaciones de este alojamiento están equipadas con cafetera. Cada habitación dispone de baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En el hotel, todas las habitaciones están equipadas con ropa de cama y toallas.

Tokio Marine Hall está a 8,3 km del alojamiento, y Fontes do Ipiranga State Park está a 8,3 km. El aeropuerto (Aeropuerto de São Paulo - Congonhas) está a 2 km.","Terraza, Inglés, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, Servicio de lavandería, TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Utensilios de planchado, Perchero, Cocina compartida, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Registro de entrada y salida exprés, Registro de entrada / salida privado, Ventilador, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, TV, Prohibido fumar en todo el alojamiento, Microondas, Guardaequipaje, Servicio de planchado, Ducha, Secadora de ropa, Servicio de limpieza diario, Toallas, Artículos de aseo gratis, Cafetera, Cámaras de seguridad fuera del alojamiento, Suelo de baldosa / mármol, Proporciona factura, Baño privado, Secador de pelo, Detectores de humo, Aire acondicionado, WC, Habitaciones familiares, Portugués, Lavadora, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/337943630.jpg?k=415b56c04f4129047fa09fefe4d7fb9441eb1c57186eb2e2bef3e8237c078052&o=&hp=1,Congonhas,Brasil
Hilton Sao Paulo Morumbi,https://www.booking.com/hotel/br/hilton-sao-paulo-morumbi.es.html?aid=2410095,"Hilton Morumbi is situated inside the CENU Complex, only a 5-minute walk from Berrini Avenue and WTC Convention Center in São Paulo. The hotel is 600 metres from Berrini Train Station and a 5-minute drive from Morumbi Shopping Mall.

The spacious air-conditioned suites and rooms are tastefully furnished with comfortable beds, flat-screen TVs with satellite channels, internet connection,minibar and work desks. The private bathrooms include a shower and a bath tub.

Some rooms offer access to the executive lounge, which includes private check-in and check-out, complimentary breakfast, free WiFi and a bar.

On its top floor, Hilton São Paulo Morumbi offers a well-equipped gym, where free fitness classes are provided. Guests can enjoy a stunning view of Ponte Estaiada suspension bridge, which can also be admired from most of the guestrooms.

Hilton Sao Paulo Morumbi has a 28th floor swimming pool with panoramic views of the skyline and the Estaiada Bridge. The hotel also provides a glamorous spa, where relaxing treatments using natural products from the Amazon forest are offered.

Efficient business facilities, meeting rooms, a wine cellar and several dining options are also available in the hotel. The hotel is only 7 km from Congonhas Airport and offers direct access to Nações Unidas Avenue.","Peluquería / salón de belleza, Canguro / servicios para niños, Tarjeta de acceso, Tetera / cafetera, Abierta todo el año, Extintores, Boles para mascotas, Entrenador personal, Alquiler de coches, Utensilios de planchado, Reloj despertador, Adaptado personas de movilidad reducida, Piscina climatizada, Estación de carga de vehículos eléctricos, Teléfono, Fruta, Servicio de conserjería, Corte de pelo, Vídeo, TV, Pedicura, Caja fuerte, Buffet para niños, Salas de reuniones / banquetes, Servicio de aparcacoches, Eventos deportivos en directo (emisión), Taquillas en el gimnasio / spa, Spa y centro de bienestar, Exfoliación corporal, Música / espectáculos en directo, Radio, Recepción 24 horas, Habitaciones familiares, Portugués, Tumbonas/sillas de playa, Servicios de belleza, Restaurante, Escritorio, Peinado, Servicios de depilación, Happy hour, Bañera, Piscina interior, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Minibar, Calefacción, Paquetes de spa / bienestar, Clases de yoga, Artículos de aseo gratis, Cesta para mascotas, Bañera de hidromasaje / jacuzzi, Clases de fitness, Alquiler de bicicletas, Caja fuerte para ordenador portátil, TV de pantalla plana, Tinte, Instalaciones de spa, Baño de vapor, Traslado aeropuerto, Habitaciones sin humo, Menú para niños, Español, Instalaciones para deportes acuáticos en el alojamiento, Piscina con vistas, Servicio de planchado, Piscina en la azotea, Gimnasio, Manicura, Canales por cable, Servicio de limpieza en seco, WC con barras de apoyo, Servicio de habitaciones, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, Servicios de maquillaje, Taquillas, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Inglés, Tetera/cafetera en todas las habitaciones, Bar, Servicio de lavandería, Masajes, Menús para dietas especiales (bajo petición), Registro de entrada y salida exprés, Parking privado, Tratamientos capilares, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Muy buen desayuno, WC elevado, Terraza / solárium, Centro de negocios, Bañera o ducha, Guardaequipaje, Servicio de limpieza diario, Desayuno en la habitación, Seguridad 24 horas, Parking en un garaje, Tratamientos corporales, Vino / champán, Secador de pelo, Aire acondicionado, Galerías de arte temporales",https://cf.bstatic.com/xdata/images/hotel/max1024x768/502039524.jpg?k=2fd22a6ecebcea4cf5ad041f39f00a1c36f5baddc9648a6164ce2a2ba0474148&o=&hp=1,Congonhas,Brasil
Hotel Digital Ponte Aerea - Aeroporto de Congonhas,https://www.booking.com/hotel/br/ponte-aerea.es.html?aid=2410095,"El Hotel Digital Ponte Aerea - Aeroporto de Congonhas goza de una buena ubicación, a 200 metros del aeropuerto Congonhas de São Paulo. Ofrece un alojamiento sencillo y práctico con conexión Wi-Fi gratuita. Se encuentra a 12 km del centro de São Paulo.

Todas las habitaciones del Ponte Aérea tienen suelo de madera y muebles sencillos. Están equipadas con aire acondicionado, TV y baño privado con ducha de agua caliente.

El hotel se encuentra a 10 km del estadio Morumbi y a 15 km de la terminal de autobuses Tietê. El aeropuerto internacional de Guarulhos se encuentra a 45 km y el servicio de información sobre el visado CASV de São Paulo Consulate está a 4 km.","Baño privado, Portugués, Ducha, TV de pantalla plana, Toallas, Ropa de cama, Cámaras de seguridad en las zonas comunitarias, Máquina expendedora (bebidas), Suelo de baldosa / mármol, Aire acondicionado, WC, Habitaciones familiares, TV, WiFi gratis, Máquina expendedora (aperitivos), Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/385253158.jpg?k=c1c1c32851fae0902b3f76b5f2a69bd88f66d4fe19c50ca20a1c45a37313d87d&o=&hp=1,Congonhas,Brasil
Canopy By Hilton Sao Paulo Jardins,https://www.booking.com/hotel/br/canopy-by-hilton-sao-paulo-jardins.es.html?aid=2410095,"El Canopy By Hilton Sao Paulo Jardins se encuentra en Sao Paulo, a 1,1 km del MASP Sao Paulo. Está a poca distancia de varios lugares de interés, como el pabellón Ciccillo Matarazzo. El establecimiento se encuentra a 1,9 km del parque de Ibirapuera y a 2,8 km del estadio Pacaembu.

El personal de la recepción 24 horas puede proporcionar información sobre la zona.

El hotel se encuentra a 2,9 km del edificio Copan y a 3 km de la catedral metropolitana de São Paulo. El aeropuerto de São Paulo/Congonhas, el más cercano, se halla a 6 km.","Inglés, Bar, Tarjeta de acceso, Servicio de lavandería, Extintores, Boles para mascotas, Restaurante, Zona de fumadores, Menús para dietas especiales (bajo petición), Alquiler de coches, Adaptado personas de movilidad reducida, WiFi gratis, Happy hour, Registro de entrada y salida exprés, Teléfono, Fruta, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Habitaciones sin humo, Mobiliario exterior, WC elevado, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, 2 restaurantes, Menú para niños, Terraza / solárium, Centro de negocios, Habitaciones hipoalergénicas, Caja fuerte, Apoyo visual: braille, Español, Guardaequipaje, Servicio de planchado, Salas de reuniones / banquetes, Servicio de limpieza diario, Gimnasio, Buen desayuno, Cesta para mascotas, Jardín, Proporciona factura, Taquillas en el gimnasio / spa, Servicio de limpieza en seco, WC con barras de apoyo, Tour o clase sobre cultura local, Seguridad 24 horas, Servicio de habitaciones, Alquiler de bicicletas, Caja fuerte para ordenador portátil, Música / espectáculos en directo, Vino / champán, Portugués, Adaptado para sillas de ruedas, Zona de juegos interior, Recepción 24 horas, Detectores de humo, Ascensor, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Tours en bici, Taquillas, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Galerías de arte temporales",https://cf.bstatic.com/xdata/images/hotel/max1024x768/494375964.jpg?k=6377cca65736369a90e5c017bc0337981a004e511d211545fd53ce7ba837da0d&o=&hp=1,Congonhas,Brasil
Rock CGH Suites - Aeroporto de Congonhas,https://www.booking.com/hotel/br/viva-rock-suites-cgh.es.html?aid=2410095,"Rock CGH Suites - Aeroporto de Congonhas se encuentra en São Paulo, a 6,3 km de Parque Ibirapuera, y ofrece servicio de check-in y check-out exprés, habitaciones libres de humo, piscina al aire libre, wifi gratis y jardín. Este alojamiento, que cuenta con servicio de habitaciones, también ofrece terraza solárium. Pabellón de Ciccillo Matarazzo está a 7 km del hostal o pensión y Centro Comercial Interlagos, a 7,5 km.

En el hostal o pensión, todas las habitaciones disponen de armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades cuentan con minibar.

Centro de Convenciones Sao Paulo Expo está a 8 km del alojamiento, y Tokio Marine Hall está a 8,2 km. El aeropuerto más cercano (Aeropuerto de São Paulo - Congonhas) está a 2 km.","Tumbonas/sillas de playa, Terraza, Inglés, Abierta todo el año, TV de pantalla plana, Extintores, Ropa de cama, Zona de fumadores, Masajes, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Servicio de streaming (como Netflix), Registro de entrada y salida exprés, Registro de entrada / salida privado, Piscina al aire libre, Barbacoa, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Suelo de madera o parquet, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Minibar, Terraza / solárium, Piscina con vistas, Masaje corporal completo, Ducha, Armario, Servicio de limpieza diario, Toallas, Artículos de aseo gratis, Jardín, Proporciona factura, WC con barras de apoyo, Seguridad 24 horas, Servicio de habitaciones, Baño privado, Adaptado para sillas de ruedas, Secador de pelo, Máquina expendedora (bebidas), Acceso a pisos superiores solo mediante escaleras, Aire acondicionado, WC, Lavamanos más bajo, Toallas de playa/piscina, Habitaciones familiares, Zona de spa / relajación, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/302342217.jpg?k=10712e9d4763461a63bfad1f0793b96f3edb925f7158db2d2e44521129cca803&o=&hp=1,Congonhas,Brasil
Flat de Luxo com vista para aeroporto de Congonhas H1812,https://www.booking.com/hotel/br/flat-de-luxo-com-vista-para-aeroporto-de-congonhas-sao-paulo.es.html?aid=2410095,"Flat de Luxo com vista para aeroporto de Congonhas H1812, que cuenta con piscina al aire libre, jardín, restaurante y bar, se encuentra en el barrio de Campo Belo, en São Paulo, a solo 6,5 km de Centro Comercial Interlagos. Está a 7 km de Parque Ibirapuera y ofrece wifi gratis, además de servicio de habitaciones.

Este apartamento con aire acondicionado se compone de 1 dormitorio y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

El personal de recepción puede dar consejos sobre qué hacer o cómo moverse por la zona.

En el apartamento, la clientela puede usar la terraza solárium.

Centro de Convenciones Sao Paulo Expo está a 7,3 km del alojamiento, y Fontes do Ipiranga State Park está a 7,5 km. El aeropuerto más cercano (Aeropuerto de São Paulo - Congonhas) está a 2 km del alojamiento.","Acceso a pisos superiores en ascensor, Terraza, Bar, Abierta todo el año, Servicio de lavandería, TV de pantalla plana, Extintores, Detector de monóxido de carbono, Restaurante, Ropa de cama, Escritorio, Zona de comedor, Toda la unidad accesible en silla de ruedas, Plancha para ropa, Utensilios de planchado, Sombrillas, Zona de fumadores, Zona poco profunda, WiFi gratis, Enchufe cerca de la cama, Piscina climatizada, Registro de entrada / salida privado, Piscina al aire libre, Teléfono, Baños públicos, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Apartamento privado en edificio, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Terraza / solárium, Instalaciones para deportes acuáticos en el alojamiento, Suelo de moqueta, Centro de negocios, Habitaciones insonorizadas, Bañera o ducha, Caja fuerte, Vistas a la ciudad, Piscina privada, Ducha, Salas de reuniones / banquetes, Mesa de comedor, Armario, Toallas, Artículos de aseo gratis, Valla alrededor de la piscina, Vistas, Para todas las edades, Senderismo, Servicio de limpieza diario, Jardín, Proporciona factura, Canales por cable, Seguridad 24 horas, Servicio de habitaciones, Baño privado, Secador de pelo, Horario de apertura, Recepción 24 horas, Detectores de humo, Aire acondicionado, WC, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/493763143.jpg?k=33942813dc3466df7276609cc560d5a846ea8da85e4afeeefb88b329d74d44ad&o=&hp=1,Congonhas,Brasil
Charlie Aeroporto Congonhas CGH,https://www.booking.com/hotel/br/charlie-congonhas-cgh.es.html?aid=2410095,"Charlie Aeroporto Congonhas CGH ofrece piscina cubierta y sala de fitness, además de alojamiento con aire acondicionado y wifi gratis, en São Paulo, a 6,7 km de Parque Ibirapuera. Hay parking privado en el propio alojamiento.

El apartamento ofrece balcón, vistas a la ciudad, zona de estar, TV de pantalla plana, zona de cocina totalmente equipada con nevera y microondas, y baño privado con ducha y secador de pelo. También se ofrece fogones y cafetera.

Centro Comercial Interlagos está a 7,2 km del alojamiento, y Pabellón de Ciccillo Matarazzo está a 7,4 km. El aeropuerto más cercano (Aeropuerto de São Paulo - Congonhas) está a 2 km del alojamiento.","Tumbonas/sillas de playa, Inglés, Abierta todo el año, Servicio de lavandería, TV de pantalla plana, Ropa de cama, Piscina pequeña, Zona de comedor, Sofá, WiFi gratis, Parking privado, Zona de estar, Piscina interior, Fogones, Parking adaptado para personas de movilidad reducida, Prohibido fumar en todo el alojamiento, Español, Microondas, Utensilios de cocina, Vistas a la ciudad, Ducha, Armario, Servicio de aparcacoches, Gimnasio, Toallas, Solo para adultos, Cafetera, Nevera, Parking en un garaje, Baño privado, Secador de pelo, Horario de apertura, Ascensor, Aire acondicionado, WC, Portugués, Balcón, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/414526762.jpg?k=96ebd8348f5bfcfa25502e008c49879faabe713ffbb1d81f21f328cd7d1cb39b&o=&hp=1,Congonhas,Brasil
Flat de Luxo no Aeroporto de Congonhas H414,https://www.booking.com/hotel/br/flat-de-luxo-no-aeroporto-de-congonhas.es.html?aid=2410095,"Flat de Luxo no Aeroporto de Congonhas H414, que tiene jardín, terraza y bar, dispone de alojamiento en São Paulo con wifi gratis y vistas a la piscina. Este alojamiento con vistas al jardín ofrece patio.

Este apartamento con aire acondicionado consta de 1 dormitorio independiente, 1 baño con artículos de aseo gratuitos y secador de pelo, y una sala de estar. Hay toallas y ropa de cama en el apartamento.

Se puede disfrutar de la piscina cubierta en el apartamento.

Centro Comercial Interlagos está a 6,5 km del alojamiento, y Parque Ibirapuera está a 7 km. El aeropuerto más cercano (Aeropuerto de São Paulo - Congonhas) está a 2 km.","Tumbonas/sillas de playa, Acceso a pisos superiores en ascensor, Terraza, Bar, Abierta todo el año, TV de pantalla plana, Detector de monóxido de carbono, Ropa de cama, Escritorio, Vistas al jardín, Plancha para ropa, Utensilios de planchado, WiFi gratis, Vistas a la piscina, Enchufe cerca de la cama, Piscina climatizada, Patio, Zona de estar, Piscina interior, Apartamento privado en edificio, Suelo de madera o parquet, TV, Minibar, Caja fuerte, Ducha, Bar en la piscina, Armario, Piscina en la azotea, Toallas, Artículos de aseo gratis, Para todas las edades, Jardín, Proporciona factura, Baño privado, Secador de pelo, Aire acondicionado, WC, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/384535338.jpg?k=9780b6749a85326bb4eb3c976f260e1fbbc2b0e7ebf63a154b4c6e2664e15ce0&o=&hp=1,Congonhas,Brasil
ELEGANCE SUÍTES CONGONHAS,https://www.booking.com/hotel/br/suites-congonhas-sao-paulo.es.html?aid=2410095,"ELEGANCE SUÍTES CONGONHAS se encuentra en São Paulo, a 6,5 km de Centro Comercial Interlagos y a 7 km de Parque Ibirapuera, y ofrece alojamiento con wifi gratis, aire acondicionado, jardín y restaurante.

Algunas unidades incluyen TV de pantalla plana por cable, cocina totalmente equipada con nevera y baño privado con ducha y artículos de aseo gratuitos.

Centro de Convenciones Sao Paulo Expo está a 7,3 km del alojamiento, y Fontes do Ipiranga State Park está a 7,5 km. El aeropuerto más cercano (Aeropuerto de São Paulo - Congonhas) está a 2 km del alojamiento.","Pista de tenis, Inglés, Bar, Restaurante, Ropa de cama, Escritorio, Perchero, WiFi gratis, Parking en la calle, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Español, Sauna, Caja fuerte, Guardaequipaje, Ducha, Armario, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de limpieza diario, Jardín, Canales por cable, Solárium, Parking gratis, Secador de pelo, Recepción 24 horas, Protector de enchufes para niños, Ascensor, Aire acondicionado, 2 piscinas, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/492172316.jpg?k=74ca086f87071880341f3fc05f7c7e068260c3fe3ca83fb9e0b3390291ef5fd4&o=&hp=1,Congonhas,Brasil
ibis Sao Paulo Congonhas,https://www.booking.com/hotel/br/ibis-sapso-paulo-congonhas.es.html?aid=2410095,"El ibis SP Congonhas ha reducido aún más la distancia entre el hotel y el aeropuerto gracias a la Nova Passarela. Ofrece recepción 24 horas y consigna de equipaje.

Las habitaciones del hotel están equipadas con armario. Las habitaciones tienen baño privado con artículos de aseo gratuitos. Las habitaciones del Ibis São Paulo Congonhas disponen de TV de pantalla plana con canales vía satélite.

El alojamiento sirve un desayuno buffet o continental cada día a partir de las 04:00. El restaurante del establecimiento, especializado en platos internacionales, también sirve almuerzos y cenas.

El bar del Ibis São Paulo Congonhas tiene mesa de billar y organiza una happy hour.

El hotel se encuentra a 2,2 km del centro comercial Shopping do Ibirapuera y a 7 km del parque de Ibirapuera.","Acceso a pisos superiores en ascensor, Bar, Tarjeta de acceso, Snack-bar, TV de pantalla plana, Servicio de lavandería, Extintores, Insonorización, Restaurante, Ropa de cama, Escritorio, Parking en el alojamiento, Alquiler de coches, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Happy hour, Estación de carga de vehículos eléctricos, Registro de entrada y salida exprés, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Terraza / solárium, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Bañera o ducha, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de limpieza diario, Canales por cable, WC con barras de apoyo, Seguridad 24 horas, Parking en un garaje, Baño privado, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/251931887.jpg?k=ca8e8b5d4b290945d372c14b28c2a1751938b422e106ce3c57a409f3a54ffa3e&o=&hp=1,Congonhas,Brasil
