hotel,hotel_url,description,popular_facilities,highres_url,city,country
MARINN PLACE Financial District,https://www.booking.com/hotel/pa/hyatt-place-panama-city-downtonw.es.html?aid=2410095,"El MARINN PLACE Financial District se encuentra en la Ciudad de Panamá, en Panamá, y ofrece una piscina al aire libre y un restaurante. Se proporciona WiFi gratuita.

Las habitaciones disponen de aire acondicionado. El baño privado incluye ducha y artículos de aseo gratuitos. También tienen sofá, escritorio con silla y utensilios de planchado.

El Marinn Place Panama City Downtown alberga un centro de fitness. Se facilita aparcamiento gratuito.

El hotel se encuentra a 2,4 km del parque natural metropolitano, a 3,1 km del Museo del Canal de Panamá y a 3,2 km del Palacio Presidencial.","Restaurante, Servicio de aparcacoches, Servicio de planchado, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Apoyo visual: carteles táctiles, Cámaras de seguridad fuera del alojamiento, Salas de reuniones / banquetes, Zona de fumadores, Fruta, Menú para niños, Fax / fotocopiadora, Servicio de traslado, Servicio de limpieza en seco, Supermercado pequeño en el alojamiento, Proporciona factura, Extintores, Parking en un garaje, Apoyo visual: braille, Español, Zona poco profunda, Piscina con vistas, Buen desayuno, Piscina al aire libre, Snack-bar, Abierta todo el año, Seguridad 24 horas, Ascensor, Bar, Recepción 24 horas, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Centro de negocios, Menús para dietas especiales (bajo petición), Toallas de playa/piscina, Parking gratis, Terraza / solárium, WC con barras de apoyo, WC elevado, 3 restaurantes, Gimnasio, Habitaciones hipoalergénicas, Detectores de humo, Caja fuerte, Plancha para pantalones, Adaptado personas de movilidad reducida, Servicio de lavandería, Adaptado para sillas de ruedas, Inglés, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Servicio de limpieza diario, Sombrillas, Valla alrededor de la piscina, Alarma de seguridad, Llave de acceso, Tour o clase sobre cultura local, Almuerzos para llevar, Happy hour, Cafetería en el alojamiento, Desayuno en la habitación, Guardaequipaje, Información turística, Tarjeta de acceso, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/524644747.jpg?k=9a5129305bb650c97f99595d6d8995d17dff5a63e58a95c6fae91e1024dfd64c&o=&hp=1,Balboa,Panamá
Decapolis Hotel Panama City,https://www.booking.com/hotel/pa/radisson-decapolis-panama-city.es.html?aid=2410095,"Este hotel elegante está ubicado en la ciudad de Panamá y tiene gimnasio y piscina climatizada al aire libre. Ofrece habitaciones con conexión WiFi gratuita y vistas a la ciudad o al mar.

El Decapolis Hotel Panama City presenta un diseño moderno y elegante que incluye obras de arte panameño originales. Todas las habitaciones son elegantes y disponen de aire acondicionado, TV de pantalla plana por cable, cafetera y minibar.
El Decapolis Hotel Panama se encuentra junto al centro comercial Multicentro y el casino Majestic, a solo 400 metros de la bahía de Panamá. Hay aparcamiento privado gratuito.

Las habitaciones con vistas al mar y a la ciudad están sujetas a disponibilidad.","Baño privado, Servicio de planchado, Zona TV / salón de uso compartido, Detector de monóxido de carbono, Insonorización, Habitaciones comunicadas disponibles, Masaje de cabeza, Zona de fumadores, Proporciona factura, Cajero automático en el hotel, Servicio de despertador, Cafetera, Sauna, Abierta todo el año, Hipoalergénico, Entrada privada, Plancha para ropa, WC con barras de apoyo, Masaje de espalda, TV, Gimnasio, Detectores de humo, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Vino / champán, Servicio de habitaciones, Instalaciones de spa, Almuerzos para llevar, Masaje en pareja, Tarjeta de acceso, Guardaequipaje, Nevera, Acceso a pisos superiores en ascensor, Para todas las edades, Restaurante, Servicio de aparcacoches, Prohibido fumar en todo el alojamiento, Horario de apertura, Spa y centro de bienestar, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Fruta, Fax / fotocopiadora, Caja fuerte para ordenador portátil, Masaje de manos, Secador de pelo, Aire acondicionado, Entrenador personal, Masajes, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Plancha para pantalones, Servicio de lavandería, Utensilios de planchado, Servicio de limpieza diario, Alarma de seguridad, Habitaciones insonorizadas, Ropa de cama, Terraza, TV de pantalla plana, WiFi gratis, Mobiliario exterior, Masaje de pies, Escritorio, Extintores, Parking en un garaje, Zona poco profunda, Piscina con vistas, Karaoke, Enchufe cerca de la cama, Parking adaptado para personas de movilidad reducida, Buen desayuno, Piscina al aire libre, Teléfono, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Paquetes de spa / bienestar, Zona de spa / relajación, Baños públicos, Habitaciones familiares, Toallas de playa/piscina, Baño de vapor, 3 restaurantes, Suelo de baldosa / mármol, Caja fuerte, Bañera o ducha, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Bañera de hidromasaje / jacuzzi, Valla alrededor de la piscina, Servicio de conserjería, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Piscina pequeña, Tumbonas/sillas de playa, Casino, Tetera/cafetera en todas las habitaciones, Cambio de moneda, Artículos de aseo gratis, Snack-bar, Perchero, Ascensor, WC elevado, Habitaciones hipoalergénicas, Armario, Bar en la piscina, Happy hour, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/232824462.jpg?k=5df1a6d08a70295be11271261457752dd1074b08261a364fcd266347468f8d5d&o=&hp=1,Balboa,Panamá
Riu Plaza Panamá,https://www.booking.com/hotel/pa/riu-plaza-panama.es.html?aid=2410095,"El Riu Plaza Panama está ubicado en el distrito financiero y ofrece habitaciones elegantes con WiFi gratuita. Tiene piscina al aire libre con bañera de hidromasaje. Se halla a solo 300 metros del santuario nacional del Corazón de María.

Las habitaciones son amplias, presentan una decoración floral colorida y disponen de zona de estar y TV de pantalla plana con canales por cable. Se ofrece café gratuito a la llegada. Algunas habitaciones tienen vistas a la ciudad.

El hotel alberga el Sushi Lounge, el restaurante Arts, el Capital Take Away, el Studio 50 y el Ibiza Lounge, donde se puede tomar una copa junto a la piscina.

El Riu Plaza tiene gimnasio y sala de conferencias.

El parque nacional Metropolitano queda a 3 km.","Servicio de planchado, Insonorización, Vistas a la ciudad, Zona de fumadores, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Servicio de despertador, Cafetera, Abierta todo el año, Hipoalergénico, Plancha para ropa, Suelo de moqueta, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Habitaciones sin humo, Bañera, Servicio de habitaciones, Vino / champán, Almuerzos para llevar, Tarjeta de acceso, Guardaequipaje, Nevera, Para todas las edades, Restaurante, Servicio de aparcacoches, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, 6 restaurantes, Secador de pelo, Alquiler de coches, Aire acondicionado, Sofá, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Plancha para pantalones, Servicio de lavandería, Servicio de limpieza diario, Jardín, Ropa de cama, Terraza, TV de pantalla plana, WiFi gratis, Mobiliario exterior, Canales por cable, Escritorio, Servicio de limpieza en seco, Extintores, Parking en un garaje, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Bar, Recepción 24 horas, Solárium, Habitaciones familiares, Toallas de playa/piscina, Caja fuerte, Sombrillas, Papel higiénico, Desayuno fantástico, Reloj despertador, Servicio de conserjería, Entretenimiento nocturno, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Tumbonas/sillas de playa, Canales vía satélite, Artículos de aseo gratis, Snack-bar, Perchero, Ascensor, Centro de negocios, Servicio de despertador / alarma, Armario, Bar en la piscina, Parking privado, Happy hour, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/306373203.jpg?k=45c6adfc2fe537075a0c031dadd435ff609cbbebd5451ec1a0fda79e3d00adf0&o=&hp=1,Balboa,Panamá
Plaza Paitilla Inn,https://www.booking.com/hotel/pa/plaza-paitilla-inn.es.html?aid=2410095,"El Plaza Paitilla Inn ofrece vistas panorámicas de la bahía de Panamá y cuenta con un lounge bar, piscina al aire libre y terrazas solárium. La propiedad también cuenta con un centro de negocios equipado y un gimnasio.

Las habitaciones cuentan con minibar y TV de pantalla plana por cable. En el caso de las habitaciones Ejecutivas, se encuentran ubicadas en los pisos superiores y ofrecen vistas panorámicas de la ciudad y la bahía. Todos los baños cuentan con secador de pelo y artículos de aseo.

El restaurante del Plaza Paitilla Inn está especializado en platos internacionales. Hay servicio de habitaciones disponible.

Hay un centro comercial a solo 6 minutos en coche del Plaza Paitilla y el centro comercial Albrook Mall está a 15 minutos en coche. El casco antiguo de Panamá está a 10 km y el Museo del Canal de Panamá, a 7 km. El establecimiento cuenta con 2 mostradores de información turística para ayudar a los huéspedes a organizar excursiones.

El aeropuerto internacional Marcos A. Gelabert se encuentra a 10 minutos en coche del Plaza Paitilla Inn.","Baño privado, Servicio de planchado, Zona TV / salón de uso compartido, Zona de fumadores, Menú para niños, Proporciona factura, Abierta todo el año, TV, Gimnasio, Detectores de humo, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Tarjeta de acceso, Guardaequipaje, Para todas las edades, Restaurante, Servicio de aparcacoches, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Horario de apertura, Spa y centro de bienestar, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Zona de estar, Caja fuerte para ordenador portátil, Secador de pelo, Aire acondicionado, Ducha, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Mesa de comedor, Servicio de lavandería, Servicio de limpieza diario, Alarma de seguridad, Habitaciones insonorizadas, Piscina infantil, Terraza, TV de pantalla plana, WiFi gratis, Mobiliario exterior, Canales por cable, Productos de limpieza, Escritorio, Servicio de limpieza en seco, Extintores, Zona poco profunda, Piscina con vistas, Karaoke, Enchufe cerca de la cama, Parking adaptado para personas de movilidad reducida, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Baños públicos, Toallas de playa/piscina, Suelo de baldosa / mármol, Caja fuerte, Billar, Bañera o ducha, Sombrillas, Papel higiénico, Reloj despertador, Toallas, Piscina pequeña, 2 piscinas, Tumbonas/sillas de playa, Parking en la calle, Cámaras de seguridad fuera del alojamiento, Adecuada para niños, Artículos de aseo gratis, Perchero, Ascensor, Servicio de despertador / alarma, Armario, Happy hour, Zona de comedor, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/146638586.jpg?k=817be757b6c1930793399f62730d274222b664add8284958d574584a3a28ed83&o=&hp=1,Balboa,Panamá
Studio Coliving Hotel,https://www.booking.com/hotel/pa/studio-coliving.es.html?aid=2410095,"Studio Coliving Hotel dispone de piscina al aire libre, centro de fitness, salón de uso común y terraza en Panamá. Este alojamiento ofrece restaurante, cocina compartida y recepción 24 horas, además de wifi gratis en todo el alojamiento. Hay bañera de hidromasaje y vistas a la ciudad.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. En Studio Coliving Hotel, cada habitación incluye ropa de cama y toallas.

Hay opciones a la carta o americanas de desayuno disponibles todos los días en el alojamiento.

Puente de Las Americas está a 7,2 km del alojamiento, y Ancon Hill está a 7,6 km. El aeropuerto más cercano (Aeropuerto internacional de Albrook Marcos A. Gelabert) está a 8 km del alojamiento.","Baño privado, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Detector de monóxido de carbono, Vistas a la ciudad, Zona de fumadores, Menú para niños, Proporciona factura, Zona de comedor exterior, Abierta todo el año, Plancha para ropa, WC con barras de apoyo, TV, Gimnasio, Detectores de humo, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Máquina expendedora (bebidas), Almuerzos para llevar, Tarjeta de acceso, Guardaequipaje, Nevera, Acceso a pisos superiores en ascensor, Accesible para personas sordas, Solo para adultos, Restaurante, Prohibido fumar en todo el alojamiento, Horario de apertura, Salas de reuniones / banquetes, Fruta, Supermercado pequeño en el alojamiento, Caja fuerte para ordenador portátil, Secador de pelo, Alquiler de coches, Aire acondicionado, Ducha, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Piscina en la azotea, Máquina expendedora (aperitivos), Utensilios de planchado, Alarma de seguridad, Ropa de cama, Terraza, TV de pantalla plana, WiFi gratis, Vistas, Mobiliario exterior, Escritorio, Extintores, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Recepción 24 horas, Baños públicos, Solárium, Habitaciones familiares, Suelo de baldosa / mármol, Caja fuerte, Adaptado para sillas de ruedas, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Bañera de hidromasaje / jacuzzi, Reloj despertador, Cafetería en el alojamiento, Toallas, Información turística, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Servicio de traslado, Artículos de aseo gratis, Ascensor, WC elevado, Habitaciones hipoalergénicas, Armario, Minibar, WC, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504329959.jpg?k=f973e083d2c2ddb2193396fb457b4fa72373c4574fd2b6ff829ac2f07aeb4c8b&o=&hp=1,Balboa,Panamá
Hospedium Princess Hotel Panamá,https://www.booking.com/hotel/pa/four-points-by-sheraton-panama.es.html?aid=2410095,"El Hospedium Princess Hotel Panamá, equipado con piscina, sauna y WiFi gratuita, está ubicado en el World Trade Centre, a 3 km de la playa de la bahía de Panamá y del centro de la ciudad de Panamá.

Las habitaciones presentan una decoración moderna y disponen de aire acondicionado, escritorio, caja fuerte para ordenador portátil y TV de pantalla plana por cable. También ofrecen vistas a la ciudad y a la piscina. Los baños son privados y cuentan con ducha y secador de pelo.

El restaurante del Hospedium Princess Hotel Panamá sirve cocina andina e internacional.

Este hotel se halla a 10 minutos en coche de Panamá Viejo y a 24 km del canal de Panamá. El aeropuerto internacional Marcos A. Gelabert queda a unos 30 minutos en coche.","Restaurante, Baño privado, Servicio de aparcacoches, Servicio de planchado, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Masaje de cabeza, Spa y centro de bienestar, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Servicio de traslado, Escritorio, Servicio de limpieza en seco, Proporciona factura, Extintores, Desayuno, Piscina al aire libre, Artículos de aseo gratis, Snack-bar, Teléfono, Abierta todo el año, Seguridad 24 horas, Ascensor, Bar, Recepción 24 horas, Aire acondicionado, Alquiler de coches, Zona de spa / relajación, Baños públicos, Masajes, Habitaciones familiares, Ducha, Toallas de playa/piscina, Parking gratis, Masaje de espalda, Español, TV, Gimnasio, Adaptado personas de movilidad reducida, Detectores de humo, Caja fuerte, Plancha para pantalones, Adaptado para sillas de ruedas, Servicio de lavandería, Inglés, Bañera o ducha, Traslado aeropuerto, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Servicios de belleza, Habitaciones sin humo, Bañera, Papel higiénico, Vino / champán, Máquina expendedora (bebidas), Servicio de habitaciones, Armario, Instalaciones de spa, Sombrillas, Servicio de conserjería, Alarma de seguridad, Habitaciones insonorizadas, Toallas, Desayuno en la habitación, Guardaequipaje, Ropa de cama, Información turística, Para todas las edades",https://cf.bstatic.com/xdata/images/hotel/max1024x768/81441590.jpg?k=17f2553bd3b6881c1ed2dba926f2dc8d047ec9889029c8b9bd34b1d31f92eef0&o=&hp=1,Balboa,Panamá
Megapolis Hotel Panama,https://www.booking.com/hotel/pa/hard-rock-panama-megapolis.es.html?aid=2410095,"El Hotel Panama Megapolis ocupa una impresionante torre de 66 plantas con vistas al mar de Panamá y cuenta con spa, piscina al aire libre, 2 restaurantes, 3 bares y conexión wifi gratuita.

Las habitaciones del Hotel Panama Megapolis son amplias y elegantes. Presentan una decoración moderna. Hay TV, aire acondicionado y baño con artículos de aseo de spa. La tarifa incluye conexión gratuita a internet.

El hotel alberga un spa con sauna y baños de vapor. La piscina infinita ofrece terraza con tumbonas, bar y vistas panorámicas a la ciudad. Este hotel también alberga un centro de fitness.

El centro comercial Megapolis Outlets y el casino Majestic se encuentran junto al hotel. El parque Cinta Costera está situado frente al mar, a 100 metros.

Este hotel se halla a 10 minutos en coche del canal de Panamá y a 3 km del parque natural Metropolitano. El aeropuerto internacional Marcos A. Gelabert queda a 15 minutos en coche.","Restaurante, Servicio de aparcacoches, Servicio de planchado, Prohibido fumar en todo el alojamiento, Muy buen desayuno, WiFi gratis, Tumbonas/sillas de playa, Pediluvio, Casino, Spa y centro de bienestar, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Salas de reuniones / banquetes, Adecuada para niños, Fruta, Fax / fotocopiadora, Servicio de limpieza en seco, Proporciona factura, Extintores, Parking en un garaje, Sala de juegos, Barandillas protectoras para bebés, Sauna, Snack-bar, Abierta todo el año, Seguridad 24 horas, Ascensor, Bar, Recepción 24 horas, Aire acondicionado, Paquetes de spa / bienestar, Zona de spa / relajación, Masajes, Solárium, Habitaciones familiares, Centro de negocios, Menús para dietas especiales (bajo petición), Toallas de playa/piscina, Parking gratis, Terraza / solárium, Baño de vapor, Español, Buffet para niños, Gimnasio, Habitaciones hipoalergénicas, Detectores de humo, Caja fuerte, Plancha para pantalones, Registro de entrada y salida exprés, Servicio de lavandería, Adaptado personas de movilidad reducida, Adaptado para sillas de ruedas, Billar, Inglés, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Habitaciones sin humo, Servicio de limpieza diario, Servicio de habitaciones, Instalaciones de spa, Sombrillas, Bañera de hidromasaje / jacuzzi, Servicio de conserjería, Alarma de seguridad, Llave de acceso, Almuerzos para llevar, 2 restaurantes, Cafetería en el alojamiento, Desayuno en la habitación, Guardaequipaje, Información turística, 2 piscinas, Tarjeta de acceso, Piscina infantil, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/9495074.jpg?k=d27ef267ccfeb9b89e71091c4f44efae80d35ca8aaeb0f0ba4d072abad67504a&o=&hp=1,Balboa,Panamá
Hotel Terranova,https://www.booking.com/hotel/pa/terranova.es.html?aid=2410095,"Este hotel de estilo moderno se encuentra en el elegante distrito Bella Vista y ofrece una piscina al aire libre, restaurante y WiFi y aparcamiento privado gratuitos. Todas las habitaciones están equipadas con TV de pantalla plana por cable y aire acondicionado.

Las habitaciones del Hotel Terranova presentan una decoración en tonos neutros con muebles elegantes de madera oscura. Todas las habitaciones incluyen un escritorio, sofá y baño privado con artículos de aseo gratuitos.

El Terranova, situado en el límite del distrito financiero de la Ciudad de Panamá, está a solo 600 metros del paseo marítimo. En las calles de los alrededores hay muchos restaurantes y tiendas.

Por un suplemento, se puede reservar servicio de traslado al aeropuerto, centros comerciales y destinos turísticos.

El aeropuerto internacional de Tocumen se encuentra a 20 minutos en coche del establecimiento.","Baño privado, Servicio de planchado, Servicio de entrega de comestibles, Detector de monóxido de carbono, Zona TV / salón de uso compartido, Vistas a la ciudad, Menú para niños, Proporciona factura, Servicio de despertador, Abierta todo el año, Registro de entrada / salida privado, TV, Detectores de humo, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Máquina expendedora (bebidas), Almuerzos para llevar, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Para todas las edades, Restaurante, Prohibido fumar en todo el alojamiento, Horario de apertura, Fruta, Fax / fotocopiadora, Secador de pelo, Aire acondicionado, Ducha, Menús para dietas especiales (bajo petición), Sofá, Parking gratis, Terraza / solárium, Español, Plancha para pantalones, Servicio de lavandería, Máquina expendedora (aperitivos), Traslado aeropuerto, Servicio de limpieza diario, Alarma de seguridad, Terraza, TV de pantalla plana, WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Escritorio, Servicio de limpieza en seco, Extintores, Parking en un garaje, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Baños públicos, Bar, Recepción 24 horas, Habitaciones familiares, Suelo de baldosa / mármol, Alquiler de bicicletas, Caja fuerte, Bañera o ducha, Papel higiénico, Servicio de conserjería, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Cambio de moneda, Artículos de aseo gratis, Snack-bar, Perchero, Ascensor, Habitaciones hipoalergénicas, Armario, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/54700914.jpg?k=eec48d85c25f5b073619302daa0d55cc323defc2a488e20e6f067fcab11c6243&o=&hp=1,Balboa,Panamá
Hotel Las Americas Golden Tower Panamá,https://www.booking.com/hotel/pa/las-americas-golden-tower-panama.es.html?aid=2410095,"El Hotel Las Américas Golden Tower Panamá está situado en el centro del distrito comercial de la ciudad de Panamá, justo enfrente del hospital Paitilla, y ofrece piscina cubierta climatizada y WiFi gratuita.

Los alojamientos son de lujo y tienen una decoración moderna, TV de pantalla plana, cafetera, caja fuerte y baño con secador de pelo y artículos de aseo gratuitos.

El Hotel Las Américas Golden Tower Panamá también alberga un spa completo con 3 cabinas de masaje, baño turco, sauna y piscina de agua salada para masajes y tratamientos especializados.

Se incluye centro de fitness, restaurante, instalaciones para reuniones y tiendas.

Además, el establecimiento se encuentra a 5 km del centro histórico de Panamá, donde está el Museo del Canal de Panamá, situado a 15 minutos en coche. El aeropuerto internacional de Tocumen está a 25 minutos en coche.","Restaurante, Baño privado, Servicio de planchado, Prohibido fumar en todo el alojamiento, Insonorización, WiFi gratis, Vistas, Calefacción, Mosquitera, Vistas a la ciudad, Spa y centro de bienestar, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Salas de reuniones / banquetes, Escritorio, Extintores, Parking en un garaje, Enchufe cerca de la cama, Servicio de despertador, Buen desayuno, Cafetera, Artículos de aseo gratis, Teléfono, Abierta todo el año, Secador de pelo, Seguridad 24 horas, Recepción 24 horas, Ascensor, Aire acondicionado, Baños públicos, Habitaciones familiares, Ducha, Centro de negocios, Radio, Sofá, Entrada privada, Parking gratis, Plancha para ropa, Español, TV, Gimnasio, Habitaciones hipoalergénicas, Detectores de humo, Piscina interior, Caja fuerte, Adaptado personas de movilidad reducida, Secadora de ropa, Servicio de lavandería, Inglés, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Utensilios de planchado, Habitaciones sin humo, Papel higiénico, Instalaciones de spa, Armario, Reloj despertador, Servicio de conserjería, Alarma de seguridad, Llave de acceso, Habitaciones insonorizadas, Toallas, Minibar, Información turística, Tarjeta de acceso, Acceso a pisos superiores en ascensor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/79650721.jpg?k=6179d1854e03dfe8d681c66ad47f5b23b32809c6b2631eb5ecd980a5c0cc42d3&o=&hp=1,Balboa,Panamá
The Executive Hotel,https://www.booking.com/hotel/pa/the-executive.es.html?aid=2410095,"The Executive Hotel dispone de gimnasio, restaurante y terraza y se encuentra en el barrio de Bella Vista de Panamá, al lado de la calle 52 y de Aquilino de la Guardia. Proporciona aparcamiento gratuito y habitaciones con balcón.

Todas las habitaciones de The Executive Hotel son amplias y cuentan con aire acondicionado, conexión WiFi gratuita, TV de pantalla plana, minibar y cafetera.

El restaurante del Executive Hotel sirve platos variados de cocina internacional. Además, el establecimiento dispone de cafetería y un bar en el vestíbulo.

The Executive dispone de recepción 24 horas y ofrece un servicio de enlace con el aeropuerto por un suplemento.

El establecimiento está a 5 minutos en coche del centro de exposiciones Bella Vista, a menos de 1 km de la bahía de Panamá y a 20 minutos en coche del canal de Panamá.","Restaurante, Baño privado, Prohibido fumar en todo el alojamiento, Insonorización, Muy buen desayuno, WiFi gratis, Vistas, Vistas a la ciudad, Tetera/cafetera en todas las habitaciones, Canales por cable, Salas de reuniones / banquetes, Servicio de traslado, Fax / fotocopiadora, Escritorio, Proporciona factura, Extintores, Parking en un garaje, Parking adaptado para personas de movilidad reducida, Servicio de despertador, Cafetera, Piscina al aire libre, Artículos de aseo gratis, Teléfono, Abierta todo el año, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Aire acondicionado, Ascensor, Ducha, Centro de negocios, Plancha para ropa, Parking gratis, Suelo de moqueta, Baño de vapor, Español, Gimnasio, Detectores de humo, Caja fuerte, Inglés, Servicio de lavandería, Traslado aeropuerto, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Servicio de habitaciones, Armario, Servicio de conserjería, Alarma de seguridad, Toallas, Guardaequipaje, Ropa de cama, Acceso a pisos superiores en ascensor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/122704988.jpg?k=c5923b7f4c0d18bd4f75b52ca03ac6a906e12e06b08603f308eec58290e5c58e&o=&hp=1,Balboa,Panamá
