hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Caña Brava Inn,https://www.booking.com/hotel/cr/cana-brava-inn.es.html?aid=2410095,"Hotel Caña Brava Inn está en Cañas, a 48 km de Parque Nacional Palo Verde, y dispone de alojamiento con jardín, parking privado gratis, restaurante y bar. El hotel libre de humo ofrece wifi gratis en todo el alojamiento.

El aeropuerto más cercano (Aeropuerto internacional Daniel Oduber Quirós) está a 57 km.","Jardín, Estación de carga de vehículos eléctricos, Prohibido fumar en todo el alojamiento, Bar, Aire acondicionado, Parking gratis, Habitaciones sin humo, Habitaciones familiares, Piscina, Desayuno, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548546546.jpg?k=f361e9d22ea500272e65ccc519a5f124ec7f0ae837f79ee007abbaae72dd23a3&o=&hp=1,Cañas,Costa Rica
Hotel Hacienda La Pacifica,https://www.booking.com/hotel/cr/hacienda-la-pacifica.es.html?aid=2410095,"El Hotel Hacienda La Pacífica se encuentra en la campiña de Costa Rica. El establecimiento alberga un spa que ofrece tratamientos y masajes por un suplemento, una piscina al aire libre y 2 salas para banquetes para eventos sociales y empresariales.

Las habitaciones, villas y suites presentan una decoración acogedora con muebles de madera y azulejos pintados a mano en el baño. Los alojamientos incluyen TV de pantalla plana con canales vía satélite, sofás o zona de estar, terraza con hamacas y artículos de aseo gratuitos. Algunos alojamientos tienen zona de cocina con fogones y nevera.

El bar restaurante. El Hotel Hacienda La Pacífica abre de 7:30 a 21:00 y sirve cocina internacional y platos locales.

La Hacienda La Pacífica cuenta con una tienda de regalos, servicio de lavandería, calefacción y cambio de divisa. Se recomiendan actividades como paseos a caballo y excursiones para observar la fauna.

El hotel está a unos 100 metros de la estación de autobuses, a 40 minutos en coche del parque nacional Palo Verde y a 45 minutos en coche del aeropuerto internacional Daniel Oduber Quirós.","Papel higiénico, Vistas al jardín, Fax / fotocopiadora, Caja fuerte, Baño privado, Inglés, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Traslado aeropuerto, Zona de juegos para niños, Secador de pelo, TV de pantalla plana, Toallas, WC, Servicio de traslado, Zona de spa / relajación, Guardaequipaje, Centro de negocios, Senderismo, Restaurante, Servicio de conserjería, Servicio de lavandería, Terraza, Ducha, Abierta todo el año, Servicio de planchado, Jardín, Spa y centro de bienestar, Mobiliario exterior, Cafetera, Escritorio, Servicio de limpieza diario, Información turística, Piscina al aire libre, Registro de entrada y salida exprés, Muy buen desayuno, Adaptado personas de movilidad reducida, Instalaciones de spa, Canales vía satélite, Perchero, Armario, Habitaciones familiares, TV, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/215120975.jpg?k=934e9ed4af4742696156dddb673a23d4894e6beb45a6ca50beb3c987bedc3977&o=&hp=1,Cañas,Costa Rica
Hotel Guadalupe,https://www.booking.com/hotel/cr/guadalupe.es.html?aid=2410095,"Hotel Guadalupe se encuentra en Tilarán, a 37 km de Sky Adventures Monteverde, y ofrece alojamiento con jardín, parking privado gratis y restaurante. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El hotel dispone de piscina al aire libre y mostrador de información turística.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y algunas unidades también disponen de vistas a la montaña.

Puedes jugar al ping-pong en el hotel.

Selvatura Park está a 39 km del alojamiento, y Cavernas de Venado está a 48 km. El aeropuerto más cercano (Aeropuerto internacional Daniel Oduber Quirós) está a 80 km.","WC con barras de apoyo, Piscina infantil, Papel higiénico, Baño privado, Adecuada para niños, Cámaras de seguridad fuera del alojamiento, 2 piscinas, Aire acondicionado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Desayuno en la habitación, Seguridad 24 horas, TV de pantalla plana, Español, Cámaras de seguridad en las zonas comunitarias, Lavamanos más bajo, Toallas, Supermercado pequeño en el alojamiento, Bañera o ducha, WC, Ping pong, Centro de negocios, Restaurante, Recepción 24 horas, Servicio de lavandería, Almuerzos para llevar, Artículos de aseo gratis, Ducha, Servicio de planchado, Parking adaptado para personas de movilidad reducida, Jardín, Servicio de limpieza en seco, Toallas de playa/piscina, Servicio de limpieza diario, Información turística, Fruta, Extintores, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Ventilador, Tumbonas/sillas de playa, TV, Habitaciones familiares, Inglés, Menú para niños, Desayuno fantástico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/289807486.jpg?k=585b411559e7ec057938073195aea640ccf901d8fd2a05e78d71b24a1f4e4205&o=&hp=1,Cañas,Costa Rica
Hotel Naralit,https://www.booking.com/hotel/cr/naralit.es.html?aid=2410095,"Hotel Naralit se encuentra en Tilarán, a 37 km de Sky Adventures Monteverde, y ofrece alojamiento con jardín, parking privado gratis y restaurante. El alojamiento está a unos 39 km de Selvatura Park, a 48 km de Cavernas de Venado y a 36 km de Jardín de Orquídeas de Monteverde. El hotel libre de humo ofrece wifi gratis en todo el alojamiento.

Santuario Ecológico Monteverde está a 38 km del alojamiento, y Reserva Bosque Nuboso Santa Elena está a 40 km. El aeropuerto más cercano (Aeropuerto internacional Daniel Oduber Quirós) está a 80 km.","Jardín, Llave de acceso, Estación de carga de vehículos eléctricos, Prohibido fumar en todo el alojamiento, WC con barras de apoyo, Español, Aire acondicionado, Parking en la calle, Habitaciones sin humo, Parking gratis, Restaurante, Servicio de limpieza diario, Extintores, Adaptado para sillas de ruedas, Habitaciones familiares, Adaptado personas de movilidad reducida, Parking adaptado para personas de movilidad reducida, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/162125042.jpg?k=bb329014733a81577021308d640384492c8523b8c7b7bcd0f52f66ffa5ccdf1d&o=&hp=1,Cañas,Costa Rica
Panoramic Views & Private Deck *Casa Venus*,https://www.booking.com/hotel/cr/panoramic-views-amp-private-deck-casa-venus.es.html?aid=2410095,"Panoramic Views & Private Deck *Casa Venus*, que tiene terraza, ofrece alojamiento en Tilarán con wifi gratis y vistas al jardín. El alojamiento, que está a 39 km de Sky Adventures Monteverde, dispone de jardín y parking privado gratis.

Este apartamento tiene acceso a un balcón con vistas a la montaña y cuenta con 1 dormitorio y zona de cocina totalmente equipada.

Selvatura Park está a 41 km del alojamiento, y Jardín de Orquídeas de Monteverde está a 38 km. El aeropuerto más cercano (Aeropuerto internacional Daniel Oduber Quirós) está a 82 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Vistas a la montaña, Vistas al jardín, Registro de entrada / salida privado, Habitaciones sin humo, Parking gratis, Traslado aeropuerto, Adaptado para sillas de ruedas, Secador de pelo, Toda la unidad en la planta baja, Menús para dietas especiales (bajo petición), Zona de cocina, Vistas, Toallas, Hervidor eléctrico, Servicio de traslado, Entrada privada, Guardaequipaje, Senderismo, Nevera, Plancha para pantalones, Canguro / servicios para niños, Servicio de lavandería, Utensilios de cocina, Terraza, Jardín, Prohibido fumar en todo el alojamiento, Mesa de comedor, Microondas, Adaptado personas de movilidad reducida, WiFi gratis, Toda la unidad accesible en silla de ruedas, Ventilador, Terraza / solárium, Tetera / cafetera, Inglés, Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/553896358.jpg?k=7b3b01e4e9bb061051733178f953f4cb91f3acd6393dfb6090c7e34da5b03f20&o=&hp=1,Cañas,Costa Rica
Lake Arenal Brewery & Hotel,https://www.booking.com/hotel/cr/lake-arenal-brewery-amp.es.html?aid=2410095,"Lake Arenal Brewery & Hotel se encuentra en Tilarán, a 46 km de Sky Adventures Monteverde, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este hotel de 2 estrellas tiene wifi gratis, terraza y restaurante. El hotel dispone de bañera de hidromasaje y servicio de habitaciones.

En el hotel, todas las habitaciones disponen de escritorio. Cada habitación incluye baño privado con ducha y artículos de aseo gratuitos, y algunas también ofrecen cocina con nevera.

En el alojamiento se puede disfrutar de un desayuno a la carta, continental o americano.

Se puede jugar al billar en Lake Arenal Brewery & Hotel, y la zona es ideal para practicar senderismo.

Cavernas de Venado está a 40 km del alojamiento, y Selvatura Park está a 48 km. El aeropuerto (Aeropuerto de Fortuna) está a 75 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Papel higiénico, Baño privado, Gimnasio, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Piscina con vistas, Seguridad 24 horas, Horario de apertura, Francés, Toallas, Bañera o ducha, WC, Masajes, Bar, Senderismo, Zona de fumadores, Restaurante, Buen desayuno, Enchufe cerca de la cama, Terraza, Ducha, Artículos de aseo gratis, Abierta todo el año, Parking adaptado para personas de movilidad reducida, Jardín, Spa y centro de bienestar, Mobiliario exterior, Pista de tenis, Escritorio, Cambio de moneda, Zona TV / salón de uso compartido, Información turística, Para todas las edades, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Bañera de hidromasaje / jacuzzi, Ventilador, Perchero, Billar, Terraza / solárium, Tumbonas/sillas de playa, Habitaciones familiares, Inglés, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/559814790.jpg?k=987adb8755ca2431ca3da7f2643a19d6ffa804ccb147adbcb344d98542794ea0&o=&hp=1,Cañas,Costa Rica
Lake Arenal Condos,https://www.booking.com/hotel/cr/arenal-maleku-luxury-condominiums.es.html?aid=2410095,"El Arenal Maleku Luxury Condominiums se encuentra en Naranjos Agrios, a solo 15 metros de la laguna de Arenal, y ofrece 3 piscinas al aire libre. También hay lavadora y secadora de ropa. Hay WiFi gratuita.

Los apartamentos del Luxury Lake Arenal Condominiums disponen de cocina completa con microondas, nevera y lavavajillas. Todas las salas de estar incluyen TV de pantalla plana por cable y zona de estar con sofá. También incluye balcón con vistas al lago.

Los huéspedes pueden hacer ejercicio en el gimnasio o reservar un masaje sin salir del apartamento. También hay pista de tenis y zona de barbacoa. Hay aparcamiento gratuito.","Papel higiénico, Windsurf, Inglés, Baño privado, Aire acondicionado, Gimnasio, Parking gratis, Habitaciones sin humo, Sala de juegos, Piscina con vistas, TV de pantalla plana, Horario de apertura, Vistas, Toallas, Masajes, Proporciona factura, Habitaciones insonorizadas, Utensilios de cocina, Terraza, Abierta todo el año, Lavadora, Jardín, Prohibido fumar en todo el alojamiento, Insonorización, Equitación, Calefacción, Extintores, Para todas las edades, Piscina al aire libre, WiFi gratis, Cocina, Secadora de ropa, Ciclismo, Perchero, Piscina infinita, Armario, Habitaciones familiares, Pesca, Balcón, Piscina privada, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/225983667.jpg?k=66721eeb8fd301e07572755d4f12238024a01afeb566ffb84d25158dd188439a&o=&hp=1,Cañas,Costa Rica
Vista Lago Arenal,https://www.booking.com/hotel/cr/vista-lago-arenal-piedras1.es.html?aid=2410095,"Vista Lago Arenal tiene vistas al jardín, wifi gratis y parking privado gratis. Está en Piedras, a 31 km de Cavernas de Venado.

Todas las unidades están equipadas con patio con vistas al lago, zona de cocina con microondas ybaño privado con ducha.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

Parque Mistico Arenal Hanging Bridges está a 42 km del alojamiento, y Sky Adventures Arenal está a 50 km. El aeropuerto más cercano (Aeropuerto de Fortuna) está a 66 km.","Ropa de cama, Papel higiénico, Vistas al jardín, Inglés, Baño privado, Parking gratis, Zona de comedor exterior, Vistas a un patio interior, Patio, Toda la unidad en la planta baja, Zona de cocina, Vistas, Toallas, Hervidor eléctrico, Bañera o ducha, Cocina compartida, Entrada privada, Enchufe cerca de la cama, Utensilios de cocina, Artículos de aseo gratis, Ducha, Parking adaptado para personas de movilidad reducida, Lavadora, Jardín, Llave de acceso, Mobiliario exterior, Vistas a un lugar de interés, Prohibido fumar en todo el alojamiento, Microondas, WiFi gratis, Toda la unidad accesible en silla de ruedas, Secadora de ropa, Ventilador, Perchero, Vistas al lago, Productos de limpieza, Tetera / cafetera, Armario, Habitaciones familiares, Independiente, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/370730716.jpg?k=97d62539ba2df67d5debb74204e4c40ab3f856094a7de16a1bc2c667e7eae37e&o=&hp=1,Cañas,Costa Rica
Hotel Puerto San Luis,https://www.booking.com/hotel/cr/puerto-san-luis-tilaran.es.html?aid=2410095,"Hotel Puerto San Luis tiene piscina al aire libre, jardín, restaurante y bar en Tilarán. Este alojamiento ofrece servicio de habitaciones y mostrador de información turística, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo está a 44 km de Sky Adventures Monteverde.

Las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones cuentan con baño privado con ducha y artículos de aseo gratuitos, y algunas también ofrecen cocina con nevera. En el hotel, las habitaciones disponen de ropa de cama y toallas.

La clientela puede practicar actividades en Tilarán y alrededores, como senderismo.

Cavernas de Venado está a 46 km del alojamiento, y Selvatura Park está a 46 km. El aeropuerto más cercano (Aeropuerto de Fortuna) está a 81 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Papel higiénico, Ropa de cama, Vistas al jardín, Windsurf, Baño privado, Fax / fotocopiadora, Vino / champán, Cámaras de seguridad fuera del alojamiento, Eventos deportivos en directo (emisión), Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Traslado aeropuerto, Aire acondicionado, Adaptado para sillas de ruedas, Piscina con vistas, TV de pantalla plana, Canales por cable, Vistas, Horario de apertura, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Bar, Baños públicos, Proporciona factura, Senderismo, Restaurante, Enchufe cerca de la cama, Almuerzos para llevar, Abierta todo el año, Artículos de aseo gratis, Ducha, Parking adaptado para personas de movilidad reducida, Jardín, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Happy hour, Zona poco profunda, Tobogán de agua, Información turística, Extintores, Piscina al aire libre, Para todas las edades, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Ventilador, TV, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/425152594.jpg?k=a972fc35710d224efe98cbe59130ed1cf7a372e4a5a26b2d3dd5ee2e7cc8becf&o=&hp=1,Cañas,Costa Rica
Finca Los Cerros Box 1,https://www.booking.com/hotel/cr/sunsets-view-hills.es.html?aid=2410095,"Finca Los Cerros Box 1 tiene vistas al jardín, wifi gratis y parking privado gratis. Está en Líbano, a 31 km de Sky Adventures Monteverde.

El camping ofrece terraza, vistas a la montaña, zona de estar, TV de pantalla plana, cocina totalmente equipada con nevera y microondas, y baño privado con ducha.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

Selvatura Park está a 33 km del alojamiento, y Sky Adventures Arenal está a 38 km. El aeropuerto (Aeropuerto internacional Daniel Oduber Quirós) está a 87 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Vistas a la montaña, Papel higiénico, Ropa de cama, Vistas al jardín, Inglés, Baño privado, Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Patio, TV de pantalla plana, Sofá cama, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, Plancha para ropa, Bañera o ducha, Servicio de traslado, Entrada privada, Plancha para pantalones, Nevera, Zona de fumadores, Sofá, Servicio de lavandería, Terraza, Ducha, Servicio de planchado, Jardín, Cambio de moneda, Mobiliario exterior, Cafetera, Servicio de limpieza en seco, Llave de acceso, Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de pícnic, Microondas, Información turística, WiFi gratis, Cocina, Ventilador, Productos de limpieza, Terraza / solárium, Zona de estar, Servicio de streaming (como Netflix), Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/513090661.jpg?k=064b9db24f528c68fe8ff60eeb72f486e128d4bdad3eab735d935ffd033f0cf9&o=&hp=1,Cañas,Costa Rica
