hotel,hotel_url,description,popular_facilities,highres_url,city,country
La Casa De La Luz,https://www.booking.com/hotel/pa/la-casa-de-la-luz.es.html?aid=2410095,"La Casa De La Luz está en San José y ofrece terraza. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Esta casa o chalet de 1 dormitorio ofrece TV de pantalla plana, aire acondicionado y sala de estar. La cocina está equipada con minibar.

El aeropuerto más cercano (Aeropuerto internacional Scarlett Martínez) está a 34 km.","Cocina, WiFi gratis, Italiano, Lavadora, Piscina privada, Vistas al jardín, Francés, Sauna, Aire acondicionado, Parking gratis, Español, Piscina, Inglés, Zona de cocina, Ruso, Minibar, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584465008.jpg?k=5bd04decd58c6aa3e6ce9fdbe9de01ad744def14b1ae202b1a364f59007a7a45&o=&hp=1,San José,Panamá
Hotel Coronado Inn,https://www.booking.com/hotel/pa/coronado-inn-restaurante-bar-amp-casino.es.html?aid=2410095,"El Coronado Hotel, situado a 4 km de Playa Coronado, ofrece una piscina al aire libre y habitaciones con aire acondicionado y conexión WiFi gratuita.

Las habitaciones del Evenia Coronado disponen de TV de pantalla plana por cable y caja fuerte. El baño privado incluye ducha.

El centro comercial Coronado está a 500 meters y alberga tiendas y restaurantes. Valle de Antón se encuentra a 30 km y el río Hato, a 35 km.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Horario de apertura, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Escritorio, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Piscina al aire libre, Artículos de aseo gratis, Perchero, Abierta todo el año, Ascensor, Aire acondicionado, Habitaciones familiares, Ducha, Plancha para ropa, Toallas de playa/piscina, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, TV, Suelo de baldosa / mármol, Detectores de humo, Caja fuerte, Adaptado para sillas de ruedas, Registro de entrada y salida exprés, Servicio de lavandería, Inglés, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Utensilios de planchado, Sombrillas, Papel higiénico, Servicio de limpieza diario, Armario, Toallas, Guardaequipaje, Ropa de cama, Para todas las edades, WC, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/565389501.jpg?k=8d4b06a6c7622e4c58b658195fa504f8715597db28659767144431b133596b52&o=&hp=1,San José,Panamá
Express Inn Coronado & Camping,https://www.booking.com/hotel/pa/express-inn.es.html?aid=2410095,"El Express Inn Coronado & Camping, situado a solo 5 km de la playa de Gorgona y a 8 km de la playa de Coronado, cuenta con piscina al aire libre y jardines. Las habitaciones disponen de conexión Wi-Fi gratuita y TV de pantalla plana por cable.

Las habitaciones del Express Inn Coronado presentan una decoración luminosa y funcional. Cuentan con aire acondicionado, escritorio, caja fuerte y baño privado con ducha y artículos de aseo gratuitos.

El restaurante del hotel sirve cocina internacional. En la ciudad de Coronado, situada a 10 minutos a pie, encontrará tiendas de comestibles, cafeterías y restaurantes.

El Express Inn Coronado & Camping dispone de una recepción abierta las 24 horas con mostrador de información turística y servicio de consigna de equipaje. También cuenta con aparcamiento privado gratuito. La ciudad de Panamá se encuentra a 90 minutos en coche.","Vistas a la piscina, Baño privado, Campo de golf (a menos de 3 km), WiFi gratis, Servicio de traslado, Escritorio, Servicio de despertador, Piscina al aire libre, Artículos de aseo gratis, Teléfono, Abierta todo el año, Alquiler de coches, Recepción 24 horas, Aire acondicionado, Ducha, Parking gratis, Español, TV, Suelo de baldosa / mármol, Inglés, Servicio de lavandería, Habitaciones sin humo, Armario, Jardín, Guardaequipaje, Información turística, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/25688024.jpg?k=b2b236c33d39d57889aa8afe9dd0ec41081439658de309d5cbd4e9782986a8a4&o=&hp=1,San José,Panamá
Apartamento de playa con vista al mar en coronado,https://www.booking.com/hotel/pa/apartamento-de-playa-con-vista-al-mar-en-coronado.es.html?aid=2410095,"Apartamento de playa con vista al mar en coronado, que tiene vistas a la ciudad, dispone de alojamiento con casino a unos 4 min a pie de Playa de Coronado. Este alojamiento frente a la playa ofrece ping pong, parking privado gratis y wifi gratis.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con nevera y microondas. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

En la recepción 24 horas, el personal habla inglés y español.

Hay zona de playa privada en el propio alojamiento.

El aeropuerto más cercano (Aeropuerto internacional Scarlett Martínez) está a 37 km.","Servicio de streaming (como Netflix), Vistas a la piscina, Servicio de entrega de comestibles, Campo de golf (a menos de 3 km), Cocina, Cama plegable, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Vistas, Casino, Vistas a la ciudad, Cámaras de seguridad fuera del alojamiento, Utensilios de cocina, Productos de limpieza, Baño al aire libre, Supermercado pequeño en el alojamiento, Vistas a la montaña, Toallas / sábanas (por un suplemento), Piscina privada, Zona de juegos interior, Parking en un garaje, Barbacoa, Parking adaptado para personas de movilidad reducida, Karaoke, Seguridad 24 horas, Cafetera, Artículos de aseo gratis, Tetera / cafetera, Baños públicos, Recepción 24 horas, Capilla, Playa, Cesta para mascotas, Aire acondicionado, Libros, DVD o música para niños, Registro de entrada / salida privado, Ascensor, Pesca, Ducha, Sofá, Parking gratis, Español, Situado frente a la playa, TV, Gimnasio, Detectores de humo, Zona privada de playa, Inglés, Vistas al mar, Servicio de lavandería, Sofá cama, Senderismo, Bañera o ducha, Hervidor eléctrico, Cámaras de seguridad en las zonas comunitarias, Sombrillas, Papel higiénico, Ping pong, Armario, Servicio de conserjería, Microondas, Alarma de seguridad, Entretenimiento nocturno, Toallas, Nevera, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/531127429.jpg?k=18cf9f948336a6e7130aeca0bc1c9a060949047d93fae1980206c878f119b543&o=&hp=1,San José,Panamá
Cacao Luxury Suite in Coronado,https://www.booking.com/hotel/pa/cacao-luxury-suite-in-coronado.es.html?aid=2410095,"Cacao Luxury Suite in Coronado se encuentra en Chame, a 11 min a pie de Playa de Coronado, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este alojamiento, que cuenta con club infantil, también cuenta con restaurante, parque acuático y terraza. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis.

Las habitaciones en el hotel están equipadas con aire acondicionado, zona de estar, TV de pantalla plana con canales vía satélite, cocina, zona de comedor, caja fuerte, y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En Cacao Luxury Suite in Coronado, cada habitación incluye ropa de cama y toallas.

El desayuno está disponible todos los días e incluye opciones a la carta, continentales o vegetarianas.

En el alojamiento, la clientela puede disfrutar de centro de spa. Se puede jugar al billar, al ping-pong y al tenis en este hotel de 5 estrellas, y la zona es ideal para practicar golf.

Hay una sauna, una peluquería y un centro de negocios en el propio alojamiento.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 83 km del alojamiento.","Minigolf, Baño privado, Servicio de planchado, Servicio de entrega de comestibles, Detector de monóxido de carbono, Zona TV / salón de uso compartido, Insonorización, Menú para niños, Proporciona factura, Sala de juegos, Horno, Cafetera, Parque acuático, Sauna, Pista de tenis, Abierta todo el año, Playa, Entrada privada, Instalaciones para deportes acuáticos en el alojamiento, Plancha para ropa, TV, Gimnasio, Detectores de humo, Zona de juegos para niños, Inglés, Hervidor eléctrico, Vino / champán, Bañera, Servicio de habitaciones, Habitaciones sin humo, Instalaciones de spa, Almuerzos para llevar, Para todas las edades, Club infantil, Restaurante, Equipamiento de juegos para exterior, Cenas temáticas, Prohibido fumar en todo el alojamiento, Horario de apertura, Taquillas en el gimnasio / spa, Spa y centro de bienestar, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Fax / fotocopiadora, Acceso al salón executive, Zona de estar, Vistas al jardín, Secador de pelo, Fogones, Aire acondicionado, Entrenador personal, Masajes, Ducha, Sofá, Parking gratis, Español, Buffet para niños, Mesa de comedor, Plancha para pantalones, Servicio de lavandería, Traslado aeropuerto, Utensilios de planchado, Ping pong, Servicio de limpieza diario, Jardín, Clases de yoga, Habitaciones insonorizadas, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Vistas a la piscina, Campo de golf (a menos de 3 km), Cocina, WiFi gratis, Vistas, Mobiliario exterior, Utensilios de cocina, Canales por cable, Zona de juegos interior, Servicio de limpieza en seco, Extintores, Zona poco profunda, Clases de fitness, Karaoke, Desayuno, Enchufe cerca de la cama, Equipamiento de tenis, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Patio, Capilla, Paquetes de spa / bienestar, Zona de spa / relajación, Baños públicos, Habitaciones familiares, Toallas de playa/piscina, Baño de vapor, Suelo de baldosa / mármol, Caja fuerte, Secadora de ropa, Billar, Bañera o ducha, Sombrillas, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Servicio de conserjería, Llave de acceso, Tostadora, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, 2 piscinas, Acceso a pisos superiores solo mediante escaleras, Tumbonas/sillas de playa, Silla de masajes, Vistas a un patio interior, Canales vía satélite, Servicio de traslado, Artículos de aseo gratis, Snack-bar, Centro de negocios, Habitaciones hipoalergénicas, Sofá cama, Servicios de belleza, Armario, Bar en la piscina, Microondas, Zona de comedor, WC, Aeróbic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/442754004.jpg?k=94f581d92a7f3e6bebcc296cb8b5816177852329ce4943e67cfd3f089243b0e5&o=&hp=1,San José,Panamá
The Blue House Panama,https://www.booking.com/hotel/pa/the-blue-house-panama.es.html?aid=2410095,"The Blue House Panama está en Chame y cuenta con vistas a la montaña, piscina al aire libre, jardín y terraza. En la casa rural, tanto el wifi como el parking privado son gratis.

The Blue House Panama ofrece servicio de alquiler de bicicletas, y en los alrededores se puede practicar ciclismo.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 84 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Noches de cine, Baños termales, Vistas, Wifi rápida gratis (113 Mbps), Masaje de cabeza, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Zona de fumadores, Ciclismo, Servicio de traslado, Baño al aire libre, Vistas a la montaña, Masaje de pies, Piscina privada, Extintores, Parking en un garaje, Zona poco profunda, Piscina al aire libre, Snorkel, Abierta todo el año, Masaje de manos, Baños públicos, Aire acondicionado, Tours a pie, Masajes, Habitaciones familiares, Ducha, Pesca, Instalaciones para deportes acuáticos en el alojamiento, Parking gratis, Terraza / solárium, Masaje de espalda, Español, Alquiler de bicicletas, Inglés, Ruta de bares, Bañera o ducha, Traslado aeropuerto, Senderismo, Cámaras de seguridad en las zonas comunitarias, Masaje de cuello, Habitaciones sin humo, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Jardín, Toda la unidad en la planta baja, Clases de yoga, Tour o clase sobre cultura local, Tours en bici, Masaje en pareja, Información turística, Para todas las edades, Terraza, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/526456068.jpg?k=7165d98b6ebde72bae3494c9611a1cb2686a7c4f005311f6509d3c432208e300&o=&hp=1,San José,Panamá
Casa Jardín Nueva Gorgona,https://www.booking.com/hotel/pa/caja-jardin-nueva-gorgona.es.html?aid=2410095,"Casa Jardín Nueva Gorgona se encuentra en Nueva Gorgona, a 1,7 km de Playa de Las Hamacas, y ofrece alojamiento con piscina al aire libre, parking privado gratis y jardín. Este hostal o pensión acepta mascotas y ofrece wifi gratis.

El hostal o pensión ofrece desayuno continental o americano.

Playa Malibú está a 2,4 km del alojamiento. El aeropuerto más cercano (Aeropuerto internacional Scarlett Martínez) está a 41 km del alojamiento.","Habitaciones familiares, Prohibido fumar en todo el alojamiento, Parking gratis, WiFi gratis, Jardín, Español, Desayuno, Piscina al aire libre, Inglés, Abierta todo el año, Playa, Aire acondicionado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581714720.jpg?k=df2c607f7bdd9799fc109928e667d971a5534a4310fd54bfa1c22bc5c0870d50&o=&hp=1,San José,Panamá
Aurora Luxury Suite con acceso a la playa,https://www.booking.com/hotel/pa/comoda-suite-con-acceso-a-playa.es.html?aid=2410095,"Aurora Luxury Suite con acceso a la playa, que cuenta con piscina al aire libre, jardín y terraza, ofrece alojamiento en Chame con wifi gratis y vistas a la piscina. Este apartamento dispone de parking privado gratis y servicio de habitaciones.

Este apartamento con aire acondicionado consta de 1 dormitorio independiente, 1 baño con artículos de aseo gratuitos y secador de pelo, y una sala de estar. Hay toallas y ropa de cama en el apartamento.

El desayuno está disponible todas las mañanas e incluye opciones buffet, a la carta o continentales.

Hay zona de playa privada en el propio alojamiento.

Playa de Coronado está a 10 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 83 km.","Vistas a la piscina, Restaurante, Baño privado, Cenas temáticas, Noches de cine, Prohibido fumar en todo el alojamiento, Detector de monóxido de carbono, WiFi gratis, Tumbonas/sillas de playa, Vistas, Horario de apertura, Canales por cable, Barandillas de seguridad para bebés, Fruta, Menú para niños, Escritorio, Zona de estar, Piscina privada, Proporciona factura, Zona poco profunda, Vistas al jardín, Desayuno, Caja fuerte para ordenador portátil, Enchufe cerca de la cama, Servicio de despertador, Piscina al aire libre, Artículos de aseo gratis, Sauna, Equipamiento de tenis, Pista de tenis, Teléfono, Perchero, Secador de pelo, Abierta todo el año, Bar, Zona de spa / relajación, Patio, Playa, Aire acondicionado, Habitaciones familiares, Ducha, Sofá, Toallas de playa/piscina, Parking gratis, Español, TV, Gimnasio, Buffet para niños, Caja fuerte, Zona privada de playa, Mesa de comedor, Apartamento privado en edificio, Inglés, Sofá cama, Ruta de bares, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Sombrillas, Instalaciones de spa, Vino / champán, Armario, Bar en la piscina, Música / espectáculos en directo, Nevera, Jardín, Camas extralargas (más de 2 metros), Happy hour, Cafetería en el alojamiento, Toallas, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/456095639.jpg?k=12ada3d8d8827e6fd4aa729c0e418f6b64b91cb6c672f0ad0a7b866825f269fe&o=&hp=1,San José,Panamá
Coronado Beach Paradise,https://www.booking.com/hotel/pa/coronado-beach-paradise.es.html?aid=2410095,"Coronado Beach Paradise se encuentra en El Llano del Medio y ofrece centro de fitness y zona de playa privada. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un patio.

La villa cuenta con terraza y vistas a la montaña, y dispone de 3 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 2 baños con ducha. Hay toallas y ropa de cama en la villa.

La villa ofrece zona de juegos infantil. Se puede practicar senderismo o pesca, ir a la piscina al aire libre, disfrutar de un momento de relax en el jardín o usar la zona de barbacoa.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 80 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Servicio de entrega de comestibles, Zona de fumadores, Vistas a la montaña, Lavadora, Toallas / sábanas (por un suplemento), Proporciona factura, Zona de comedor exterior, Horno, Abierta todo el año, Playa, Registro de entrada / salida privado, Entrada privada, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Zona de juegos para niños, Inglés, Ruta de bares, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Nevera, Para todas las edades, Prohibido fumar en todo el alojamiento, Horario de apertura, Baño al aire libre, Zona de estar, Vistas al jardín, Fogones, Alquiler de coches, Aire acondicionado, Ducha, Sofá, Parking gratis, Terraza / solárium, Español, Zona privada de playa, Mesa de comedor, Servicio de lavandería, Senderismo, Traslado aeropuerto, Jardín, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), Campo de golf (a menos de 3 km), Cocina, WiFi gratis, Vistas, Mobiliario exterior, Utensilios de cocina, Productos de limpieza, Parking en un garaje, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Ventilador, Tetera / cafetera, Baños públicos, Seguridad 24 horas, Patio, Habitaciones familiares, Pesca, Suelo de baldosa / mármol, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Música / espectáculos en directo, Zona de cocina, Llave de acceso, Toallas, Información turística, 2 piscinas, Noches de cine, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Barbacoa, Artículos de aseo gratis, Perchero, Sofá cama, Armario, Toda la unidad en la planta baja, Microondas, Happy hour, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/490389255.jpg?k=0b259c1060323b0f07af5e6e39e7aee15c7b3def5b16eaf5d501dc3be2f5f738&o=&hp=1,San José,Panamá
Mia Nueva Gorgona,https://www.booking.com/hotel/pa/mia.es.html?aid=2410095,"Mia Nueva Gorgona está en Nueva Gorgona, a 2 km de Playa de Las Hamacas, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. El alojamiento se encuentra a 2,7 km de Playa Malibú. Se puede comer algo en el restaurante o tomar algo en el bar, y hay wifi gratis en todo el alojamiento.

Todas las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también incluyen patio. En el hotel, las habitaciones incluyen ropa de cama y toallas.

En Mia Nueva Gorgona se puede disfrutar de un desayuno continental.

Puedes jugar al billar y al ping-pong en el alojamiento.

El aeropuerto (Aeropuerto internacional Scarlett Martínez) está a 41 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Restaurante, Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Bingo, Desayuno, Juegos de mesa / puzles, Piscina al aire libre, Artículos de aseo gratis, Perchero, Abierta todo el año, Bar, Playa, Aire acondicionado, Habitaciones familiares, Ducha, Parking gratis, Español, Zona privada de playa, Inglés, Billar, Traslado aeropuerto, Ping pong, Papel higiénico, Servicio de habitaciones, Habitaciones sin humo, Jardín, Toallas, Ropa de cama, Zona de comedor, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/568876464.jpg?k=9c8041da0a11d26285673ac238135db22d3419b25022fc61167798d0952825cd&o=&hp=1,San José,Panamá
