hotel,hotel_url,description,popular_facilities,highres_url,city,country
Inter Plaza Hotel,https://www.booking.com/hotel/br/inter-plaza-sorocaba.es.html?aid=2410095,"El Inter Plaza ofrece alojamiento con TV por cable y conexión Wi-Fi gratuita. El hotel está situado en el centro de Sorocaba, a 1 km de la terminal de autobuses de São Paulo.

Las habitaciones del Inter Plaza Hotel presentan una decoración rústica con suelo de vinilo antibacterial. Disponen de aire acondicionado y minibar. Algunas habitaciones tienen bañera de hidromasaje.

El Inter Plaza se encuentra a 90 km de São Paulo.","Tarjeta de acceso, Extintores, Llave de acceso, Ropa de cama, WiFi gratis, Teléfono, TV, Prohibido fumar en todo el alojamiento, Guardaequipaje, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Seguridad 24 horas, Servicio de habitaciones, Baño privado, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ascensor, Aire acondicionado, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/100920738.jpg?k=5c3b0481176df117a6e01100d15a90bf75302b5067552ee7ecdfdc64829c597c&o=&hp=1,Sorocaba,Brasil
Cardum Hotel,https://www.booking.com/hotel/br/cardum.es.html?aid=2410095,"El Cardum Hotel está situado en la zona central de Sorocaba. Cuenta con centro de fitness, sala de juegos y conexión gratuita a internet.

Todas las habitaciones están equipadas con TV LCD por cable, escritorio con conexión a internet, aire acondicionado y minibar. Las suites cuentan con bañera de hidromasaje y TV LCD de pantalla panorámica.

El restaurante Café da Manhã sirve una mezcla de cocina local e internacional. También hay varias cafeterías y restaurantes a poca distancia a pie del hotel.

El Hotel Cardum cuenta con gimnasio totalmente equipado y centro de fitness. También hay una sala de lectura, un salón de TV, una sala de juegos y un cibercafé.

Sao Paulo está a 45 minutos en coche del hotel. Hay aparcamiento gratuito.","Acceso a pisos superiores en ascensor, TV de pantalla plana, Extintores, Ropa de cama, Escritorio, Perchero, WiFi gratis, Enchufe cerca de la cama, Parking privado, Teléfono, Suelo de madera o parquet, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Guardaequipaje, Vistas a la ciudad, Papel higiénico, Armario, Toallas, Gimnasio, Billar, Servicio de aparcacoches, Sala de juegos, Canales por cable, Parking en un garaje, Baño privado, Vino / champán, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Portugués, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/472957075.jpg?k=c8690b4e404bd4bb93c7a2f8f0f4cdbbb2139924fd36def93a2ed5211c1e30de&o=&hp=1,Sorocaba,Brasil
ibis Sorocaba,https://www.booking.com/hotel/br/ibis-sorocaba.es.html?aid=2410095,"El Ibis Sorocaba se encuentra a 150 metros del centro comercial Esplanada y a 5 km del zoológico Quinzinho de Barros, y tiene fácil acceso a las autopistas de Castelo Branco y Raposo Tavares.

Las habitaciones incluyen aire acondicionado, TV inteligente y minibar.

El Ibis Sorocaba está a 2,7 km del hospital oftalmológico de Sorocaba.","Acceso a pisos superiores en ascensor, Terraza, Inglés, Bar, Tarjeta de acceso, Snack-bar, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Productos de limpieza, Parking en el alojamiento, Escritorio, Boles para mascotas, Zona de fumadores, Plancha para pantalones, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Registro de entrada y salida exprés, Cuerda de emergencia en el baño, Teléfono, Fruta, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, WC elevado, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Habitaciones insonorizadas, Centro de negocios, Caja fuerte, Guardaequipaje, Canales vía satélite, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de limpieza diario, Cesta para mascotas, Jardín, Servicio de limpieza en seco, WC con barras de apoyo, Cafetería en el alojamiento, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/419681866.jpg?k=149c04a3d3fcfc92a20f1336d2d2d008e00b32aba893f4b678403f14837a3abd&o=&hp=1,Sorocaba,Brasil
Zurique Sorocaba Hotel,https://www.booking.com/hotel/br/zurique-sorocaba-sorocaba.es.html?aid=2410095,"Zurique Sorocaba Hotel es un alojamiento de 3 estrellas que se encuentra en Sorocaba, a 1,8 km de Centro comercial Sorocaba, y que dispone de bar. El alojamiento está a 4 min a pie de Catedral, a 900 metros de Estación de autobús y a 7 min a pie de Monasterio de São Bento. Hay wifi gratis y se ofrece parking privado por un suplemento.

En el hotel se sirve todos los días un desayuno buffet.

El personal de recepción siempre está dispuesto a ayudar.

Zoológico de Sorocaba está a 2,4 km del alojamiento, y Parque da Biquinha está a 2,5 km. El aeropuerto más cercano (Aeropuerto internacional de Viracopos) está a 70 km del alojamiento.","Bar, Zona de fumadores, Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Parking privado, Cámaras de seguridad en las zonas comunitarias, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Centro de negocios, Salas de reuniones / banquetes, Buen desayuno, Proporciona factura, WC con barras de apoyo, Seguridad 24 horas, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, Máquina expendedora (bebidas), Ascensor, Aire acondicionado, Zona de spa / relajación, Habitaciones familiares, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/485820188.jpg?k=b0952d00c2fd4d90377f15587c6868aa40fdd42ff55de29d58aef6690df720b6&o=&hp=1,Sorocaba,Brasil
Hotel Dan Inn Sorocaba,https://www.booking.com/hotel/br/shelton-inn-sorocaba.es.html?aid=2410095,"Located next to the Sorocaba Shopping Mall, the 3-star Dan Inn invites you to enjoy cozy rooms and panoramic views while sunbathing on its terrace.

The terrace features an outdoor pool and a poolside bar. A gym and sauna are also found inside the hotel.

A business center, some convention rooms and free internet connection are an asset if you are traveling on business.

As a guest of Hotel Dan Inn Sorocaba, you can also savor a delicious breakfast buffet and international dishes in the restaurant. Room service is provided 24 hours a day.","Tumbonas/sillas de playa, Terraza, Inglés, Tarjeta de acceso, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Zona de fumadores, Adaptado personas de movilidad reducida, WiFi gratis, Piscina climatizada, Cuerda de emergencia en el baño, Parking privado, Baño de vapor, Piscina al aire libre, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, WC elevado, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Terraza / solárium, Español, Caja fuerte, Buffet para niños, Sauna, Guardaequipaje, Servicio de planchado, Salas de reuniones / banquetes, Servicio de aparcacoches, Buen desayuno, Servicio de limpieza diario, Gimnasio, Servicio de limpieza en seco, Desayuno en la habitación, WC con barras de apoyo, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Baño privado, Vino / champán, Portugués, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, Ascensor, Toallas de playa/piscina, Aire acondicionado, Lavamanos más bajo, Zona de spa / relajación, Habitaciones familiares, Taquillas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/325861878.jpg?k=60c4e0d6b88795d0cfe30fd9b50901aec24e27cb06728181c7ba6d7e9bef5c3e&o=&hp=1,Sorocaba,Brasil
Hotel Ipanema de Sorocaba,https://www.booking.com/hotel/br/ipanema-de-sorocaba.es.html?aid=2410095,"Este hotel goza de una buena ubicación, a 5 minutos en coche de los centros comerciales Sorocaba y Esplanada. Ofrece habitaciones con aire acondicionado, conexión Wi-Fi gratuita y aparcamiento gratuito. Hay recepción 24 horas.

Las modernas habitaciones del Hotel Ipanema de Sorocaba cuentan con TV por cable y minibar. El baño privado incluye ducha.

Mosteiro de. El monasterio de São Bento está a 500 metros del Ipanema de Sorocaba. El parque Campolim está a 3 km del hotel. La estación de autobuses de Sorocaba y el aeropuerto de Sorocaba se encuentran a 10 minutos en coche.","Acceso a pisos superiores en ascensor, Inglés, TV de pantalla plana, Servicio de lavandería, Extintores, Ropa de cama, Escritorio, WiFi gratis, Teléfono, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Armario, Toallas, Servicio de limpieza diario, Canales por cable, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/103528758.jpg?k=77240c148e220b9da42fad58c1745be76946073ff29891b7cf2ebc1f99daf9f0&o=&hp=1,Sorocaba,Brasil
Bravo City Hotel Sorocaba,https://www.booking.com/hotel/br/bravo-city-sorocaba.es.html?aid=2410095,"Bravo City Hotel Sorocaba está en Sorocaba, a 19 min a pie de Centro comercial Sorocaba, y dispone de alojamiento con wifi gratis y parking privado gratis. El alojamiento se encuentra a 2 km de Monasterio de São Bento, a 2,3 km de Catedral y a 3,4 km de Parque da Biquinha. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

En el hotel, las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades cuentan con minibar.

En Bravo City Hotel Sorocaba se sirve cada mañana un desayuno americano.

Estación de autobús está a 3,8 km del alojamiento, y Zoológico de Sorocaba está a 4,7 km. El aeropuerto (Aeropuerto internacional de Viracopos) está a 73 km.","TV de pantalla plana, Ropa de cama, Escritorio, Perchero, WiFi gratis, Enchufe cerca de la cama, TV, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Toallas, Buen desayuno, Servicio de habitaciones, Parking gratis, Baño privado, Recepción 24 horas, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/573684497.jpg?k=dc7e05d3735d1749c98f6b0cb46e28996a7ad7d92df2985a9d2667670fe55ba5&o=&hp=1,Sorocaba,Brasil
Hotel Nacional Inn Sorocaba,https://www.booking.com/hotel/br/nacional-inn-sorocaba-sorocaba.es.html?aid=2410095,"El Hotel Nacional Inn Sorocaba está situado cerca de la zona industrial de Sorocaba y ofrece habitaciones con conexión Wi-Fi gratuita y TV por cable. Cuenta con piscina al aire libre. Se facilita aparcamiento privado gratuito.

Las habitaciones del Nacional Inn son sencillas y están equipadas con aire acondicionado, minibar, escritorio y baño privado.

El Hotel Nacional Inn Sorocaba cuenta con piscina al aire libre con tobogán y recepción 24 horas.

El parque zoológico municipal Quinzinho de Barros, uno de los zoológicos más grandes de Sudamérica, está a solo 15 minutos en coche. El aeropuerto internacional de Viracopos en Campinas está a 66 km.","Tumbonas/sillas de playa, Inglés, Tarjeta de acceso, Abierta todo el año, Servicio de lavandería, Extintores, Llave de acceso, Tobogán de agua, Sombrillas, Zona de juegos para niños, Adaptado personas de movilidad reducida, WiFi gratis, Parking en la calle, Piscina al aire libre, Barbacoa, Fruta, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Menú para niños, Habitaciones hipoalergénicas, Guardaequipaje, Servicio de planchado, Salas de reuniones / banquetes, Servicio de limpieza diario, Buen desayuno, Billar, Eventos deportivos en directo (emisión), Para todas las edades, Gimnasio, Jardín, Servicio de limpieza en seco, WC con barras de apoyo, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Capilla, Parking gratis, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Horario de apertura, Recepción 24 horas, Detectores de humo, Toallas de playa/piscina, Aire acondicionado, Lavamanos más bajo, Zona de spa / relajación, Habitaciones familiares, Portugués, Servicio de traslado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/287860393.jpg?k=a744602d546515bd0ab677ae06f3406bd23a73261297e8baa87a6020257e6ec7&o=&hp=1,Sorocaba,Brasil
Plaza Inn Trevo Sorocaba,https://www.booking.com/hotel/br/hotel-trevo.es.html?aid=2410095,"El Plaza Inn Sorocaba se encuentra a solo 5 minutos en coche del centro de Sorocaba y cuenta con recepción 24 horas. El restaurante sirve un desayuno buffet todos los días. Hay conexión Wi-Fi gratuita.

Las habitaciones disponen de TV por cable, teléfono y baño privado. Todas las habitaciones disponen de aire acondicionado y TV LCD, mientras que las habitaciones familiares son más grandes y tienen balcón. Hay conexión Wi-Fi gratuita en todos los alojamientos.

El Plaza Inn Sorocaba se encuentra a 10 minutos en coche de la estación de autobuses de Sorocaba y de Raposo Tavares. El acceso a las autopistas de Castelo Branco. El aeropuerto Bertram Luiz Leupolz se encuentra a 5 minutos en coche.","Acceso a pisos superiores en ascensor, Inglés, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Escritorio, Zona de comedor, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Hipoalergénico, Teléfono, Fax / fotocopiadora, Servicio de despertador, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Guardaequipaje, Servicio de planchado, Ducha, Servicio de despertador / alarma, Salas de reuniones / banquetes, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Canales por cable, WC con barras de apoyo, Parking gratis, Baño privado, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/284916166.jpg?k=5fdd9b7e60228cc5889c18e67b987119c6b91e70ee28af28bad54378bc38bca6&o=&hp=1,Sorocaba,Brasil
DuPai Sorocaba,https://www.booking.com/hotel/br/dupai-sorocaba-sorocaba.es.html?aid=2410095,"DuPai Sorocaba se encuentra en Sorocaba, a 6,8 km de Centro comercial Sorocaba y a 3,5 km de Zoológico de Sorocaba, y ofrece wifi gratis. El alojamiento está a unos 3,7 km de Museo Histórico de Sorocaba, a 5,8 km de Estación de autobús y a 6,2 km de Catedral. Monasterio de São Bento está a 6,9 km del albergue y Parque da Biquinha, a 7,2 km.

Las habitaciones de este alojamiento incluyen TV y cocina. En el albergue, todas las habitaciones están equipadas con baño privado y ropa de cama.

Universidad Politécnica de Sorocaba está a 4 km del alojamiento, y Plaza Pio XII está a 4,5 km. El aeropuerto más cercano (Aeropuerto internacional de Viracopos) está a 68 km del alojamiento.","Tarjeta de acceso, Llave de acceso, Ropa de cama, Zona de fumadores, Zona de comedor, Alquiler de coches, Perchero, WiFi gratis, Enchufe cerca de la cama, Ventilador, Cámaras de seguridad en las zonas comunitarias, TV, Habitaciones hipoalergénicas, Minibar, Microondas, Utensilios de cocina, Ducha, Mesa de comedor, Toallas, Solo para adultos, Almuerzos para llevar, Nevera, Baño privado, Portugués, Toallas / sábanas (por un suplemento), WC, Cocina, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/525483953.jpg?k=f0528ec9b219ec6a4c7cec7c14eb4f6a22b58d85443131d9c6217ceec32c690f&o=&hp=1,Sorocaba,Brasil
