hotel,hotel_url,description,popular_facilities,highres_url,city,country
"OYO Hotel Lindoia, Petropolis",https://www.booking.com/hotel/br/lindoia.es.html?aid=2410095,"OYO Hotel Lindoia, Petropolis se encuentra en Petrópolis, a 8 km de Rampa de vuelo libre de Simeria y a 8,1 km de Estación de autobús de Petrópolis. Este hotel de 5 estrellas ofrece recepción 24 horas y wifi gratis. Este alojamiento libre de humo está a 17 min a pie de Catedral de San Pedro de Alcántara.

Todas las habitaciones de este alojamiento están equipadas con zona de estar, TV de pantalla plana con canales vía satélite y baño privado con artículos de aseo gratuitos y ducha. Las unidades tienen ropa de cama.

En el hotel se puede disfrutar de un desayuno buffet.

El aeropuerto (Aeropuerto internacional de Rio de Janeiro/Galeao) está a 65 km.","TV de pantalla plana, Extintores, Insonorización, Ropa de cama, Escritorio, WiFi gratis, Enchufe cerca de la cama, Zona de estar, Ventilador, Teléfono, Cámaras de seguridad en las zonas comunitarias, Entrada privada, TV, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Bañera o ducha, Canales vía satélite, Ducha, Servicio de despertador / alarma, Armario, Servicio de limpieza diario, Buen desayuno, Artículos de aseo gratis, Suelo de baldosa / mármol, Baño privado, Recepción 24 horas, WC, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/249565936.jpg?k=35c07888f8dc56cb68a5d267b6dfbb34a85e6ad470762041fd40b2f1b06b3055&o=&hp=1,Petrópolis,Brasil
Hotel Orleans,https://www.booking.com/hotel/br/haiti.es.html?aid=2410095,"El Hotel Orleans está situado a 500 metros del Museo Imperial de Petrópolis y ofrece conexión Wi-Fi gratuita.

Todas las habitaciones están equipadas con ventilador y TV LED. Todos disponen de baño privado. Algunas habitaciones cuentan con aire acondicionado.

La recepción está abierta las 24 horas.

La catedral de São Pedro de Alcântara se encuentra a 800 metros del Hotel Orleans. El aeropuerto más cercano es el aeropuerto internacional de Río de Janeiro/Galeao, situado a 62 km del Hotel Orleans.","Inglés, TV de pantalla plana, Extintores, Ropa de cama, Escritorio, Perchero, WiFi gratis, Enchufe cerca de la cama, Teléfono, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Minibar, Calefacción, Guardaequipaje, Toallas, Buen desayuno, Servicio de aparcacoches, Servicio de limpieza diario, Seguridad 24 horas, Parking gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, Aire acondicionado, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/105730764.jpg?k=77a3c136904e015d365368d0bf5899bc0ccae3d4a3a29b72ce92b24fdfefed4f&o=&hp=1,Petrópolis,Brasil
Dom Pedro Hotel,https://www.booking.com/hotel/br/dom-pedro.es.html?aid=2410095,"El Dom Pedro Hotel se encuentra justo enfrente de la iglesia histórica del Sagrado Coração de Jesús, en el centro histórico de Petrópolis, a 15 minutos a pie del famoso Museo Imperial. El establecimiento sirve desayunos.

Las habitaciones están equipadas con ventilador de techo, TV LED por cable, minibar y zona de comedor con microondas, tostadora, vajilla y cubertería. La conexión Wi-Fi es gratuita.

El Palacio de Cristal se encuentra a 1,5 km del Dom Pedro Hotel. La estación de autobuses de Petrópolis se encuentra a 10 minutos en coche y el aeropuerto internacional de Galeão está a 65 km. El Museo de la Cerveza de Bohêmia está a 1 km.

Nota: no tenemos ascensores.","Extintores, Ropa de cama, Escritorio, Plancha para ropa, WiFi gratis, Enchufe cerca de la cama, Ventilador, Servicio de despertador, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Bañera o ducha, Ducha, Armario, Toallas, Canales por cable, Baño privado, WC, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/297690791.jpg?k=1603d1e6c0d839fe1650c6b40e8c1c075879a134e54ac725c2436e62632cdc21&o=&hp=1,Petrópolis,Brasil
Hotel Casablanca Imperial,https://www.booking.com/hotel/br/hota-c-is-casablanca-ltda.es.html?aid=2410095,"El Hotel Casablanca Imperial ocupa un edificio tradicional de estilo colonial situado en el centro histórico de Petrópolis, donde hay diversos restaurantes, tiendas y opciones de entretenimiento, a solo 50 metros del Museo Imperial y a 1,7 km del Palacio de Cristal.

El hotel cuenta con piscina al aire libre y salón compartido con chimenea. Dispone de conexión WiFi gratuita en todas las instalaciones y de aparcamiento privado gratuito. En el establecimiento también hay bar y centro de fitness.

Las habitaciones del Casablanca Imperial son luminosas y acogedoras, y cuentan con TV de pantalla plana con canales por cable, teléfono y minibar. Algunas habitaciones incluyen aire acondicionado, mientras que otras tienen ventilador. El baño es privado y tiene ducha.

Todos los días se sirve un desayuno buffet en el hotel que consta de una selección de fruta fresca, bebidas frías y calientes, pan, especialidades brasileñas y locales, y embutidos.

El Casablanca Imperial se encuentra a solo 450 metros de la avenida Koeller y a 650 metros de la catedral de São Pedro de Alcântara. La estación de autobuses de Petrópolis se encuentra a 5 km del establecimiento y el aeropuerto internacional de Río de Janeiro/Galeão, el más cercano, queda a 59 km.","Inglés, Bar, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Extintores, Restaurante, Ropa de cama, Perchero, WiFi gratis, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Servicio de despertador, TV, Minibar, Centro de negocios, Ducha, Armario, Toallas, Artículos de aseo gratis, Servicio de aparcacoches, Gimnasio, Jardín, Canales por cable, Desayuno en la habitación, Servicio de habitaciones, Parking gratis, Baño privado, Vino / champán, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/91684374.jpg?k=7200585207adc78bfb793ef9e5a3f055fa2e9a43b3d5b7f2f2b831d929e38ed1&o=&hp=1,Petrópolis,Brasil
Hotel Serra da Estrela,https://www.booking.com/hotel/br/serra-da-estrela.es.html?aid=2410095,"El Serra da Estrela goza de una ubicación céntrica en la histórica ciudad de Petrópolis, a 62 km del aeropuerto de Galeao. Ofrece alojamiento práctico.

Las habitaciones del Hotel Serra da Estrela disponen de TV por cable. Hay conexión Wi-Fi gratuita en todo el hotel.

El Hotel Serra da Estrela se encuentra a 5 minutos a pie del Museo Imperial. Hay aparcamiento a 300 metros, disponible por un suplemento.","Extintores, TV de pantalla plana, WiFi gratis, Registro de entrada / salida privado, Ventilador, Teléfono, Fax / fotocopiadora, Servicio de despertador, Cámaras de seguridad en las zonas comunitarias, TV, Prohibido fumar en todo el alojamiento, Armario, Mesa de comedor, Servicio de limpieza diario, Baño privado, Recepción 24 horas, Zona TV / salón de uso compartido, Habitaciones familiares, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/334769643.jpg?k=06ea7b8f0a04d97fededc7ae1af416fba85ad834cc18965740b0401191017632&o=&hp=1,Petrópolis,Brasil
Suítes Recanto Petrópolis,https://www.booking.com/hotel/br/suite-aconchego-imperial-petropolis.es.html?aid=2410095,"Suítes Recanto Petrópolis está a 10 min a pie de Catedral de San Pedro de Alcántara y ofrece terraza, además de alojamiento con balcón y wifi gratis.

Cada unidad cuenta con cocina totalmente equipada con mesa de comedor, TV de pantalla plana con canales vía satélite y baño privado con ducha y secador de pelo. Todas las unidades cuentan con un patio con vistas al jardín.

Rampa de vuelo libre de Simeria está a 7,1 km del alojamiento, y Estación de autobús de Petrópolis está a 7,2 km. El aeropuerto más cercano (Aeropuerto internacional de Rio de Janeiro/Galeao) está a 64 km.","Terraza, Tetera / cafetera, TV de pantalla plana, Productos de limpieza, Ropa de cama, Vistas al jardín, Zona de comedor, Zona de fumadores, Plancha para ropa, Utensilios de planchado, Perchero, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Patio, Registro de entrada / salida privado, Fruta, Apartamento privado en edificio, TV, Prohibido fumar en todo el alojamiento, Independiente, Utensilios de cocina, Canales vía satélite, Ducha, Mesa de comedor, Vistas, Toallas, Suelo de baldosa / mármol, Proporciona factura, Nevera, Baño privado, Vino / champán, Portugués, Tostadora, Secador de pelo, Toda la unidad en la planta baja, WC, Habitaciones familiares, Cocina, Balcón, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/549667183.jpg?k=4dbf0b7befebbb62a4cb35156f6cfe87bddebf610fa6a73b01cbe563cd80bf90&o=&hp=1,Petrópolis,Brasil
Grande Hotel Petrópolis,https://www.booking.com/hotel/br/grande-hotel-petropolis.es.html?aid=2410095,"El Grande Hotel Petrópolis se encuentra en un edificio histórico de los años 30, a solo 50 metros del Museo Imperial de Petrópolis. Ofrece alojamiento con aire acondicionado split, gimnasio y conexión Wi-Fi gratuita.

El Petrópolis Grande Hotel dispone de habitaciones modernas con TV LCD, minibar y caja fuerte. Algunas habitaciones disponen de sofá cama y todas cuentan con suelo de parqué y escritorio.

El restaurante del hotel sirve un desayuno bufé con fruta fresca, cereales y pan. Ofrece además una selección de platos locales e internacionales para el almuerzo y la cena.

En el mostrador de información turística se pueden organizar excursiones. El establecimiento dispone de sauna y servicio de lavandería, así como servicio de habitaciones.

Se ofrece un servicio de conserjería y recepción 24 horas. La terminal de autobuses más cercana se encuentra a 8 km y el aeropuerto internacional Antonio Carlos Jobim está a 65 km.","Acceso a pisos superiores en ascensor, Inglés, Bar, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Escritorio, Información turística, Menús para dietas especiales (bajo petición), Alquiler de coches, Adaptado personas de movilidad reducida, WiFi gratis, Teléfono, Servicio de conserjería, Fax / fotocopiadora, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, Desayuno fantástico, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Habitaciones hipoalergénicas, Centro de negocios, Español, Caja fuerte, Sauna, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de aparcacoches, Gimnasio, Artículos de aseo gratis, Servicio de limpieza diario, Servicio de limpieza en seco, Desayuno en la habitación, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Secador de pelo, Zona de juegos interior, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Club infantil, Portugués, Servicio de traslado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/117692659.jpg?k=f65e790f59736cee6ccf08a12b0d9b269d0ca320e009965fd8b1af883c712210&o=&hp=1,Petrópolis,Brasil
ibis budget Petropolis,https://www.booking.com/hotel/br/ibis-budget-petropolis.es.html?aid=2410095,"Ibis budget Petropolis se encuentra en Petrópolis, a 5,2 km de Catedral de San Pedro de Alcántara y a 10 km de Rampa de vuelo libre de Simeria. Este hotel de 2 estrellas tiene habitaciones con aire acondicionado, baño privado y wifi gratis. Este alojamiento libre de humo está a 15 min a pie de Estación de autobús de Petrópolis.

En el hotel, las habitaciones disponen de TV de pantalla plana y algunas también ofrecen vistas a la ciudad.

En ibis budget Petropolis se puede disfrutar de un desayuno buffet.

El personal de recepción habla inglés, español y portugués, y está siempre dispuesto a echar una mano.

El aeropuerto (Aeropuerto internacional de Rio de Janeiro/Galeao) está a 59 km.","Inglés, TV de pantalla plana, Extintores, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, TV, Prohibido fumar en todo el alojamiento, Español, Guardaequipaje, Supermercado pequeño en el alojamiento, Ducha, Buen desayuno, Artículos de aseo gratis, WC con barras de apoyo, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, WC, Aire acondicionado, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/317836579.jpg?k=f416996eb52c1a5ab97a8ea1da874c3102b5e065d23f1dd55501aea748525f37&o=&hp=1,Petrópolis,Brasil
Village Hostel,https://www.booking.com/hotel/br/village-inn-house-hostel.es.html?aid=2410095,"Village Hostel se encuentra en Petrópolis, a 2,8 km de Catedral de San Pedro de Alcántara, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. El albergue está a unos 6,9 km de Rampa de vuelo libre de Simeria y a 8,6 km de Estación de autobús de Petrópolis. El alojamiento dispone de cocina compartida y wifi gratis en todo el alojamiento.

El aeropuerto más cercano (Aeropuerto internacional de Rio de Janeiro/Galeao) está a 66 km del alojamiento.","Parking gratis, Portugués, Ducha, Prohibido fumar en todo el alojamiento, Abierta todo el año, Piscina al aire libre, Toallas, Para todas las edades, Parking adaptado para personas de movilidad reducida, WC, Zona TV / salón de uso compartido, Jardín, Cocina compartida, WiFi gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522452050.jpg?k=1f0cc26d09de87cbb39c891548c8943047239aa93ab2c35aeebb94828305f0cd&o=&hp=1,Petrópolis,Brasil
Pousada Catedral,https://www.booking.com/hotel/br/braganca-palace.es.html?aid=2410095,"Pousada Catedral tiene una excelente ubicación, está en el corazón de la ciudad imperial, que tiene una belleza única, es el destino adecuado para cientos de personas que buscan naturaleza, tranquilidad y refinamiento.

Pousada Catedral encaja perfectamente en este escenario, un lugar acogedor lleno de encanto, rodeado de naturaleza y un clima súper agradable. La posada cuenta con 21 suites, siendo la mejor opción para el descanso, turismo y viajes de negocios. Aquí disfrutará de tranquilidad y sofisticación al mismo tiempo.

Nuestro objetivo principal es hacerte sentir especial, conectarte con el encanto de la Serra. Además, nuestras suites están totalmente equipadas para que usted sea aún más cómodo. Definitivamente un lugar al que querrás volver cuando puedas.

El Inn es Pet Friendly!","Inglés, Bar, TV de pantalla plana, Extintores, Boles para mascotas, Llave de acceso, Restaurante, Ropa de cama, Escritorio, Zona de comedor, Menús para dietas especiales (bajo petición), Zona de fumadores, Plancha para ropa, Perchero, WiFi gratis, Enchufe cerca de la cama, Happy hour, Servicio de streaming (como Netflix), Teléfono, Fruta, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Entrada privada, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Calefacción, Buffet para niños, Guardaequipaje, Ducha, Servicio de despertador / alarma, Salas de reuniones / banquetes, Toallas, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de limpieza diario, Almuerzos para llevar, Canales por cable, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Baño privado, Vino / champán, Secador de pelo, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, WC, Aire acondicionado, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/427380366.jpg?k=fa9e195a21cf31923231c15c68942e04353d42af37c9e133c14310276b994fee&o=&hp=1,Petrópolis,Brasil
Hotel Casablanca Koeler,https://www.booking.com/hotel/br/casablanca-koeler.es.html?aid=2410095,"Este hotel, ubicado al otro lado de la catedral de São Pedro de Alcântara, ofrece habitaciones modernas con conexión Wi-Fi gratuita y aparcamiento gratuito. Cuenta con desayuno bufé, restaurante y recepción abierta las 24 horas.

Las habitaciones del Hotel Casablanca Koeler disponen de baño con ducha, TV, teléfono, caja fuerte y aire acondicionado o ventilador.

El Museo Imperial está situado a 300 metros y el Museo Casa de Santos Dumont está situado a 500 metros del Hotel Casablanca Koeler.","Tumbonas/sillas de playa, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Escritorio, WiFi gratis, Enchufe cerca de la cama, Teléfono, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Guardaequipaje, Servicio de planchado, Ducha, Armario, Servicio de aparcacoches, Servicio de limpieza diario, Jardín, Canales por cable, Desayuno en la habitación, Parking gratis, Baño privado, Recepción 24 horas, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/12945701.jpg?k=4a5f5f861399e111a1fb2de5e8b9f60bb06dac7f9c87941f38f4fd9896dee9cb&o=&hp=1,Petrópolis,Brasil
Hotel Cidade Imperial,https://www.booking.com/hotel/br/hostel-vin-imperial.es.html?aid=2410095,"El Hotel Cidade Imperial ofrece alojamiento con salón compartido y jardín a 500 metros de la catedral de San Pedro de Alcántara. Hay WiFi gratuita.

Cerca del Hotel Cidade Imperial hay varios lugares de interés, como la Casa de Rui Barbosa, la Casa da Ipiranga y la Casa de Barão de Mauá. El aeropuerto más cercano es el aeropuerto internacional de Río de Janeiro/Galeão, situado a 63 km.","Inglés, Jardín, Portugués, Prohibido fumar en todo el alojamiento, Extintores, Toallas / sábanas (por un suplemento), Ropa de cama, Servicio de limpieza diario, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Mobiliario exterior, Zona de pícnic, Habitaciones familiares, WiFi gratis, Español, Enchufe cerca de la cama, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/493634180.jpg?k=9c35af6836ff5ce625408e68d0869bdc0f782621257d2ca7cbb4bb84de369bf8&o=&hp=1,Petrópolis,Brasil
