hotel,hotel_url,description,popular_facilities,highres_url,city,country
Rede Andrade Vivaldi,https://www.booking.com/hotel/br/vivaldi-cataratas.es.html?aid=2410095,"El Rede Andrade Vivaldi se encuentra a 7 km del centro de Foz do Iguaçu y a 28 km de las cataratas de Foz do Iguaçu.

Ofrece habitaciones con aire acondicionado y una piscina. Hay WiFi y aparcamiento.

Se sirve un desayuno buffet. Las habitaciones disponen de camas cómodas, TV, minibar, teléfono y baño privado con ducha.

La estación de autobuses de Foz do Iguaçu está a 5 km y el aeropuerto internacional de Foz do Iguaçu, a 17 km. La frontera con Paraguay está a 6 km.","Acceso a pisos superiores en ascensor, TV de pantalla plana, Llave de acceso, Desayuno fabuloso, Ropa de cama, Zona de fumadores, Escritorio, Información turística, Adaptado personas de movilidad reducida, WiFi gratis, Parking en la calle, Piscina al aire libre, Alarma de seguridad, Entrada privada, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, WC elevado, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Español, Guardaequipaje, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Jardín, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Horario de apertura, Recepción 24 horas, Ascensor, Aire acondicionado, WC, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/371429648.jpg?k=869b539d56581a3cc6035a5fb619f2b84c1fa93d3af70a48117ba0e4fead3977&o=&hp=1,Foz do Iguaçu,Brasil
Hotel Lawrence,https://www.booking.com/hotel/br/lawrence.es.html?aid=2410095,"El Hotel Lawrence está situado en el centro de Foz do Iguaçu y ofrece piscina al aire libre, habitaciones con aire acondicionado, desayuno bufé, recepción 24 horas y aparcamiento y conexión Wi-Fi gratuitos.

Las habitaciones están equipadas con baño privado, TV por cable, teléfono, minibar, accesorios de madera y suelo de baldosa.

El Hotel Lawrence está a 7 km del parque nacional de Iguaçu y sus impresionantes cataratas, a 3,3 km de la triple frontera entre Brasil, Argentina y Paraguay y a 13 km del aeropuerto internacional de Foz de Iguazú/Cataratas.","Tumbonas/sillas de playa, Terraza, Tarjeta de acceso, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Zona de fumadores, Tobogán de agua, Información turística, Sombrillas, Alquiler de coches, Cocina compartida, Adaptado personas de movilidad reducida, WiFi gratis, Juegos de mesa / puzles, Registro de entrada y salida exprés, Traslado aeropuerto, Piscina al aire libre, Barbacoa, Fruta, Registro de entrada / salida privado, Fax / fotocopiadora, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Muy buen desayuno, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Menú para niños, Español, Terraza / solárium, Calefacción, Buffet para niños, Guardaequipaje, Servicio de planchado, Armario, Valla alrededor de la piscina, Servicio de aparcacoches, Billar, Servicio de limpieza diario, Para todas las edades, Sala de juegos, Jardín, Proporciona factura, WC con barras de apoyo, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Alquiler de bicicletas, Adaptado para sillas de ruedas, Piscina infantil, Horario de apertura, Recepción 24 horas, Toallas de playa/piscina, Zona TV / salón de uso compartido, Aire acondicionado, Lavamanos más bajo, Acceso a pisos superiores solo mediante escaleras, Zona de pícnic, Habitaciones familiares, Barandillas protectoras para bebés, Zona de spa / relajación, Portugués, Servicio de traslado, Habitaciones sin humo, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/446503013.jpg?k=008f94b5b4b45c3ec1f0324832844575e4444253831f15cd713371bc3e122453&o=&hp=1,Foz do Iguaçu,Brasil
Hotel Trevita Foz,https://www.booking.com/hotel/br/trevita-foz.es.html?aid=2410095,"El Hotel Trevita Foz se encuentra en Foz de Iguazú. Las tarifas incluyen la conexión WiFi y el desayuno, que consiste en fruta fresca, pan, embutidos y bebidas frías y calientes.

Las habitaciones son sencillas y disponen de TV, aire acondicionado, minibar y baño privado con ducha y secador de pelo. Incluyen escritorio y ropa de cama.

El Hotel Trevita Foz cuenta con recepción 24 horas, salón común y aparcamiento gratuito.

El hotel se encuentra a 12,9 km del parque de las Aves, a 21,7 km del parque nacional de Iguazú y a 11 km del aeropuerto internacional Cataratas.","Acceso a pisos superiores en ascensor, Inglés, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Extintores, Ropa de cama, Productos de limpieza, Escritorio, Información turística, Zona de fumadores, Plancha para ropa, WiFi gratis, Enchufe cerca de la cama, Hipoalergénico, Teléfono, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Español, Calefacción, Guardaequipaje, Ducha, Vistas a un patio interior, Papel higiénico, Armario, Toallas, Servicio de limpieza diario, Jardín, Suelo de baldosa / mármol, Canales por cable, Parking gratis, Baño privado, Parking en un garaje, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, Aire acondicionado, WC, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/178680283.jpg?k=2472d8152811abd3bd6362b723f77cc9a442776bbb7ba1b822ba75b701e6fc73&o=&hp=1,Foz do Iguaçu,Brasil
Bogari Hotel,https://www.booking.com/hotel/br/bogari.es.html?aid=2410095,"Set in the Foz do Iguacu City Centre,14 km from Birds Park, Bogari Hotel boasts an outdoor swimming pool, a Jacuzzi and a on-site bar. Free WiFi is available throughout the property.

With modern décor and furnishing, each guestroom here comes with air conditioning, a flat-screen TV with cable channels, a telephone and a minibar. Featuring a shower, the private bathroom also comes with a hairdryer. Extras include a desk and a safety deposit box.

Breakfast is available each morning, and includes continental and à la carte options, which includes an array of fresh fruits, hot and cold beverages, cakes, local delicacies and cold cuts.

At Bogari Hotel, guests can enjoy a transfer with a special price from the airport to the hotel from 08:00 until 18:00 as long as they book this service 48 hours in advance. Other facilities offered by the property include a tour desk and luggage storage.

The hotel is 21.8 km from Iguaçu Waterfalls and 22.1 km from Iguaçu National Park. Cataratas International Airport is 12 km away.","Tarjeta de acceso, Abierta todo el año, Extintores, Información turística, Alquiler de coches, Utensilios de planchado, Reloj despertador, Adaptado personas de movilidad reducida, Piscina climatizada, Teléfono, Fruta, Alarma de seguridad, TV, Habitaciones insonorizadas, Caja fuerte, Para todas las edades, Recepción 24 horas, Máquina expendedora (bebidas), Habitaciones familiares, Portugués, Tumbonas/sillas de playa, Silla de masajes, Restaurante, Escritorio, Toda la unidad accesible en silla de ruedas, Cuerda de emergencia en el baño, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Servicio de despertador / alarma, Bar en la piscina, Artículos de aseo gratis, Bañera de hidromasaje / jacuzzi, Baño al aire libre, Horario de apertura, TV de pantalla plana, Ropa de cama, Enchufe cerca de la cama, Traslado aeropuerto, Menú para niños, Español, Armario, Toallas, Gimnasio, Canales por cable, WC con barras de apoyo, Servicio de habitaciones, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Accesible para personas sordas, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Papel higiénico, Acceso a pisos superiores en ascensor, Inglés, Bar, Snack-bar, Desayuno fabuloso, Sombrillas, Menús para dietas especiales (bajo petición), Plancha para ropa, Zona poco profunda, WiFi gratis, Registro de entrada y salida exprés, Parking privado, Parking adaptado para personas de movilidad reducida, WC elevado, Habitaciones hipoalergénicas, Terraza / solárium, Bañera o ducha, Guardaequipaje, Canales vía satélite, Servicio de limpieza diario, Proporciona factura, Desayuno en la habitación, Seguridad 24 horas, Vino / champán, Secador de pelo, Aire acondicionado, Lavamanos más bajo, 2 piscinas, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/209324241.jpg?k=23ac28b3d7e6dad45fcf284b89e1f112780e87f729735923b6913b6756c20485&o=&hp=1,Foz do Iguaçu,Brasil
Pousada El Shaddai,https://www.booking.com/hotel/br/pousada-el-shaddai.es.html?aid=2410095,"La Pousada El Shaddai está situada en el centro de Foz Do Iguaçu, a poca distancia de las cataratas del Iguazú. Todas las habitaciones del hotel disponen de conexión Wi-Fi gratuita.

El personal multilingüe de la Pousada El Shaddai estará encantado de aconsejar a los huéspedes sobre todos los lugares de interés de la zona y recomendarles restaurantes.

Las habitaciones de la Pousada El Shaddai están equipadas con TV y aire acondicionado.

La Pousada El Shaddai cuenta con piscina al aire libre y zona de barbacoa. También hay una cocina totalmente equipada.

Hay aparcamiento privado gratuito.","Tumbonas/sillas de playa, Inglés, Abierta todo el año, TV de pantalla plana, Extintores, Ropa de cama, Información turística, Perchero, Adaptado personas de movilidad reducida, Cocina compartida, WiFi gratis, Enchufe cerca de la cama, Piscina al aire libre, Barbacoa, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, WC elevado, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Caja fuerte, Guardaequipaje, Ducha, Armario, Toallas, Servicio de limpieza diario, Para todas las edades, Jardín, WC con barras de apoyo, Seguridad 24 horas, Parking gratis, Baño privado, Parking en un garaje, Portugués, Adaptado para sillas de ruedas, Horario de apertura, Recepción 24 horas, Toda la unidad en la planta baja, Toallas de playa/piscina, Aire acondicionado, WC, Lavamanos más bajo, Habitaciones familiares, Zona de comedor exterior, Taquillas, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/150631107.jpg?k=655d627a146f852a7e24f882531bc1601c122312c9b23907e7e82567a1a5a3eb&o=&hp=1,Foz do Iguaçu,Brasil
Hotel Blue Star II,https://www.booking.com/hotel/br/blue-star-ii.es.html?aid=2410095,"Este hotel está situado a solo 600 metros del centro comercial Cataratas JL y ofrece habitaciones confortables. El Blue Star II se encuentra a 1 km del centro de Foz de Iguazú y proporciona un servicio de enlace con el aeropuerto de Foz de Iguazú, ubicado a 13 km. Hay conexión Wi-Fi gratuita en todas las zonas.

El Hotel Blue Star II cuenta con habitaciones con aire acondicionado, TV, canales por cable y baño privado con ducha. También hay servicio de lavandería.

El establecimiento sirve un desayuno buffet completo con fruta fresca, pan, queso y el mundialmente famoso café brasileño.

El puente Tancredo Neves está a 7 km. El establecimiento dispone de aparcamiento privado gratuito y recepción 24 horas.","Inglés, TV de pantalla plana, Extintores, Ropa de cama, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, WC elevado, TV, Prohibido fumar en todo el alojamiento, Español, Guardaequipaje, Canales vía satélite, Ducha, Vistas a un patio interior, Toallas, Buen desayuno, Artículos de aseo gratis, Proporciona factura, Canales por cable, WC con barras de apoyo, Servicio de habitaciones, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, Aire acondicionado, WC, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/47035926.jpg?k=724b4882c523984ef324ff645d028dde48955db5588e2ed0811e795f153b9a0a&o=&hp=1,Foz do Iguaçu,Brasil
San Juan Tour,https://www.booking.com/hotel/br/san-juan-tour-foz.es.html?aid=2410095,"El establecimiento San Juan Tour está ubicado en Foz do Iguaçu, en el estado de Paraná, a 13 km del Parque das Aves, y cuenta con un centro de fitness y piscina al aire libre disponible durante todo el año. Hay WiFi gratuita en todas las zonas. Se facilita aparcamiento privado gratuito. El servicio de habitaciones está disponible las 24 horas.

Las habitaciones disponen de aire acondicionado, TV por cable, minibar, escritorio y baño privado.

Alberga un bar y un restaurante que sirve un desayuno buffet muy variado.

El personal del mostrador de información turística del establecimiento San Juan Tour organiza excursiones guiadas a los principales lugares de interés de la zona.

El establecimiento San Juan Tour se encuentra a 21 km de las cataratas del Iguazú y a 22 km del parque nacional Iguazú. El aeropuerto internacional de Foz do Iguaçu/Cataratas, situado a 11 km del establecimiento San Juan Tour, es el más cercano.","Tumbonas/sillas de playa, Inglés, Bar, Abierta todo el año, Servicio de lavandería, Extintores, Desayuno fabuloso, Boles para mascotas, Restaurante, Ropa de cama, Silla de masajes, Sombrillas, Adaptado personas de movilidad reducida, Zona de juegos para niños, WiFi gratis, Happy hour, Parking privado, Piscina al aire libre, Barbacoa, Teléfono, Fruta, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Servicio de despertador, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Español, Centro de negocios, Caja fuerte, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de despertador / alarma, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de limpieza diario, Japonés, Cesta para mascotas, Jardín, Canales por cable, Desayuno en la habitación, Seguridad 24 horas, Servicio de habitaciones, Parking en un garaje, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Piscina infantil, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/369920893.jpg?k=35c495d00c54021b6b22dc2086f6c92b019a185c52a13ead836d0ca87a0f5d7e&o=&hp=1,Foz do Iguaçu,Brasil
Hotel Natureza Foz,https://www.booking.com/hotel/br/pousada-natureza-foz.es.html?aid=2410095,"Esta pensión se encuentra en una tranquila zona verde en el centro de Foz do Iguaçu. Ofrece conexión inalámbrica a internet gratuita, aparcamiento sin coste adicional, habitaciones con aire acondicionado y servicio de recepción 24 horas.

El alojamiento del Pousada Natureza Foz presenta prácticos suelos embaldosados y ropa de cama colorida. Incluye TV y baño privado.

Todos los días se sirve un desayuno bufé con diferentes tipos de frutas tropicales, panes y especialidades brasileñas como pastel de maíz con semillas de anís.

El Pousada Natureza Foz se encuentra a 2 manzanas de la avenida Juscelino Kubitschek y a 5 km de la estación de autobuses. El parque nacional Foz do Iguaçu está a 28 km de distancia.","Tumbonas/sillas de playa, Inglés, Abierta todo el año, TV de pantalla plana, Extintores, Silla de masajes, Zona de fumadores, Sombrillas, Información turística, Perchero, Cocina compartida, Adaptado personas de movilidad reducida, WiFi gratis, Zona de juegos para niños, Piscina al aire libre, Barbacoa, Cámaras de seguridad en las zonas comunitarias, TV, Español, Caja fuerte, Guardaequipaje, Ducha, Armario, Buen desayuno, Para todas las edades, Jardín, Tours a pie, WC con barras de apoyo, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Piscina infantil, Recepción 24 horas, Detectores de humo, WC, Aire acondicionado, Lavamanos más bajo, Zona de pícnic, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/296117750.jpg?k=2fb97cf47ffa8e0207b55455036ae69268d3b46113c1da940574200c7648788b&o=&hp=1,Foz do Iguaçu,Brasil
Del Rey Quality Hotel,https://www.booking.com/hotel/br/del-rey.es.html?aid=2410095,"El Del Rey Quality Hotel, equipado con piscina climatizada panorámica y sala de juegos, está a solo 100 metros del centro de Foz do Iguaçu y a 30 minutos en coche de las cataratas de Iguazú. conexión WiFi y aparcamiento gratuitos.

Las habitaciones presentan una decoración en tonos neutros con pinturas locales en las paredes y disponen de aire acondicionado, TV por cable, minibar y teléfono. El Del Rey Quality Hotel cuenta con servicio de habitaciones.

Por la mañana se sirve un desayuno buffet abundante de estilo colonial con exquisitas opciones de comida casera en el restaurante, que es muy amplio.

El Del Rey Quality Hotel está a 200 metros de la estación de autobuses y a poca distancia a pie de tiendas y restaurantes. El establecimiento está a 200 metros del zoológico Bosque Guaraní y a 1,5 km del centro comercial Cataratas JL. El aeropuerto internacional de Foz do Iguaçu está situado a 16 km y el establecimiento ofrece un servicio de enlace bajo petición y por un suplemento.","Tumbonas/sillas de playa, Terraza, Inglés, Bar, Tarjeta de acceso, Snack-bar, Abierta todo el año, Servicio de lavandería, Extintores, Desayuno fabuloso, Restaurante, Sombrillas, Cajero automático en el hotel, Información turística, Ping pong, Adaptado personas de movilidad reducida, Zona poco profunda, WiFi gratis, Máquina expendedora (aperitivos), Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Español, Terraza / solárium, Calefacción, Piscina con vistas, Caja fuerte, Guardaequipaje, Cochecitos de bebé, Servicio de planchado, Bar en la piscina, Servicio de limpieza diario, Billar, Para todas las edades, Sala de juegos, Servicio de limpieza en seco, Seguridad 24 horas, Servicio de habitaciones, Capilla, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Piscina infantil, Horario de apertura, Recepción 24 horas, Detectores de humo, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, Aire acondicionado, Ascensor, Toallas de playa/piscina, 2 piscinas, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/129965071.jpg?k=c22d3ad912bebc2433cd8b63a5a8656a618025239c91353123f8a9650cf2fcda&o=&hp=1,Foz do Iguaçu,Brasil
Hotel Rafain Centro,https://www.booking.com/hotel/br/rafain-centro.es.html?aid=2410095,"El Hotel Rafain Centro dispone de barbacoa y piscina exterior y se encuentra en Foz de Iguazú, región de Paraná, a 13 km del parque de aves. Hay bar y aparcamiento privado en las instalaciones, y WiFi gratuita en todo el establecimiento.

Las habitaciones del Hotel Rafain Centro tienen minibar, decoración elegante, TV por cable y baño privado con secador de pelo y otros artículos.

El mostrador de información turística puede ayudar a planificar visitas guiadas al parque nacional de Iguazú. Allí hay cascadas espectaculares y se puede hacer rafting y tours ecológicos.

Se sirve desayuno buffet a diario, con fruta fresca, pan y dulces. El restaurante del hotel elabora deliciosa cocina local e internacional.

Los huéspedes pueden acceder a la sala de fitness y a la zona de piscina.","Inglés, Bar, Tarjeta de acceso, Snack-bar, Abierta todo el año, Servicio de lavandería, Extintores, Desayuno fabuloso, Restaurante, Ropa de cama, Información turística, Ping pong, Adaptado personas de movilidad reducida, WiFi gratis, Piscina climatizada, Parking privado, Traslado aeropuerto, Piscina al aire libre, Teléfono, Fax / fotocopiadora, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Centro de negocios, Caja fuerte, Guardaequipaje, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Gimnasio, Artículos de aseo gratis, Billar, Servicio de aparcacoches, Traslado aeropuerto (gratis), Sala de juegos, Canales por cable, Servicio de habitaciones, Cafetería en el alojamiento, Baño privado, Secador de pelo, Zona de juegos interior, Horario de apertura, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Personal de animación, Aire acondicionado, Club infantil, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516318369.jpg?k=d0443e48fd752fa6e643839961aa145e00f9d78553cb774b17f38ab6f75d31b4&o=&hp=1,Foz do Iguaçu,Brasil
