hotel,hotel_url,description,popular_facilities,highres_url,city,country
Nobile Suites Diamond,https://www.booking.com/hotel/br/bristol-diamond-suites.es.html?aid=2410095,"Facing Camburi beach in Vitória, Espírito Santo, this hotel offers a swimming pool, a hot tub and free Wi-Fi. Vitória Airport, shops and restaurants are nearby.

Rooms at the Nobile Suítes Diamond include cable TV, desk, minibar, air conditioning, seating area and kitchen.

Every mornings, guests can enjoy a large buffet breakfast. The Nobile Suítes Diamond also serves local and international cuisine for lunch and dinner.

The hotel’s swimming pool offers panoramic views of Camburi beach. Guests can also unwind at the sauna. Paid private parking is available subject to availability.","Acceso a pisos superiores en ascensor, Terraza, Playa, Tarjeta de acceso, Inglés, Snack-bar, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Situado frente a la playa, Restaurante, Ropa de cama, Escritorio, Información turística, Boles para mascotas, Masajes, WiFi gratis, Enchufe cerca de la cama, Hipoalergénico, Parking privado, Baño de vapor, Piscina al aire libre, Teléfono, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Terraza / solárium, Centro de negocios, Masaje corporal completo, Caja fuerte, Buffet para niños, Bañera o ducha, Guardaequipaje, Supermercado pequeño en el alojamiento, Sauna, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de limpieza diario, Cesta para mascotas, Jardín, Canales por cable, Servicio de limpieza en seco, Clases de fitness, Seguridad 24 horas, Servicio de habitaciones, Parking en un garaje, Baño privado, Caja fuerte para ordenador portátil, Vino / champán, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, Aire acondicionado, Toallas de playa/piscina, Aeróbic, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/456807896.jpg?k=6aee26d01de8eed3544c0586ee388d10dc75bc938f81bc4b408da1a5bf556286&o=&hp=1,Vitória,Brasil
Golden Tulip Porto Vitória,https://www.booking.com/hotel/br/golden-tulip-porto-vitoria.es.html?aid=2410095,"El Golden Tulip está muy bien ubicado, junto al paseo marítimo de Vitória y a 50 metros del Palácio do Café. Ofrece alojamiento moderno con TV LCD con canales por cable, sauna, piscina y aparcamiento privado.

Las habitaciones del Golden Tulip Porto Vitória disponen de aire acondicionado, radio, minibar y WiFi. Las suites son más amplias y, según el tipo, incluyen bañera sencilla o de hidromasaje. Se proporciona un servicio de habitaciones disponible las 24 horas.

Se sirve un desayuno buffet abundante a diario con platos calientes como huevos revueltos, además de fruta tropical variada, pan recién horneado y pasteles.

El Golden Tulip Porto Vitória se encuentra a 800 metros del centro comercial Shopping Vitória y a 6,5 km del aeropuerto Eurico de Aguiar Salles.","Inglés, Bar, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Restaurante, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Parking privado, Piscina al aire libre, Teléfono, Fax / fotocopiadora, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones insonorizadas, Español, Caja fuerte, Sauna, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de limpieza diario, Gimnasio, Artículos de aseo gratis, Canales por cable, Servicio de habitaciones, Baño privado, Italiano, Recepción 24 horas, Ascensor, Aire acondicionado, Portugués, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585154590.jpg?k=0150ea9c45a523e8b96d85010966ec48159be9cc438cd823e462a5b78504d5d8&o=&hp=1,Vitória,Brasil
Hotel Minuano,https://www.booking.com/hotel/br/minuano.es.html?aid=2410095,"El Minuano goza de una ubicación ideal frente al océano, con vistas a la playa de Camburi. Está a 5 km del aeropuerto de Eurico Salles y a 850 metros de la zona del Triangulo das Bermudas, donde encontrará restaurantes de primera calidad.

Las habitaciones del Hotel Minuano presentan una decoración en tonos melocotón con luces suaves y grandes ventanales. Están equipadas con aire acondicionado, conexión Wi-Fi gratuita y TV por cable. Algunas tienen balcón privado y bañera de hidromasaje.

El restaurante barbacoa del Minuano sirve deliciosas carnes a la parrilla, cócteles, cervezas y cachaças, su especialidad. El hotel ofrece todos los días un desayuno que incluye pan de queso recién hecho, pastel de chocolate y huevos revueltos.

El Minuano Hotel está a 5 km del centro de Vitória. Dispone de aparcamiento gratuito.","Acceso a pisos superiores en ascensor, Terraza, Playa, TV de pantalla plana, Servicio de lavandería, Extintores, Situado frente a la playa, Restaurante, Ropa de cama, Escritorio, Zona de comedor, Llave de acceso, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Happy hour, Teléfono, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Entrada privada, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Guardaequipaje, Canales vía satélite, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Mesa de comedor, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Proporciona factura, Almuerzos para llevar, Tours a pie, Canales por cable, Seguridad 24 horas, Nevera, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Radio, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Tours en bici, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/5125147.jpg?k=2e8c47859d615006af3055cadce61413a969b77b963e58d002c4a87e710d9475&o=&hp=1,Vitória,Brasil
Onça da Praia Hostel,https://www.booking.com/hotel/br/el-camaleon.es.html?aid=2410095,"El Onça da Praia- Hostel se encuentra a solo 400 metros de la Praia de Camburi, a 500 metros de la Praia do Canto y a 3 minutos a pie del Shopping Jardins. Ofrece un desayuno buffet gratuito y conexión Wi-Fi gratuita en todas las instalaciones.

Todas las habitaciones cuentan con aire acondicionado, taquillas con candado y baño compartido. Se proporciona ropa de cama y toallas por un suplemento. La cocina compartida está equipada con nevera, fogones, utensilios de cocina y mesa de comedor.

El Onça da Praia- Hostel ofrece una zona de recepción con TV por cable. Hay servicio de lavandería e instalaciones para reuniones disponibles por un suplemento. A 5 minutos a pie hay varios locales de restauración y bares.

El aeropuerto Eurico de Aguiar Salles está a 4 km y el centro de Vitória, a 15 minutos en coche.","Inglés, Playa, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Zona de fumadores, Plancha para ropa, Cocina compartida, Desayuno, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Piragüismo, Barbacoa, Cámaras de seguridad en las zonas comunitarias, Mobiliario exterior, Windsurf, Español, Pesca, Ducha, Armario, Servicio de limpieza diario, Solo para adultos, Eventos deportivos en directo (emisión), Jardín, Seguridad 24 horas, Vino / champán, Portugués, Toallas / sábanas (por un suplemento), Toda la unidad en la planta baja, Zona TV / salón de uso compartido, WC, Personal de animación, Aire acondicionado, Baño compartido, Zona de pícnic, Submarinismo, Taquillas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/533530940.jpg?k=2d943abae2462c347c9cfaeec2adc068b75c059ede42d7d01a9f050cd139607e&o=&hp=1,Vitória,Brasil
Praia do Canto Apart Hotel,https://www.booking.com/hotel/br/praia-do-canto-apart.es.html?aid=2410095,"Praia do Canto Apart Hotel ofrece alojamiento con piscina al aire libre abierta todo el año, wifi gratis y parking privado gratis en Vitória.

Algunas unidades también tienen una cocina americana equipada con microondas.

En el apartamento se puede usar la terraza.

Cerca del alojamiento hay puntos de interés como Praia do Canto, Playa Curva da Jurema y Playa de Camburi. El aeropuerto más cercano (Aeropuerto de Vitória - Eurico de Aguiar Salles) está a 5 km del alojamiento.","Sauna, Parking gratis, Parking en un garaje, Baño privado, Terraza, Playa, Salas de reuniones / banquetes, Abierta todo el año, Portugués, Piscina al aire libre, Situado frente a la playa, Recepción 24 horas, Ascensor, Aire acondicionado, Habitaciones familiares, Adaptado personas de movilidad reducida, WiFi gratis, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/119941169.jpg?k=0d47319a677d98f4fb457f32790b0970d4fe9a2ddae4a1e0c162ee892ab0893a&o=&hp=1,Vitória,Brasil
ibis budget Vitoria,https://www.booking.com/hotel/br/ibis-budget-vitoria.es.html?aid=2410095,"Ibis budget Vitoria is set in Vitória, 200 metres from Masterplace Mall and 1.1 km from Namorados Square. Guests can enjoy the on-site bar.

Every room at this hotel is air conditioned and has a Smart TV. Rooms are fitted with a private bathroom.

There is a 24-hour front desk at the property.

Camburi Beach is 3 km from ibis budget Vitoria, while Pedra da Cebola Park is 2 km from the property. The nearest airport is Vitoria - Eurico de Aguiar Salles Airport, 5 km from the property.","Inglés, Bar, Tarjeta de acceso, TV de pantalla plana, Extintores, Insonorización, Ropa de cama, Escritorio, Adaptado personas de movilidad reducida, WiFi gratis, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Suelo de madera o parquet, WC elevado, TV, Prohibido fumar en todo el alojamiento, Habitaciones insonorizadas, Centro de negocios, Guardaequipaje, Vistas a la ciudad, Ducha, Toallas, Buen desayuno, Artículos de aseo gratis, Billar, Servicio de limpieza diario, Canales por cable, WC con barras de apoyo, Cafetería en el alojamiento, Baño privado, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Portugués, Cámaras de seguridad fuera del alojamiento, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/265877282.jpg?k=d8e22c1f62d8f20aeffe847c0e67a1c7daffa4a93606ff548ee201e2c7521dcd&o=&hp=1,Vitória,Brasil
Go Inn Vitória,https://www.booking.com/hotel/br/go-inn-vitoria.es.html?aid=2410095,"El Go Inn Vitória ofrece un alojamiento con WiFi gratuita y aparcamiento privado gratuito y se encuentra en Vitória. Ocupa un edificio moderno y para no fumadores y dispone de habitaciones con aire acondicionado.

Las habitaciones están insonorizadas y cuentan con TV de pantalla plana por cable y baño privado con ducha. Incluyen artículos de aseo gratuitos y secador de pelo.

La recepción está abierta las 24 horas. El Go Inn alberga un centro de fitness y un restaurante.

La plaza del Papa queda a 400 metros del Go Inn Vitória, mientras que el centro comercial de Vitória se halla a 1 km. El aeropuerto de Vitória-Eurico de Aguiar Salles es el más cercano y está a 6 km.","Inglés, Snack-bar, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Escritorio, Menús para dietas especiales (bajo petición), Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Registro de entrada y salida exprés, Teléfono, Fruta, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Alarma de seguridad, Entrada privada, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, WC elevado, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Habitaciones insonorizadas, Apoyo visual: braille, Español, Caja fuerte, Buffet para niños, Guardaequipaje, Vistas a la ciudad, Supermercado pequeño en el alojamiento, Servicio de planchado, Ducha, Armario, Servicio de limpieza diario, Gimnasio, Buen desayuno, Artículos de aseo gratis, Almuerzos para llevar, Canales por cable, Desayuno en la habitación, WC con barras de apoyo, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Italiano, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/71566373.jpg?k=5caccf361eace9b85c29e4ba4b6f4115120de1710bec7167daaf27b4074cc426&o=&hp=1,Vitória,Brasil
Quality Hotel Vitória,https://www.booking.com/hotel/br/quality-aeroporto-vita3ria.es.html?aid=2410095,"El Quality Hotel es un hotel que acepta mascotas situado a solo 1,5 km del aeropuerto Eurico Salles de Vitória. Cuenta con una piscina al aire libre y habitaciones con aire acondicionado. El establecimiento presenta una decoración lujosa y ofrece desayuno diario, servicio de habitaciones y wifi gratuita.

Los alojamientos son amplios y modernos y cuentan con TV LCD por cable, minibar y utensilios de planchado. Todos disponen de baño privado con secador de pelo. Algunas de las habitaciones ofrecen vistas a la playa de Camburi.

El Quality Hotel Vitória está a 2,5 km de la playa de Cantos y del animado barrio Triângulo das Bermudas. Las oficinas de Petrobrás están a solo 3,4 km y el centro de convenciones de Vitória, a 7 minutos en coche. Se proporciona aparcamiento privado por un suplemento.","Tarjeta de acceso, Abierta todo el año, Extintores, Utensilios de planchado, Reloj despertador, Adaptado personas de movilidad reducida, Piscina al aire libre, Teléfono, Fruta, Servicio de conserjería, Alarma de seguridad, TV, Habitaciones insonorizadas, Caja fuerte, Salas de reuniones / banquetes, Para todas las edades, Traslado aeropuerto (gratis), Cafetería en el alojamiento, Recepción 24 horas, Protector de enchufes para niños, Habitaciones familiares, Portugués, Restaurante, Escritorio, Vistas a un lugar de interés, Happy hour, Fax / fotocopiadora, Servicio de despertador, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Servicio de despertador / alarma, Caja fuerte para ordenador portátil, Playa, TV de pantalla plana, Ropa de cama, Zona de fumadores, Perchero, Enchufe cerca de la cama, Traslado aeropuerto, Menú para niños, Español, Vistas a la ciudad, Servicio de planchado, Secadora de ropa, Armario, Toallas, Apoyo visual: carteles táctiles, Canales por cable, Servicio de limpieza en seco, WC con barras de apoyo, Servicio de habitaciones, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, WC, Servicio de traslado, Papel higiénico, Inglés, Bar, Snack-bar, Servicio de lavandería, Insonorización, WiFi gratis, Parking privado, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, WC elevado, Habitaciones hipoalergénicas, Centro de negocios, Apoyo visual: braille, Guardaequipaje, Canales vía satélite, Servicio de limpieza diario, Parking en un garaje, Vino / champán, Secador de pelo, Aire acondicionado, Lavamanos más bajo, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/146845039.jpg?k=46822d8966f1465548eb78304ccb595247797834d549078a8b577536500861a1&o=&hp=1,Vitória,Brasil
Hotel Sol da Praia,https://www.booking.com/hotel/br/sol-da-praia.es.html?aid=2410095,"El Hotel Sol da Praia ofrece alojamiento en Vitória. En el establecimiento hay aparcamiento privado gratuito. Existe WiFi gratuita en todas las dependencias.

Las habitaciones incluyen TV de pantalla plana por cable. También tienen vistas al mar o a la piscina. El baño es privado.

El establecimiento cuenta con recepción 24 horas.

El parque Pedra da Cebola se encuentra a 1,2 km del Hotel Sol da Praia, mientras que la playa de Camburi está a 1,3 km. El aeropuerto más cercano es el aeropuerto Vitoria - Eurico de Aguiar Salles, a 3 km del Hotel Sol da Praia.","Tumbonas/sillas de playa, Acceso a pisos superiores en ascensor, Playa, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Situado frente a la playa, Ropa de cama, Escritorio, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Patio, Piscina al aire libre, Teléfono, Servicio de despertador, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Minibar, Terraza / solárium, Guardaequipaje, Servicio de planchado, Ducha, Papel higiénico, Armario, Valla alrededor de la piscina, Toallas, Buen desayuno, Servicio de limpieza diario, Suelo de baldosa / mármol, Proporciona factura, Canales por cable, Parking gratis, Baño privado, Parking en un garaje, Horario de apertura, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Portugués, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/68183156.jpg?k=43d7b08274832c60f388c64e77c2d78022a5d3f25f8c77457c011af7550e4c47&o=&hp=1,Vitória,Brasil
Sleep Inn Praia do Canto,https://www.booking.com/hotel/br/sleep-inn-praia-do-canto.es.html?aid=2410095,"Featuring a restaurant and a charming lobby bar, Sleep Inn Vitória offers acomodation in Vitória, 1 km away from Praia do Canto beach. Breakfast is available daily and free WiFi is available throughout the property.

Rooms have a modern decór with laminate flooring. They are air conditioned and fitted with a 32"" TV, minibar and a private bathroom. Some rooms may offer a view.

You will find a 24-hour front desk and room service at the property. Laundry service is also offered.

Vitoria´s convention centre is located 700 m from Sleep Inn Praia do Canto. Aeroporto de Vitória Airport is 5 km away.","Acceso a pisos superiores en ascensor, Inglés, Bar, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Insonorización, Productos de limpieza, Restaurante, Escritorio, Plancha para ropa, Utensilios de planchado, Plancha para pantalones, Vistas a un lugar de interés, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Hipoalergénico, Parking privado, Camas extralargas (más de 2 metros), Teléfono, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, WC elevado, TV, Prohibido fumar en todo el alojamiento, 2 restaurantes, Menú para niños, Minibar, Centro de negocios, Habitaciones insonorizadas, Caja fuerte, Español, Guardaequipaje, Vistas a la ciudad, Canales vía satélite, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Supermercado pequeño en el alojamiento, Servicio de despertador / alarma, Mesa de comedor, Vistas, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Canales por cable, Servicio de limpieza en seco, WC con barras de apoyo, Seguridad 24 horas, Servicio de habitaciones, Parking en un garaje, Baño privado, Caja fuerte para ordenador portátil, Vino / champán, Portugués, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Taquillas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/58285885.jpg?k=74f1171c8e96ce62c67d607d6f3942d3c2079c3e3e59888c79a4145d11b10ecf&o=&hp=1,Vitória,Brasil
