hotel,hotel_url,description,popular_facilities,highres_url,city,country
Selina La Fortuna,https://www.booking.com/hotel/cr/selina-la-fortuna.es.html?aid=2410095,"Selina La Fortuna está en Fortuna, a 5,9 km de Catarata La Fortuna, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y restaurante. Este hotel de 3 estrellas ofrece cocina compartida, mostrador de información turística y wifi gratis. Hay bar.

En el hotel se puede disfrutar de un desayuno continental.

La clientela puede practicar actividades en Fortuna y alrededores, como ciclismo.

Aguas termales de Kalambu está a 5 km del alojamiento, y Parque Mistico Arenal Hanging Bridges está a 20 km. El aeropuerto (Aeropuerto de Fortuna) está a 9 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Masaje de pies, Masaje de cuello, Personal de animación, Inglés, Aire acondicionado, Parking gratis, Habitaciones sin humo, Cenas temáticas, Traslado aeropuerto, Juegos de mesa / puzles, Detectores de humo, Noches de cine, Seguridad 24 horas, Chimenea exterior, Masaje de manos, Equipamiento de bádminton, Cocina compartida, Tours en bici, Servicio de traslado, Masajes, Bar, Entretenimiento nocturno, Guardaequipaje, Centro de negocios, Senderismo, Masaje de espalda, Restaurante, Buen desayuno, Enchufe cerca de la cama, Servicio de lavandería, Tours a pie, Artículos de aseo gratis, Jardín, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Happy hour, Masaje en pareja, Zona TV / salón de uso compartido, Equitación, Parking en la calle, Clases de yoga, Servicio de limpieza diario, Piragüismo, Tour o clase sobre cultura local, Información turística, Piscina al aire libre, Extintores, Masaje corporal completo, Masaje de cabeza, WiFi gratis, Ciclismo, Taquillas, Billar, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/279786633.jpg?k=0ecdae4bceed4fdff4e3053e67b449117e4a1d588b7cb10c307c59846cbc3d61&o=&hp=1,La Fortuna,Costa Rica
Los Lagos Spa & Thermal Resort Experience,https://www.booking.com/hotel/cr/los-lagos.es.html?aid=2410095,"Este hotel tropical está situado junto al volcán Arenal de Costa Rica, a 6 km de La Fortuna. Cuenta con un manantial termal natural y un spa de lujo. Ofrece actividades de aventura al aire libre y vistas panorámicas al volcán. 

Las habitaciones y las villas de Los Lagos Spa & Resort Thermal Experience tienen aire acondicionado, son amplias y cómodas, y ofrecen vistas panorámicas. Todas tienen TV por cable, minibar y caja fuerte. Las villas cuentan con zona de cocina y salón. Las habitaciones estándar y superior están ubicadas en diferentes zonas del establecimiento. 

El restaurante Las Palmas del hotel propone platos gourmet tropicales elaborados con productos locales. En la zona de bar Lemnos, en la misma piscina exterior de temporada, se sirven cócteles en un ambiente agradable. 

El hotel organiza muchas actividades, desde rutas en tirolina por las copas de los árboles hasta visitas a granjas de ranas, mariposas y cocodrilos. El impresionante mirador del volcán queda a 2,8 km. 

Los Lagos está a menos de 10 km del lago Arenal. El aeropuerto internacional Juan Santamaria está a poco más de 2 horas en coche.","Piscina infantil, Baños termales, Vistas a la montaña, Servicio de despertador / alarma, Papel higiénico, Ropa de cama, Vistas al jardín, Caja fuerte, Baño privado, Servicio de despertador, Inglés, Vino / champán, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Salas de reuniones / banquetes, Habitaciones sin humo, Traslado aeropuerto, Piscina con vistas, Teléfono, Secador de pelo, TV de pantalla plana, Canales por cable, Menús para dietas especiales (bajo petición), Toda la unidad en la planta baja, Vistas, Toallas, Snack-bar, Bañera o ducha, WC, Servicio de traslado, Bar, Centro de negocios, Senderismo, Nevera, Restaurante, Servicio de conserjería, Recepción 24 horas, Plancha para pantalones, Servicio de lavandería, Zona de fumadores, Terraza, Artículos de aseo gratis, Ducha, Tours a pie, Abierta todo el año, Reloj despertador, Jardín, Spa y centro de bienestar, Vistas a un lugar de interés, Prohibido fumar en todo el alojamiento, Toallas de playa/piscina, Zona poco profunda, Tarjeta de acceso, Clases de cocina, Servicio de limpieza diario, Piragüismo, Información turística, Extintores, Piscina al aire libre, Desayuno fabuloso, Tobogán de agua, Paquetes de spa / bienestar, Servicio de habitaciones, WiFi gratis, Instalaciones de spa, Toda la unidad accesible en silla de ruedas, Tumbonas/sillas de playa, Armario, Habitaciones familiares, TV, Bar en la piscina, Balcón, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/402695675.jpg?k=6596ad47994ed2492adfad2569a63facecadadc741e795c99e835ac3b32c993b&o=&hp=1,La Fortuna,Costa Rica
Essence Arenal Spa & Yoga,https://www.booking.com/hotel/cr/essence-arenal.es.html?aid=2410095,"Essence Arenal es un hotel ecológico rodeado de bosque tropical que ofrece un centro de bienestar para los turistas, está rodeado de jardines y hermosas vistas del lago Arenal, el volcán Arenal y el Cerro Chato.

Su ubicación es en el Castillo, a 10 km del Parque Nacional Volcán Arenal y 12 kilómetros de las aguas termales.

Ofrece alojamiento, jardines, senderos, pista de voleibol, granja ecológica, aparcamiento gratuito, WiFi y piscina al aire libre con agua de manantial.
Se ofrecen servicios adicionales como clases de yoga, temazcal, circuito de spa (jacuzzi, baño turco y sauna), masajes, diferentes terapias como Reiki, desintoxicación jónica, clases de cocina.

También se organizan excursiones de cacao, de día y de noche.

El restaurante Essence sirve desayunos vegetarianos, veganos o sin gluten, almuerzos a la carta y cenas temáticas elaboradas con productos locales o de la granja ecológica Essence.

Las habitaciones del Essence tienen armario, suelo de baldosa y baño privado con ducha y artículos de aseo gratuitos. Hay servicio de lavandería de pago.

La recepción ofrece información turística y abre de 21:00 a 07:00 (al día siguiente). Si tiene previsto llegar fuera del horario de recepción, informe al Essence en el apartado de peticiones especiales.

El aeropuerto internacional Juan Santamaría está a 3 horas.","Masaje de pies, Caja fuerte, Inglés, Baño de vapor, Vino / champán, Parking gratis, Habitaciones sin humo, Cenas temáticas, Traslado aeropuerto, Piscina con vistas, Menús para dietas especiales (bajo petición), Español, Chimenea exterior, Francés, Servicio de traslado, Zona de spa / relajación, Masajes, Baños públicos, Guardaequipaje, Senderismo, Zona de fumadores, Restaurante, Buen desayuno, Recepción 24 horas, Servicio de lavandería, Almuerzos para llevar, Terraza, Tours a pie, Abierta todo el año, Jardín, Spa y centro de bienestar, Mobiliario exterior, Servicio de limpieza en seco, Llave de acceso, Prohibido fumar en todo el alojamiento, Masaje en pareja, Baño al aire libre, Equitación, Servicio de entrega de comestibles, Zona de pícnic, Alemán, Clases de yoga, Clases de cocina, Servicio de limpieza diario, Piragüismo, Información turística, Fruta, Piscina al aire libre, Extintores, Alquiler de coches, Para todas las edades, Servicio de habitaciones, Masaje corporal completo, Paquetes de spa / bienestar, WiFi gratis, Instalaciones de spa, Bañera de hidromasaje / jacuzzi, Hammam, Terraza / solárium, Tumbonas/sillas de playa, Habitaciones familiares, Pesca, Menú para niños, Proporciona factura, Sauna",https://cf.bstatic.com/xdata/images/hotel/max1024x768/456447011.jpg?k=a98b234dbf925fe3b9e65777029803361fbaf1a8c90141ad0e8478d87f389472&o=&hp=1,La Fortuna,Costa Rica
Hotel La Mansion Inn Arenal,https://www.booking.com/hotel/cr/la-mansion-inn-arenal.es.html?aid=2410095,"El Hotel La Mansion Inn Arenal, con una piscina infinita y un restaurante, se encuentra en Nuevo Arenal frente al lago Arenal. Dispone de conexión Wi-Fi gratuita y un bar.

Las habitaciones de estilo rústico cuentan con TV vía satélite, aire acondicionado, patio, nevera, zona de comedor con cafetera y mesa de comedor. El baño privado tiene ducha y secador de pelo. Los huéspedes pueden disfrutar de las vistas al lago desde la habitación, que incluye terraza y zona de estar.

El Hotel La Mansion Inn Arenal cuenta con bañera de hidromasaje, servicio de recepción 24 horas y jardín. El establecimiento también dispone de instalaciones para practicar deportes acuáticos, un salón compartido y un mostrador de información turística. Tanto en el establecimiento como en sus alrededores se pueden practicar diversas actividades, como equitación, pesca y ciclismo.

El aeropuerto internacional Daniel Oduber Quirós se encuentra a 2,10 horas en coche.","Holandés, Fax / fotocopiadora, Baño privado, Vino / champán, Registro de entrada / salida privado, Canales por cable, Bar, Zona de fumadores, Nevera, Mobiliario exterior, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Tendedero, Terraza / solárium, TV, Proporciona factura, Papel higiénico, Ropa de cama, Vistas al jardín, Servicio de despertador, Suelo de baldosa / mármol, Habitaciones sin humo, Desayuno en la habitación, Secador de pelo, Vistas, WC, Servicio de traslado, Senderismo, Servicio de conserjería, Sofá, Almuerzos para llevar, Ducha, Parking adaptado para personas de movilidad reducida, Zona TV / salón de uso compartido, Servicio de limpieza diario, Información turística, Fruta, Canales vía satélite, Vistas al lago, Perchero, Tumbonas/sillas de playa, Tetera / cafetera, Menú para niños, Radio, Tetera/cafetera en todas las habitaciones, Aire acondicionado, Parking gratis, Piscina con vistas, Patio, Seguridad 24 horas, Guardaequipaje, Recepción 24 horas, Servicio de lavandería, Terraza, Jardín, Cafetera, Baño al aire libre, Extintores, Alquiler de coches, Registro de entrada y salida exprés, Secadora de ropa, Zona de estar, Habitaciones familiares, Desayuno fantástico, Español, Caja fuerte, Inglés, Juegos de mesa / puzles, TV de pantalla plana, Toda la unidad en la planta baja, Menús para dietas especiales (bajo petición), Francés, Toallas, Bañera o ducha, Entrada privada, Restaurante, Abierta todo el año, Servicio de planchado, Cambio de moneda, Vistas a un lugar de interés, Prohibido fumar en todo el alojamiento, Equitación, Piragüismo, Instalaciones para deportes acuáticos en el alojamiento, Adaptado personas de movilidad reducida, Bañera de hidromasaje / jacuzzi, Ciclismo, Ventilador, Armario, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/274721205.jpg?k=2c0b29c0ac4e9a5ff75ec8868ca4c08fa3b0c7b4021a267abe8339ff1ba00f26&o=&hp=1,La Fortuna,Costa Rica
Argdivan Hostel,https://www.booking.com/hotel/cr/argdivan-hostel.es.html?aid=2410095,"Argdivan Hostel está en Fortuna, a 4,9 km de Catarata La Fortuna, y dispone de alojamiento con jardín, parking privado, salón de uso común y terraza. El alojamiento dispone de bar y se encuentra a 5 km de Aguas termales de Kalambu. El alojamiento ofrece cocina compartida, servicio de conserjería y cambio de moneda.

Las habitaciones incluyen baño privado con ducha, y algunas también ofrecen cocina con nevera.

En el albergue se puede disfrutar de un desayuno americano.

Se puede jugar a los dardos en Argdivan Hostel, y también hay alquiler de bicicletas y alquiler de coches.

Parque Mistico Arenal Hanging Bridges está a 20 km del alojamiento, y Sky Adventures Arenal está a 22 km. El aeropuerto más cercano (Aeropuerto de Fortuna) está a 9 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Papel higiénico, Baño privado, Vino / champán, Eventos deportivos en directo (emisión), Registro de entrada / salida privado, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Noches de cine, Zona de juegos interior, Cafetería en el alojamiento, Snack-bar, WC, Cocina compartida, Tours en bici, Servicio de traslado, Bar, Entretenimiento nocturno, Dardos, Proporciona factura, Guardaequipaje, Servicio de conserjería, Servicio de lavandería, Almuerzos para llevar, Terraza, Bingo, Ducha, Alquiler de bicicletas, Jardín, Spa y centro de bienestar, Mobiliario exterior, Cambio de moneda, Happy hour, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Parking privado, Clases de cocina, Servicio de limpieza diario, Información turística, Fruta, Registro de entrada y salida exprés, Extintores, Solo para adultos, Parking en un garaje, Alquiler de coches, Paquetes de spa / bienestar, WiFi gratis, Taquillas, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/529411813.jpg?k=d3497eb87608d665c5750e024cc1123ce0066e5a9915c33ac915c2cb30826d73&o=&hp=1,La Fortuna,Costa Rica
Arenal Observatory Lodge & Trails,https://www.booking.com/hotel/cr/arenal-observatory-lodge.es.html?aid=2410095,"El Arenal Observatory Lodge & Trails, rodeado de 348 hectáreas privadas de bosque tropical, se encuentra emplazado dentro del área de conservación de Arenal, a solo 2,7 km del volcán Arenal, y dispone de lago, piscina, solárium y sala de juegos.

Las habitaciones de este lodge presentan una decoración de estilo tropical con acabados en madera. Cuentan con ventilador de techo, caja fuerte y terraza amueblada con vistas al jardín y al volcán Arenal. También tienen baño privado con ducha.

El establecimiento alberga un bar y un restaurante que sirve comida internacional y local para el desayuno, el almuerzo y la cena. El precio incluye una caminata guiada por la mañana y el desayuno buffet.

El Arenal Observatory Lodge & Trails ofrece un santuario de aves con alrededor de 500 especies diferentes de aves. Además, se recomiendan varias actividades, como recorridos por los ríos de lava del volcán Arenal, visitar las cascadas cercanas y subir los 28 metros de la torre de observación de vida silvestre The Nest. El lago Arenal es un lugar excelente para practicar pesca deportiva. En los alrededores del establecimiento hay 11 km de senderos para caminar. El spa consta de bañera de hidromasaje y servicio de masajes.

El establecimiento se halla a 9 km de las aguas termales del río Tabacón, a 22 km de la localidad de La Fortuna y a 2 horas y 30 minutos en coche del aeropuerto internacional Daniel Oduber.","Piscina infantil, Vistas a la montaña, Exfoliación corporal, Caja fuerte, Alarma de seguridad, Servicios de belleza, Inglés, Vino / champán, Parking gratis, Habitaciones sin humo, Valla alrededor de la piscina, Traslado aeropuerto, Juegos de mesa / puzles, Zona de juegos para niños, Patio, Sala de juegos, Detectores de humo, Seguridad 24 horas, Piscina con vistas, Español, Horario de apertura, Cámaras de seguridad en las zonas comunitarias, Toallas, Tratamientos corporales, Servicio de traslado, Masajes, Bar, Guardaequipaje, Ping pong, Senderismo, Zona de fumadores, Restaurante, Servicio de lavandería, Almuerzos para llevar, Terraza, Tours a pie, Artículos de aseo gratis, Abierta todo el año, Parking adaptado para personas de movilidad reducida, Jardín, Spa y centro de bienestar, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Happy hour, Zona TV / salón de uso compartido, Equitación, Zona poco profunda, Tarjeta de acceso, Servicio de limpieza diario, Piragüismo, Información turística, Fruta, Piscina al aire libre, Estación de carga de vehículos eléctricos, Extintores, Alquiler de coches, Para todas las edades, Masaje corporal completo, Paquetes de spa / bienestar, WiFi gratis, Instalaciones de spa, Bañera de hidromasaje / jacuzzi, Ciclismo, Tratamientos faciales, Ventilador, Terraza / solárium, Piscina infinita, Tumbonas/sillas de playa, Envoltura corporal, Pesca, Menú para niños, Proporciona factura, Desayuno fantástico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/103457843.jpg?k=5a3c012b06e62018322fd8696dd79e5259bf13405f7b287c867f792d3f5e2059&o=&hp=1,La Fortuna,Costa Rica
Rio Danta Hostel,https://www.booking.com/hotel/cr/rio-danta-la-fortuna.es.html?aid=2410095,"Rio Danta Hostel, que cuenta con salón de uso común, terraza y vistas al río, se encuentra en Fortuna, a 6,4 km de Catarata La Fortuna. El alojamiento está a 5,5 km de Aguas termales de Kalambu, a 21 km de Parque Mistico Arenal Hanging Bridges y a 22 km de Sky Adventures Arenal. El alojamiento ofrece cocina compartida y wifi gratis en todo el alojamiento.

En el albergue, todas las habitaciones disponen de baño compartido y ropa de cama.

Cavernas de Venado está a 25 km del alojamiento, y Ecoglide Arenal Park está a 4,8 km. El aeropuerto (Aeropuerto de Fortuna) está a 10 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Papel higiénico, Ropa de cama, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Zona de juegos interior, Baño compartido, WC, Cocina compartida, Servicio de traslado, Zona de fumadores, Equipamiento de juegos para exterior, Servicio de lavandería, Enchufe cerca de la cama, Terraza, Ducha, Mobiliario exterior, Zona TV / salón de uso compartido, Extintores, Solo para adultos, WiFi gratis, Taquillas, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/561531836.jpg?k=7a2d1412959616a723fc49d265f56b6a20fd35a01962ebc9e6dd1924bc0c9d0f&o=&hp=1,La Fortuna,Costa Rica
Hotel Roca Negra Del Arenal,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=2410095,"El Hotel Roca Negra Del Arenal se encuentra en las afueras de Fortuna y ofrece piscina al aire libre y bañera de hidromasaje. Hay wifi gratuita.

Las habitaciones disponen de aire acondicionado, TV por cable y terraza. Incluyen nevera y zona de comedor. El baño privado también tiene ducha.

A 100 metros se encuentran varios restaurantes, como el Vagabundo y La Pradera.

El Hotel Roca Negra Del Arenal cuenta con jardín y mostrador de información turística. Tanto en el alojamiento como en los alrededores se pueden practicar diversas actividades, como senderismo, visitar un santuario de aves o disfrutar de los jardines tropicales.

El aeropuerto internacional Juan Santamaría se encuentra a 73 km, mientras que el parque nacional Volcán Arenal está a 15,4 km. Se ofrece aparcamiento gratuito.","Vistas a la montaña, Papel higiénico, Ropa de cama, Vistas al jardín, Caja fuerte, Baño privado, Inglés, Aire acondicionado, 2 piscinas, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Juegos de mesa / puzles, Sala de juegos, Patio, Sombrillas, Secador de pelo, TV de pantalla plana, Canales por cable, Toda la unidad en la planta baja, Español, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, Bañera o ducha, WC, Servicio de traslado, Baños públicos, Guardaequipaje, Ping pong, Senderismo, Nevera, Bañera, Servicio de conserjería, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Artículos de aseo gratis, Abierta todo el año, Zona de comedor, Jardín, Llave de acceso, Mobiliario exterior, Baño al aire libre, Zona TV / salón de uso compartido, Máquina expendedora (bebidas), Zona de pícnic, Servicio de limpieza diario, Información turística, Extintores, Alquiler de coches, WiFi gratis, Bañera de hidromasaje / jacuzzi, Tendedero, Servicio de aparcacoches, Perchero, Billar, Terraza / solárium, Armario, Habitaciones familiares, TV, Proporciona factura, Desayuno fantástico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/87330324.jpg?k=751f2128898c73dea3ff9558e1fe1caad0ce78416e70c3ba627b96445482789d&o=&hp=1,La Fortuna,Costa Rica
Pura Vibra Hostel,https://www.booking.com/hotel/cr/pura-vibra-hostel.es.html?aid=2410095,"Pura Vibra Hostel está en Fortuna, a 5,6 km de Catarata La Fortuna, y dispone de servicio de conserjería, jardín, wifi gratis en todo el alojamiento y salón de uso común. El alojamiento se encuentra a 4,8 km de Aguas termales de Kalambu, a 20 km de Parque Mistico Arenal Hanging Bridges y a 21 km de Sky Adventures Arenal. El alojamiento ofrece karaoke y cocina compartida.

Las unidades tienen ropa de cama.

Puedes jugar al ping-pong en el albergue.

Cavernas de Venado está a 24 km del alojamiento, y Ecoglide Arenal Park está a 4,1 km. El aeropuerto (Aeropuerto de Fortuna) está a 10 km.","Papel higiénico, Ropa de cama, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Juegos de mesa / puzles, Noches de cine, Chimenea exterior, WC, Cocina compartida, Entretenimiento nocturno, Guardaequipaje, Ping pong, Proporciona factura, Zona de fumadores, Servicio de conserjería, Enchufe cerca de la cama, Servicio de lavandería, Ducha, Jardín, Llave de acceso, Mobiliario exterior, Zona TV / salón de uso compartido, Zona de pícnic, Información turística, Registro de entrada y salida exprés, Solo para adultos, Karaoke, WiFi gratis, Taquillas, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/546695837.jpg?k=c10999f6fca42dcfcde3cd31c607a0836858a71db8c15637525bf49a729f795b&o=&hp=1,La Fortuna,Costa Rica
Hotel Secreto La Fortuna,https://www.booking.com/hotel/cr/secreto-la-fortuna.es.html?aid=2410095,"Discover the charm of Hotel Secreto La Fortuna, a quiet retreat in the heart of Fortuna, Costa Rica. Just 300 meters from the park, our hotel offers air-conditioned rooms with free WiFi and breakfast included, ensuring a comfortable and pleasant stay.

Each room is equipped with a flat-screen cable TV and, to your delight, some feature breathtaking views of the mountain or our refreshing pool. All rooms have a private bathroom for your convenience.

Plus, at Hotel Secreto La Fortuna, we make it easy for you to explore the area with our tour ticketing service. Relax in our beautiful garden, where you can observe a variety of exotic birds and enjoy nature at its best.

Book your stay with us and live an unforgettable experience in La Fortuna!","Piscina infantil, Papel higiénico, Ropa de cama, Vistas al jardín, Caja fuerte, Baño privado, Servicio de despertador, Inglés, Aire acondicionado, Aseo adicional, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Detectores de humo, Piscina con vistas, Patio, Secador de pelo, TV de pantalla plana, Canales por cable, Seguridad 24 horas, Toda la unidad en la planta baja, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, Bañera o ducha, WC, Tours en bici, Servicio de traslado, Entrada privada, Senderismo, Nevera, Plancha para pantalones, Vistas a la piscina, Habitaciones insonorizadas, Enchufe cerca de la cama, Terraza, Artículos de aseo gratis, Ducha, Tours a pie, Abierta todo el año, Zona de comedor, Jardín, Escritorio, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Mesa de comedor, Toallas de playa/piscina, Servicio de entrega de comestibles, Zona poco profunda, Servicio de limpieza diario, Tour o clase sobre cultura local, Información turística, Piscina al aire libre, Desayuno fabuloso, Registro de entrada y salida exprés, Extintores, Servicio de habitaciones, Alquiler de coches, WiFi gratis, Ciclismo, Perchero, Toallas / sábanas (por un suplemento), Productos de limpieza, Zona de estar, Tumbonas/sillas de playa, Armario, Habitaciones familiares, Pesca, TV, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/229900823.jpg?k=1693f50fb57a8781d16aa15906d7c93495f561848e768b7560d318850a797b70&o=&hp=1,La Fortuna,Costa Rica
