hotel,hotel_url,description,popular_facilities,highres_url,city,country
Campestre House,https://www.booking.com/hotel/pa/campestre-lounge.es.html?aid=2410095,"Campestre House está en Alto Boquete y ofrece alojamiento con wifi gratis, jardín con terraza y vistas a la montaña.

El lodge ofrece servicio de alquiler de coches.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 41 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","WiFi gratis, Vistas, Masaje de cabeza, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Zona de fumadores, Servicio de traslado, Masaje de pies, Zona de estar, Zona de juegos interior, Proporciona factura, Extintores, Juegos de mesa / puzles, Ventilador, Masaje de manos, Seguridad 24 horas, Alquiler de coches, Masajes, Habitaciones familiares, Vestidor, Sofá, Entrada privada, Parking gratis, Terraza / solárium, Masaje de espalda, Español, Suelo de baldosa / mármol, Detectores de humo, Inglés, Traslado aeropuerto, Masaje de cuello, Chimenea, Cámaras de seguridad en las zonas comunitarias, TV de pantalla plana, Habitaciones sin humo, Bañera, Masaje corporal completo, Armario, Jardín, Llave de acceso, Masaje en pareja, Información turística, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/503917698.jpg?k=40d6bf9b064f650dc8f1fd7c2803ed03ce21d061e2630baebd06f5a79b8b3504&o=&hp=1,Alto Boquete,Panamá
Bonvivant Boquete,https://www.booking.com/hotel/pa/bonvivant-boquete.es.html?aid=2410095,"Bonvivant Boquete está en Alto Boquete y dispone de jardín. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, cada habitación cuenta con balcón. En Bonvivant Boquete, las habitaciones cuentan con aire acondicionado y baño privado.

El aeropuerto (Aeropuerto internacional Enrique Malek) está a 41 km.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Calefacción, WC, Tetera/cafetera en todas las habitaciones, Zona de comedor exterior, Tetera / cafetera, Aire acondicionado, Habitaciones familiares, Ducha, Parking gratis, Español, TV, Papel higiénico, Jardín, Microondas, Ropa de cama, Toallas, Nevera, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/493919909.jpg?k=25ffd000535c99a8de2a4a3c3b49a0d0f76ba52f8380186691b8ad3ac54b23ae&o=&hp=1,Alto Boquete,Panamá
The Yellow House Boquete apartamentos con baño y cocina,https://www.booking.com/hotel/pa/the-yellow-house-boquete-hostal.es.html?aid=2410095,"The Yellow House Boquete apartamentos con baño y cocina, que cuenta con terraza y wifi gratis en todo el alojamiento, se encuentra en Alto Boquete.

En el hostal o pensión, cada habitación dispone de TV de pantalla plana y algunas también ofrecen balcón. En The Yellow House Boquete apartamentos con baño y cocina, todas las habitaciones cuentan con ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 42 km del alojamiento.","Ducha, Nevera, Parking gratis, WiFi gratis, Español, Tetera/cafetera en todas las habitaciones, Mesa de comedor, Utensilios de cocina, Toallas, Inglés, Ropa de cama, Tetera / cafetera, Terraza, TV de pantalla plana, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581034345.jpg?k=1357f3f16fccaf3198f4474ab503a81c5cd268a53607d7cbb471b49919f7170d&o=&hp=1,Alto Boquete,Panamá
Cabaña casa luna,https://www.booking.com/hotel/pa/cabana-casa-luna.es.html?aid=2410095,"Cabaña casa luna se encuentra en Alto Boquete y dispone de jardín. El hostal o pensión también ofrece wifi gratis y parking privado gratis.

En el hostal o pensión, cada habitación incluye armario, una terraza con vistas a la montaña, baño privado, TV de pantalla plana, ropa de cama y toallas. Las habitaciones cuentan con nevera.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 39 km del alojamiento.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, WC, Tetera/cafetera en todas las habitaciones, Utensilios de cocina, Vistas a la montaña, Tetera / cafetera, Habitaciones familiares, Parking gratis, Español, Inglés, Habitaciones sin humo, Papel higiénico, Armario, Jardín, Ropa de cama, Toallas, Nevera, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584539285.jpg?k=a66338ddb4c369a0e5819a59a453d8cc7044124ddd311c1d2904681608e2a354&o=&hp=1,Alto Boquete,Panamá
Casa luna,https://www.booking.com/hotel/pa/casa-luna-alto-boquete.es.html?aid=2410095,"Casa luna está en Alto Boquete y cuenta con jardín. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, cada habitación cuenta con armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades cuentan con nevera.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 39 km.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, WC, Utensilios de cocina, Tetera / cafetera, Ducha, Parking gratis, Español, Inglés, Papel higiénico, Armario, Jardín, Ropa de cama, Toallas, Nevera, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585239709.jpg?k=ca7fe208051e38f74866adf74a74ce53d24136075db310dfd61ad60a5ebe700d&o=&hp=1,Alto Boquete,Panamá
Volcano Pines Retreat,https://www.booking.com/hotel/pa/volcano-pines-retreat.es.html?aid=2410095,"Volcano Pines Retreat, que tiene terraza, dispone de alojamiento en Alto Boquete con wifi gratis y vistas a la montaña. Esta habitación en casa particular tiene jardín y parking privado gratis.

La habitación en casa particular dispone de TV de pantalla plana. Hay toallas y ropa de cama en la habitación en casa particular.

El aeropuerto (Aeropuerto internacional Enrique Malek) está a 42 km.","Baño privado, WiFi gratis, Vistas, Utensilios de cocina, Vistas a la montaña, Artículos de aseo gratis, Tetera / cafetera, Ducha, Parking gratis, Español, Mesa de comedor, Inglés, Habitaciones sin humo, Papel higiénico, Jardín, Toallas, Ropa de cama, Zona de comedor, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/546443029.jpg?k=5c99dca4a84066cd947fa2bca00a168f31c83c9fe56ebe6106b731eec3cf225f&o=&hp=1,Alto Boquete,Panamá
Las cabañas del Francés,https://www.booking.com/hotel/pa/eden-canyon-panama.es.html?aid=2410095,"Las cabañas del Francés se encuentra en Alto Boquete. Esta casa o chalet dispone de jardín, zona de barbacoa, wifi gratis y parking privado gratis.

La casa o chalet cuenta con 2 dormitorios, 1 baño, ropa de cama, toallas, TV de pantalla plana con canales por cable, zona de comedor, zona de cocina totalmente equipada y terraza con vistas a la montaña. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

La clientela de este alojamiento puede practicar senderismo en los alrededores o disfrutar de la piscina al aire libre abierta todo el año.

El aeropuerto (Aeropuerto internacional Enrique Malek) está a 34 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Vistas a la piscina, Baño privado, Prohibido fumar en todo el alojamiento, Independiente, WiFi gratis, Tumbonas/sillas de playa, Vistas, Utensilios de cocina, Canales por cable, Zona de fumadores, Productos de limpieza, Servicio de traslado, Vistas a la montaña, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Parking en un garaje, Zona de comedor exterior, Barbacoa, Zona poco profunda, Vistas al jardín, Enchufe cerca de la cama, Ventilador, Francés, Cafetera, Piscina al aire libre, Artículos de aseo gratis, Abierta todo el año, Fogones, Aire acondicionado, Tours a pie, Juguetes para la piscina, Registro de entrada / salida privado, Ducha, Entrada privada, Parking gratis, Terraza / solárium, Terraza, Español, TV, Suelo de baldosa / mármol, Detectores de humo, Mesa de comedor, Inglés, Servicio de lavandería, Senderismo, Traslado aeropuerto, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Armario, Zona de pícnic, Nevera, Jardín, Zona de cocina, Microondas, Llave de acceso, Camas extralargas (más de 2 metros), Toallas, Adosado, Ropa de cama, Vistas a un lugar de interés, Zona de comedor, Para todas las edades, WC, Mosquitera, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/512785202.jpg?k=2381c1e7cf623a1c23824b29c60be49f3e8194749d0569006d0111b65ba51d34&o=&hp=1,Alto Boquete,Panamá
Beautiful Family Home in Boquete,https://www.booking.com/hotel/pa/beautiful-family-home-in-boquete.es.html?aid=2410095,"Beautiful Family Home in Boquete, que tiene terraza, dispone de alojamiento en Alto Boquete con wifi gratis y vistas a la montaña. Este apartamento tiene jardín y parking privado gratis.

Este apartamento dispone de 3 dormitorios, cocina con nevera y horno, TV de pantalla plana, zona de estar y 2 baños con ducha. Hay toallas y ropa de cama en el apartamento.

El aeropuerto (Aeropuerto internacional Enrique Malek) está a 42 km.","Prohibido fumar en todo el alojamiento, Independiente, Cocina, WiFi gratis, Vistas, Productos de limpieza, Vistas a la montaña, Lavadora, Zona de estar, Zona de comedor exterior, Barbacoa, Horno, Vistas al jardín, Enchufe cerca de la cama, Ventilador, Cafetera, Perchero, Secador de pelo, Tetera / cafetera, Fogones, Muebles de exterior, Habitaciones familiares, Ducha, Plancha para ropa, Parking gratis, Español, TV, Mesa de comedor, Inglés, Secadora de ropa, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Armario, Jardín, Microondas, Ropa de cama, Toallas, Nevera, Zona de comedor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/508864105.jpg?k=b50166ebb7e360015e962c6d154b93d9852375feccf938f79f1674596208fab0&o=&hp=1,Alto Boquete,Panamá
Suite romántica panorámica,https://www.booking.com/hotel/pa/suite-romantica-panoramica.es.html?aid=2410095,"Suite romántica panorámica está en Alto Boquete, en la región de Chiriquí, y dispone de balcón y vistas a la montaña. Este tented camp tiene jardín y parking privado gratis.

Este tented camp con aire acondicionado tiene acceso a una terraza y cuenta con cocina totalmente equipada y TV de pantalla plana. Hay toallas y ropa de cama en el tented camp.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 37 km.","Servicio de streaming (como Netflix), Cocina, Vistas, Utensilios de cocina, Vistas a la montaña, Vistas al jardín, Perchero, Secador de pelo, Patio, Aire acondicionado, Muebles de exterior, Habitaciones familiares, Ducha, Sofá, Plancha para ropa, Parking gratis, Español, TV, Mesa de comedor, Inglés, Bañera o ducha, Habitaciones sin humo, Bañera, Papel higiénico, Jardín, Zona de cocina, Toallas, Ropa de cama, Vistas a un lugar de interés, Zona de comedor, Balcón, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/533619340.jpg?k=877ec7ed1df7ca68cc9229eb9216a71022b3723f2f8ed288f233d567752a40d0&o=&hp=1,Alto Boquete,Panamá
Casa genial y muy acogedora con vista al Volcán,https://www.booking.com/hotel/pa/casa-genial-y-muy-acogedora-con-vista-al-volcan.es.html?aid=2410095,"Casa genial y muy acogedora con vista al Volcán, que tiene terraza, dispone de alojamiento en Alto Boquete con wifi gratis y vistas a la montaña. Esta casa o chalet tiene jardín y parking privado gratis.

Esta casa o chalet tiene 2 dormitorios, cocina con nevera y horno, TV de pantalla plana, zona de estar y 2 baños con bañera o ducha.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 37 km.","Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Tendedero, Utensilios de cocina, Vistas a la montaña, Lavadora, Zona de estar, Horno, Cafetera, Fogones, Patio, Parking gratis, Español, TV, Inglés, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Jardín, Nevera, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585705530.jpg?k=639ed8d571cae436923193e9b70046e59eaa35fb9d61a8e5381aec2ae269b862&o=&hp=1,Alto Boquete,Panamá
