hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Umbria,https://www.booking.com/hotel/it/hotelumbriaperugia.es.html?aid=2410095,"El Hotel Umbria, situado en el centro histórico de Perugia, a la vuelta de la esquina del Palazzo dei Priori, ofrece un alojamiento asequible y una preciosa terraza.

La mayoría de los monumentos de Perugia se encuentran a 200 metros del Hotel Umbria, incluida la Rocca Paolina, la fortaleza de la ciudad. A solo 5 minutos a pie del hotel para un autobús que conecta con otras hermosas ciudades de Umbría.

Las tranquilas habitaciones del Hotel Umbria están decoradas con gusto y bien conservadas. Muchas gozan de bellas vistas a los tejados de Perugia y a las colinas y al campo de los alrededores.

El desayuno se puede solicitar previamente y tomarse en la terraza del establecimiento.","Parking en un garaje, Suelo de madera o parquet, Prohibido fumar en todo el alojamiento, Parking, Italiano, Llave de acceso, Servicio de limpieza diario, Terraza, Servicio de despertador, Seguridad 24 horas, Armario, Papel higiénico, Bar, WiFi gratis, TV, Inglés, Nevera, WC, Proporciona factura, Persa, Servicio de habitaciones, Zona de fumadores, Toallas, Vino / champán, Artículos de aseo gratis, Secador de pelo, Cafetería en el alojamiento, Fax / fotocopiadora, Taquillas, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Servicio de despertador / alarma, Guardaequipaje, Escritorio, TV de pantalla plana, Ducha, Ventilador, Desayuno en la habitación, Calefacción, Teléfono, Habitaciones familiares, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/379595215.jpg?k=5a00e5f6161274f1d0d2a5f3ff2a01c03d47fff2cdce43990c3bc9380e4b8b9a&o=&hp=1,Pallasca,Perú
Sangallo Palace,https://www.booking.com/hotel/it/sangallopalace.es.html?aid=2410095,"El Sangallo Palace se encuentra a solo 50 metros de la histórica fortaleza de Rocca Paolina, en el centro de Perugia. Ofrece una zona de bienestar con piscina climatizada y gimnasio y una terraza con vistas panorámicas.

Las habitaciones están insonorizadas y equipadas con muebles elegantes, aire acondicionado, TV de pantalla plana y conexión a internet gratuita.

El desayuno es de tipo bufé. Hay máquinas expendedoras de bebidas frías y calientes. El restaurante sirve una selección de especialidades tradicionales de Umbría y de platos mediterráneos.

El Sangallo Palace está a medio camino entre la estación de tren y la Universidad de Perugia, a 1,5 km de ambas. Se encuentra a menos de 10 minutos a pie de la galería de Arte Nacional de Umbría.","Fruta, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Piscina climatizada, Servicio de planchado, Menús para dietas especiales (bajo petición), Italiano, Servicio de limpieza diario, Traslado aeropuerto, Salas de reuniones / banquetes, Happy hour, Terraza, Caja fuerte, Tour o clase sobre cultura local, Seguridad 24 horas, Habitaciones hipoalergénicas, Canguro / servicios para niños, Servicio de lavandería, Habitaciones insonorizadas, Servicio de aparcacoches, Bar, Mobiliario exterior, WiFi gratis, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Para todas las edades, Menú para niños, Gimnasio, Alarma de seguridad, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Cenas temáticas, Servicio de habitaciones, Vino / champán, Registro de entrada / salida privado, Información turística, Cuerda de emergencia en el baño, Centro de negocios, Juegos de mesa / puzles, Taquillas en el gimnasio / spa, Fax / fotocopiadora, Almuerzos para llevar, Tours a pie, Ascensor, Abierta todo el año, Horario de apertura, Aire acondicionado, Español, Campo de golf (a menos de 3 km), Parking en la calle, Zona poco profunda, Habitaciones sin humo, Habitaciones familiares, Restaurante, Extintores, Zona TV / salón de uso compartido, Piscina interior, Recepción 24 horas, Francés, Calefacción, WC elevado, Guardaequipaje, Buen desayuno, Adaptado para sillas de ruedas, Desayuno en la habitación, Parking adaptado para personas de movilidad reducida, Adaptado personas de movilidad reducida, Tarjeta de acceso, Servicio de limpieza en seco, Parking en el alojamiento",https://cf.bstatic.com/xdata/images/hotel/max1024x768/33527200.jpg?k=cd713039eabd7deebbf246cce154b65db109b1dad5aea2fb24134586a3fd2a77&o=&hp=1,Pallasca,Perú
Hotel Signa,https://www.booking.com/hotel/it/signa.es.html?aid=2410095,"El Hotel Signa goza de una ubicación tranquila a solo 10 minutos a pie de la catedral de Perugia. Todas las habitaciones están equipadas con TV LED y conexión Wi-Fi gratuita.

Todas las habitaciones tienen baño privado. Algunas también disponen de aire acondicionado y balcón con vistas preciosas al paisaje de los alrededores.

El bar del establecimiento sirve capuchinos y bollería recién hecha.

A menos de 100 metros hay varios restaurantes.","Prohibido fumar en todo el alojamiento, Parking, Italiano, Llave de acceso, Servicio de limpieza diario, Perchero, Terraza, Servicio de despertador, Bañera o ducha, Caja fuerte, Armario, Papel higiénico, Bar, Mobiliario exterior, WiFi gratis, TV, Servicio de conserjería, Detectores de humo, Inglés, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Zona de fumadores, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Secador de pelo, Cafetería en el alojamiento, Ascensor, Baño privado, Parking en la calle, Habitaciones sin humo, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Francés, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Desayuno en la habitación, Calefacción, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/205373571.jpg?k=8ceab3fe47d52dfbf8a8bdd77c9043d0b2444d7c77a3f384942dbe7ab9902bf0&o=&hp=1,Pallasca,Perú
Hotel Priori Secret Garden,https://www.booking.com/hotel/it/priori-secret-garden.es.html?aid=2410095,"Hotel Priori Secret Garden se encuentra en Perugia, a 3 min a pie de Perugia Cathedral, y ofrece alojamiento con centro de fitness, parking privado, terraza y bar. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Este alojamiento libre de humo está a 5 min a pie de Iglesia de San Severo, Perugia.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con bidet. Algunas de las habitaciones disponen de zona de cocina con nevera y microondas. Todas las unidades disponen de armario.

En el alojamiento se puede disfrutar de un desayuno buffet, continental o italiano.

La zona es ideal para practicar ciclismo, y en Hotel Priori Secret Garden hay alquiler de bicicletas.

Cerca del alojamiento hay puntos de interés como Corso Vannucci, Plaza IV de Noviembre y Estación de tren de Perugia. El aeropuerto más cercano (Aeropuerto de Perugia San Francesco d'Assisi) está a 14 km.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Plancha para pantalones, Masajes, Happy hour, Terraza, Bañera o ducha, Canguro / servicios para niños, Mobiliario exterior, Detectores de humo, WiFi gratis, Alemán, Lavamanos más bajo, Proporciona factura, Detector de monóxido de carbono, Registro de entrada / salida privado, Cafetería en el alojamiento, Centro de negocios, Enchufe cerca de la cama, Extintores, TV de pantalla plana, Habitaciones familiares, Adaptado personas de movilidad reducida, Tarjeta de acceso, Ruso, Tour o clase sobre cultura local, Armario, Alarma de seguridad, WC, Vino / champán, Artículos de aseo gratis, Galerías de arte temporales, Fax / fotocopiadora, Habitaciones sin humo, Insonorización, WC elevado, Guardaequipaje, Peluquería / salón de belleza, Parking adaptado para personas de movilidad reducida, Minibar, Registro de entrada y salida exprés, Servicio de planchado, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, Alquiler de bicicletas, TV, Menú para niños, Snack-bar, Secador de pelo, Tours a pie, Desayuno fantástico, Clases de cocina, Baño privado, Aire acondicionado, Francés, Escritorio, Adaptado para sillas de ruedas, Ducha, Calefacción, Teléfono, Ciclismo, Cuerda de emergencia en el baño, Suelo de madera o parquet, Italiano, Radio, Boles para mascotas, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Equitación, Gimnasio, Servicio de habitaciones, Toallas, Ascensor, Danés, WC con barras de apoyo, Recepción 24 horas, Parking privado, Desayuno en la habitación, Senderismo, Servicio de limpieza en seco, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/381808621.jpg?k=dc48c363981d345f2c70d2ad7e82e980e7346c446a6265deeb4384af152e82c5&o=&hp=1,Pallasca,Perú
Little Italy Hostel Ex Chiesa S Donato,https://www.booking.com/hotel/it/little-italy-hostel-perugia.es.html?aid=2410095,"El Little Italy Hostel está situado en Via della Nespola, en Perugia, y ofrece habitaciones privadas y compartidas. Hay WiFi gratuita en todas las instalaciones, sala de TV y bar.

Las habitaciones presentan frescos originales y una decoración de estilo contemporáneo. El baño puede ser privado o compartido.

Los huéspedes pueden utilizar de forma gratuita la nevera pequeña y los utensilios de cocina de la zona común.

La catedral de Perugia y el Arco Etrusco están a menos de 5 minutos a pie. Magione, a orillas del lago Trasimeno, está a 20 km.","Sala de juegos, Fruta, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Zona de comedor, Italiano, Fax, Radio, Servicio de limpieza diario, Perchero, Happy hour, Salas de reuniones / banquetes, Zona de estar, Seguridad 24 horas, Armario, Papel higiénico, Cocina compartida, Servicio de lavandería, Habitaciones insonorizadas, Bar, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Ordenador, Toallas / sábanas (por un suplemento), WC, Lavamanos más bajo, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Snack-bar, Registro de entrada / salida privado, Secador de pelo, Cafetería en el alojamiento, Cuerda de emergencia en el baño, Galerías de arte temporales, Juegos de mesa / puzles, Servicio de limpieza en seco, Productos de limpieza, Fax / fotocopiadora, Taquillas, Adaptado personas de movilidad reducida, Muebles de exterior, Aire acondicionado, WC con barras de apoyo, Fogones, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Suelo de baldosa / mármol, Tendedero, WC elevado, Guardaequipaje, Ropa de cama, Adaptado para sillas de ruedas, Ducha, Ventilador, Calefacción, Habitaciones familiares, Tarjeta de acceso, Tostadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/574745450.jpg?k=8d2bacaa30cd509e480a7dd4bed8d7eacd9c61478d79c6eeab61ba2468714530&o=&hp=1,Pallasca,Perú
Chocohotel,https://www.booking.com/hotel/it/etruscanchocohotel.es.html?aid=2410095,"The unique chocolate-themed Chocohotel offers free indoor parking and free Wi-Fi. It is located just 1 km from Perugia Train Station and historic centre.

The rooms are spacious and come with air conditioning and a satellite TV. Bed lamps and desks are shaped like chocolate bars. Some rooms include a massaging armchair or gym equipment.

The Chocohotel offers a welcome chocolate on arrival, and arranges tastings of different kinds of chocolate. The breakfast buffet includes chocolate fondue, a varied of pastries and a salty selection. The restaurant serves a themed menu, and classic Umbrian specialities.

The hotel also features a seasonal rooftop pool. Public buses stop outside the entrance.","Parking en un garaje, Solárium, Prohibido fumar en todo el alojamiento, Masajes, Parking gratis, Sombrillas, Terraza, Bañera o ducha, Canguro / servicios para niños, Zona de spa / relajación, Detectores de humo, WiFi gratis, Para todas las edades, Masaje de pies, Tarjetas de transporte público, Proporciona factura, Terraza / solárium, Zona de fumadores, Centro de negocios, Español, Extintores, Cesta para mascotas, TV de pantalla plana, Horario de apertura, Piscina en la azotea, Habitaciones familiares, Adaptado personas de movilidad reducida, Traslado aeropuerto, Armario, Alarma de seguridad, WC, 2 piscinas, Artículos de aseo gratis, Masaje de espalda, Galerías de arte temporales, Fax / fotocopiadora, Habitaciones sin humo, WC elevado, Guardaequipaje, De temporada, Parking adaptado para personas de movilidad reducida, Minibar, Registro de entrada y salida exprés, Servicio de planchado, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, TV, Cámaras de seguridad fuera del alojamiento, Menú para niños, Masaje corporal completo, Secador de pelo, Desayuno fantástico, Bañera, Baño privado, Aire acondicionado, Zona poco profunda, Supermercado pequeño en el alojamiento, Francés, Escritorio, Adaptado para sillas de ruedas, Calefacción, Teléfono, Suelo de madera o parquet, Piscina con vistas, Italiano, Llave de acceso, Boles para mascotas, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Inglés, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Acceso a pisos superiores en ascensor, Toallas, Ascensor, WC con barras de apoyo, Restaurante, Recepción 24 horas, Servicio de despertador / alarma, Desayuno en la habitación, Servicio de limpieza en seco, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/489252463.jpg?k=dc5d21c63c3549eac39af20b8d2778bbf7f64a97732a89031e27b7fcf4cd47c6&o=&hp=1,Pallasca,Perú
Hotel Fortuna,https://www.booking.com/hotel/it/hotelfortuna_perugia.es.html?aid=2410095,"El Hotel Fortuna se encuentra en Perugia y cuenta con terraza en la azotea. Este establecimiento con encanto data del siglo XIV y está a 100 metros de la calle Corso Vannucci.

Las habitaciones disponen de TV vía satélite y aire acondicionado. Algunas tienen ducha de hidromasaje. En algunas hay frescos originales o balcón. El baño incluye secador de pelo y artículos de aseo gratuitos.

Se sirve un desayuno continental en la sala de desayunos medieval, que está decorada con frescos del siglo XVI.

El hotel también cuenta con una acogedora sala de lectura, una zona con conexión a internet gratuita y una terraza con vistas a Perugia y al valle.

Se halla a 350 metros de la Piazza IV Novembre y a 20 minutos en coche del aeropuerto de Perugia-San Francesco d'Assisi.","Minibar, Fruta, Registro de entrada y salida exprés, Canales vía satélite, Prohibido fumar en todo el alojamiento, Suelo de madera o parquet, Parking, Menús para dietas especiales (bajo petición), Italiano, Llave de acceso, Servicio de limpieza diario, Perchero, Terraza, Boles para mascotas, Servicio de despertador, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Toda la unidad en la planta baja, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Alemán, Alarma de seguridad, Tarjetas de transporte público, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores en ascensor, Terraza / solárium, Toallas, Vino / champán, Snack-bar, Artículos de aseo gratis, Secador de pelo, Cafetería en el alojamiento, Registro de entrada / salida privado, Fax / fotocopiadora, Ascensor, Adaptado personas de movilidad reducida, Español, Baño privado, Aire acondicionado, Vistas a la ciudad, Enchufe cerca de la cama, Extintores, Insonorización, Recepción 24 horas, Servicio de despertador / alarma, Francés, Cesta para mascotas, Guardaequipaje, Escritorio, TV de pantalla plana, Buen desayuno, Ducha, Desayuno en la habitación, Calefacción, Teléfono, Habitaciones familiares, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/58732967.jpg?k=d15d446bd0dbd5de8dc664fd16deb022c9bb6d28732fe90ac53be855a1e15836&o=&hp=1,Pallasca,Perú
Hotel Bonazzi,https://www.booking.com/hotel/it/hotelbonazzi.es.html?aid=2410095,"El Hotel Bonazzi se encuentra ubicado en una propiedad del siglo XVII, justo enfrente de la fortaleza de Rocca Paolina y el gran Palacio della Penna. Todas las habitaciones cuentan con conexión inalámbrica a internet gratuita.

La pintoresca Plaza IV Novembre está a pocos pasos del hotel.

Este pequeño y acogedor hotel es de gestión familiar. El amable personal del hotel estará a su servicio y podrá informarle sobre los lugares de interés local y hacer recomendaciones.

Las habitaciones son cómodas y muy limpias. Cuentan con TV vía satélite y conexión inalámbrica a internet gratuita. El desayuno continental está incluido en el precio.","Minibar, Registro de entrada y salida exprés, Vistas al jardín, Canales vía satélite, Prohibido fumar en todo el alojamiento, Desayuno, Plancha para ropa, Italiano, Aseo adicional, Radio, Servicio de limpieza diario, Llave de acceso, Servicio de despertador, Vistas a un patio interior, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Bar, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Toallas, Registro de entrada / salida privado, Artículos de aseo gratis, Secador de pelo, Productos de limpieza, Fax / fotocopiadora, Baño privado, Aire acondicionado, Vistas a la ciudad, Campo de golf (a menos de 3 km), Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Supermercado pequeño en el alojamiento, Zona TV / salón de uso compartido, Insonorización, Recepción 24 horas, Suelo de baldosa / mármol, Servicio de despertador / alarma, Francés, Guardaequipaje, Hipoalergénico, Escritorio, TV de pantalla plana, Peluquería / salón de belleza, Ducha, Reloj despertador, Desayuno en la habitación, Calefacción, Teléfono, Adaptado personas de movilidad reducida, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/255283008.jpg?k=d731f958a7c52fd4c8cd4751a902c11407e2ec92925931f53542eaa2d0a0ac49&o=&hp=1,Pallasca,Perú
Sina Brufani,https://www.booking.com/hotel/it/brufani-palace.es.html?aid=2410095,"EL lujoso Hotel Brufani Palace dispone de una piscina cubierta con suelo de cristal que ofrece vistas a ruinas etruscas de 3.000 años de antigüedad.

El Brufani Palace es uno de los hoteles más prestigiosos de Perugia. Ofrece unas vistas magníficas a las verdes colinas de Umbría y a la ciudad medieval. Cuenta con amplias habitaciones y salones que presentan techos con frescos y suelos de madera originales.

El hotel alberga un gimnasio bien equipado, sauna, baño de vapor y piscina de hidromasaje. El elegante bar tiene un diseño tradicional inglés y sirve tés y cócteles.

El Collins Restaurant es famoso por su deliciosa cocina regional y su excelente selección de vinos. Durante el verano se puede comer al aire libre en la terraza.

Los elegantes salones de banquetes son ideales para celebrar fiestas privadas y el jardín de la azotea tiene capacidad para 75 personas. El hotel también dispone de salas de reuniones modernas, equipadas con accesorios de última generación, y con una capacidad máxima de 130 personas.","Minibar, Registro de entrada y salida exprés, Canales vía satélite, Servicio de planchado, Italiano, Traslado aeropuerto, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Caja fuerte, Hammam, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, Servicio de aparcacoches, Bar, WiFi gratis, TV, Inglés, Albornoz, Gimnasio, WC, Servicio de habitaciones, Toallas, Jardín, Artículos de aseo gratis, Zapatillas, Secador de pelo, Fax / fotocopiadora, Ascensor, Adaptado personas de movilidad reducida, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Sauna, Habitaciones sin humo, Restaurante, Spa y centro de bienestar, Piscina interior, Recepción 24 horas, Francés, Guardaequipaje, Escritorio, TV de pantalla plana, Parking privado, Buen desayuno, Ducha, Desayuno en la habitación, Calefacción, Teléfono, Habitaciones familiares, Servicio de limpieza en seco, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/145124630.jpg?k=b5388f0482b9cf0be4cd563cb5e221260df9811d850de5b05a027e458785bd55&o=&hp=1,Pallasca,Perú
Hotel Giò Wine e Jazz Area,https://www.booking.com/hotel/it/hotel-gio-wine-e-jazz-area.es.html?aid=2410095,"Offering free parking and free Wi-Fi, Hotel Giò Jazz Area is a jazz-themed hotel in Perugia, the Case Bruciate Minimetrò Station is 400 metres away and Perugia Train Station is 1Km away.. The building features a seasonal rooftop pool, a sun terrace and a gym. The rooms come with a jazz compilation CD and stereo.

Rooms at Hotel Giò are spacious and feature a TV and private bathroom. Some rooms feature a spa bath, others have a massage chair.

The hotel with jazz-themed decoration boasts a specialised music shop and a music arcade where international jazz concerts are projected. It also has its own auditorium where jazz concerts are held periodically.

The tranquil garden has tables and chairs where you can relax.

Every evening, Ristorante Enoteca offers an eclectic à la carte menu including regional specialities. Breakfast is buffet style.

The historic centre is easily reached by a 15-minute walk or by bus with buses stopping right outside the hotel.

A shuttle to/from the airport is available on request.","Parking en un garaje, Solárium, Prohibido fumar en todo el alojamiento, Parking gratis, Sombrillas, Terraza, Mobiliario exterior, Detectores de humo, WiFi gratis, Para todas las edades, Alemán, Tarjetas de transporte público, Proporciona factura, Cenas temáticas, Zona de fumadores, Terraza / solárium, Jardín, Cafetería en el alojamiento, Centro de negocios, Español, Zona TV / salón de uso compartido, Enchufe cerca de la cama, Extintores, Cesta para mascotas, TV de pantalla plana, Horario de apertura, Piscina en la azotea, Desayuno fabuloso, Habitaciones familiares, Adaptado personas de movilidad reducida, Baño al aire libre, Armario, Alarma de seguridad, WC, Vino / champán, Artículos de aseo gratis, Zapatillas, Fax / fotocopiadora, Habitaciones sin humo, Música / espectáculos en directo, Insonorización, WC elevado, Guardaequipaje, Peluquería / salón de belleza, De temporada, Parking adaptado para personas de movilidad reducida, Minibar, Registro de entrada y salida exprés, Servicio de planchado, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, TV, Cámaras de seguridad fuera del alojamiento, Menú para niños, Apoyo visual: carteles táctiles, Snack-bar, Secador de pelo, Guiado auditivo, Baño privado, Aire acondicionado, Piscina al aire libre, Supermercado pequeño en el alojamiento, Francés, Escritorio, Adaptado para sillas de ruedas, Ducha, Calefacción, Teléfono, Cuerda de emergencia en el baño, Canales vía satélite, Piscina con vistas, Menús para dietas especiales (bajo petición), Italiano, Llave de acceso, Boles para mascotas, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Alquiler de coches, Gimnasio, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Acceso a pisos superiores en ascensor, Toallas, Toallas de playa/piscina, Ascensor, WC con barras de apoyo, Restaurante, Servicio de despertador / alarma, Recepción 24 horas, Desayuno en la habitación, Servicio de limpieza en seco, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/14886769.jpg?k=98899c0182e5f85223bc64384f18268a981e36a6c99817c88027b166e2487f0c&o=&hp=1,Pallasca,Perú
