hotel,hotel_url,description,popular_facilities,highres_url,city,country
Inácio Palace Hotel,https://www.booking.com/hotel/br/inacio-palace.es.html?aid=2410095,"El Inácio Palace ofrece alojamiento funcional en el centro de Rio Branco, a 400 metros de la orilla del río del estado de Acre. El alojamiento cuenta con aire acondicionado y TV. Además, hay conexión WiFi y aparcamiento, ambos servicios gratuitos.

Las habitaciones del Inácio Palace Hotel presentan una decoración en tonos claros y disponen de baño, teléfono y minibar. Algunas también tienen TV por cable.

El hotel consta de recepción 24 horas y servicio de lavandería. Asimismo, el Inácio Palace proporciona servicios de información turística, alquiler de coches y enlace con el aeropuerto.

Cerca del hotel se sirve un desayuno buffet todos los días que incluye productos regionales, fruta fresca, bollería y tartas.

El Hotel Inácio se encuentra junto a la sede del gobierno del estado, a 100 metros del centro administrativo y financiero de la ciudad. El aeropuerto internacional de Rio Branco-Plácido Castro se sitúa a 20 km.","Inglés, Snack-bar, TV de pantalla plana, Servicio de lavandería, Información turística, Alquiler de coches, Plancha para ropa, WiFi gratis, Teléfono, Fruta, Fax / fotocopiadora, Habitaciones sin humo, Minibar, Centro de negocios, Ducha, Buen desayuno, Canales por cable, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Portugués, Galerías de arte temporales, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/30924170.jpg?k=e5875d40c4dbf4d6cb94f2753aee0ba8a148a55f654c99d6de9d75147edfcc3a&o=&hp=1,Rio Branco,Brasil
ibis Rio Branco,https://www.booking.com/hotel/br/ibis-rio-branco.es.html?aid=2410095,"El Ibis Rio Branco se encuentra en Río Branco, a 3,5 km de Horto Florestal.

Además, está a 1 km de la universidad FAAO, a 1,2 km de la Universidad Federal y a 850 metros del Hospital Traumatológico de Acre.

El centro comercial Via Verde está a 3,6 km del ibis Rio Branco, y el Parque da Maternidade está a 6 km. El aeropuerto más cercano es el Presidente Medici, ubicado a 11 km del ibis Rio Branco.","Inglés, Bar, Snack-bar, TV de pantalla plana, Extintores, Boles para mascotas, Restaurante, Toda la unidad accesible en silla de ruedas, Plancha para ropa, Adaptado personas de movilidad reducida, WiFi gratis, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, Muy buen desayuno, WC elevado, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Habitaciones insonorizadas, Centro de negocios, Caja fuerte, Buffet para niños, Guardaequipaje, Ducha, Servicio de despertador / alarma, Armario, Servicio de limpieza diario, Artículos de aseo gratis, Cesta para mascotas, Jardín, Proporciona factura, Canales por cable, WC con barras de apoyo, Cafetería en el alojamiento, Parking gratis, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Lavamanos más bajo, Zona de pícnic, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/318201944.jpg?k=d9babfa113a66a11b5cca33dfcfd4811ee3025820288ce91747e8d1da4a34ad3&o=&hp=1,Rio Branco,Brasil
Nobile Suites Gran Lumni,https://www.booking.com/hotel/br/gran-lumni-rio-branco.es.html?aid=2410095,"El Nobile Suites Gran Lumni está situado en Rio Branco y cuenta con piscina al aire libre y restaurante. También ofrece WiFi gratuita en todas las instalaciones.

Las habitaciones disponen de aire acondicionado, minibar, escritorio y baño privado con ducha, secador de pelo y artículos de aseo gratuitos. También incluyen ropa de cama y utensilios de planchado.

Además, el Nobile Suites Gran Lumni cuenta con centro de fitness, instalaciones para reuniones y servicio de lavandería. Hay aparcamiento gratuito.

El hotel se encuentra a 400 metros de la catedral de Nazaré, a 700 metros del parque da Maternidade y a 3,6 km del parque Horto Florestal. El aeropuerto Plácido de Castro está a 19 km.","Tarjeta de acceso, Abierta todo el año, Extintores, Boles para mascotas, Adaptado personas de movilidad reducida, Registro de entrada / salida privado, Piscina al aire libre, Teléfono, Fruta, Alarma de seguridad, TV, Habitaciones insonorizadas, Caja fuerte, Salas de reuniones / banquetes, Jardín, Almuerzos para llevar, Cafetería en el alojamiento, Recepción 24 horas, Habitaciones familiares, Portugués, Restaurante, Escritorio, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Prohibido fumar en todo el alojamiento, Minibar, Cochecitos de bebé, Ducha, Bidet, Artículos de aseo gratis, Cesta para mascotas, Bañera de hidromasaje / jacuzzi, TV de pantalla plana, Ropa de cama, Zona de fumadores, Perchero, Menú para niños, Español, Servicio de planchado, Armario, Toallas, Gimnasio, Canales por cable, WC con barras de apoyo, Servicio de habitaciones, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, WC, Taquillas, Cámaras de seguridad fuera del alojamiento, Suelo de baldosa / mármol, Papel higiénico, Acceso a pisos superiores en ascensor, Bar, Servicio de lavandería, Desayuno fabuloso, Sombrillas, Menús para dietas especiales (bajo petición), WiFi gratis, Baños públicos, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Habitaciones hipoalergénicas, Centro de negocios, Apoyo visual: braille, Servicio de limpieza diario, Solo para adultos, Seguridad 24 horas, Parking en un garaje, Vino / champán, Secador de pelo, Aire acondicionado, Lavamanos más bajo, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/118343508.jpg?k=e3ab0cdd6b19dc3fa80ada2d4b75bea4046560b064a937880b90cfe3f2f4c6d1&o=&hp=1,Rio Branco,Brasil
Pousada Castelo,https://www.booking.com/hotel/br/pousada-castelo-rio-branco.es.html?aid=2410095,"Pousada Castelo está a 3,1 km de Catedral de Nazaré y ofrece alojamiento con wifi gratis y parking privado gratis.

Todas las unidades disponen de aire acondicionado y TV de pantalla plana.

Parque da Maternidade está a 3,8 km del alojamiento, y Horto Florestal está a 6,9 km. El aeropuerto (Aeropuerto Internacional de Río Branco) está a 18 km.","Parking gratis, Baño privado, Inglés, Portugués, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Toallas, Aire acondicionado, Habitaciones familiares, Cocina compartida, WiFi gratis, Español, Hervidor eléctrico, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548566168.jpg?k=5381434f9ebaa72b8f2adf0fa078dd74ec91cc6cd6a71c28e6e3be39bac436bd&o=&hp=1,Rio Branco,Brasil
Hotel Guapindaia Praça,https://www.booking.com/hotel/br/guapindaia-praaa.es.html?aid=2410095,"El Hotel Guapindaia Praça está situado en el centro de Rio Branco y cuenta con recepción 24 horas, servicio de lavandería y consigna de equipaje. El hotel se encuentra a 2 km del centro de la ciudad y a 700 metros del río.

Las habitaciones del Hotel Guapindaia disponen de aire acondicionado, TV vía satélite, minibar y baño con ducha.

Todas las mañanas se sirve un generoso desayuno buffet. También se ofrece servicio de habitaciones por un suplemento. A menos de 5 minutos a pie, los huéspedes encontrarán restaurantes y cafeterías.

El hotel también cuenta con mostrador de información turística, salas de reuniones e instalaciones para personas de movilidad reducida. El establecimiento se encuentra además a 800 metros del Parque da Maternidade, a 500 metros de la catedral de Nazare y a 5 minutos en coche del Parque Capitao Ciríaco.

El aeropuerto Presidente Medici está a 18 km, mientras que la estación de autobuses de Rio Brancro se encuentra a 8 km. La pasarela Joaquim Macedo está a solo 700 metros.","Servicio de lavandería, Adaptado personas de movilidad reducida, WiFi gratis, Fax / fotocopiadora, Muy buen desayuno, Caja fuerte, Guardaequipaje, Servicio de planchado, Salas de reuniones / banquetes, Servicio de aparcacoches, Servicio de limpieza diario, Parking gratis, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/312225825.jpg?k=7294cecc5ad6d47a040c3b9e6ed0ac7e52610cce749b119d9a35ea5dc00ace3b&o=&hp=1,Rio Branco,Brasil
Residencial Isaura,https://www.booking.com/hotel/br/residencial-isaura.es.html?aid=2410095,"Residencial Isaura se encuentra en Rio Branco y ofrece alojamiento a 1,9 km de Catedral de Nazaré, a 3,4 km de Parque da Maternidade y a 4,1 km de Horto Florestal. Este alojamiento ofrece parking privado gratis y acceso a un patio.

Este apartamento con aire acondicionado consta de 1 dormitorio independiente, 1 baño y una sala de estar. Hay toallas y ropa de cama en el apartamento.

Pasarela Joaquim Macedo está a 3 km del alojamiento. El aeropuerto más cercano (Aeropuerto Internacional de Río Branco) está a 20 km.","TV de pantalla plana, Insonorización, Llave de acceso, Ropa de cama, Zona de fumadores, Plancha para ropa, Perchero, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Patio, Registro de entrada / salida privado, Apartamento privado en edificio, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Minibar, Independiente, Supermercado pequeño en el alojamiento, Armario, Toallas, Solo para adultos, Proporciona factura, Parking gratis, Baño privado, Acceso a pisos superiores solo mediante escaleras, Aire acondicionado, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/485032113.jpg?k=a9254bc47dbdb82820a385ff1f147a3ff7b7351baa1b49753d2c87566e4eedeb&o=&hp=1,Rio Branco,Brasil
Diff Hotel,https://www.booking.com/hotel/br/diff-hotel-riobranco.es.html?aid=2410095,"El Diff Hotel está situado en el centro de Rio Branco y cuenta con piscina al aire libre y centro de fitness. Goza de una ubicación ideal, a 4 km del centro comercial Via Verde, y ofrece conexión Wi-Fi gratuita en todas las instalaciones.

Las habitaciones presentan una decoración moderna e incluyen TV de pantalla plana, aire acondicionado, minibar, hervidor de agua y baño privado con secador de pelo y artículos de aseo.

El Diff Hotel cuenta con recepción 24 horas que ofrece un servicio de enlace con el aeropuerto por un suplemento. El establecimiento proporciona consigna de equipaje.

El hotel está situado a 400 metros de la pasarela Joaquim Macedo y de la catedral de Nazaré, y a 15 km del aeropuerto Presidente Medici.","Terraza, Tarjeta de acceso, Abierta todo el año, Extintores, Utensilios de planchado, Reloj despertador, Adaptado personas de movilidad reducida, Piscina al aire libre, Teléfono, Alarma de seguridad, TV, Habitaciones insonorizadas, Caja fuerte, Salas de reuniones / banquetes, Cafetería en el alojamiento, Radio, Recepción 24 horas, Habitaciones familiares, Portugués, Tumbonas/sillas de playa, Restaurante, Escritorio, Barbacoa, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Prohibido fumar en todo el alojamiento, Minibar, Calefacción, Cochecitos de bebé, Ducha, Artículos de aseo gratis, Caja fuerte para ordenador portátil, TV de pantalla plana, Zona de fumadores, Perchero, Enchufe cerca de la cama, Español, Piscina con vistas, Servicio de planchado, Armario, Toallas, Gimnasio, Canales por cable, Hervidor eléctrico, Servicio de habitaciones, Parking gratis, Baño privado, Detectores de humo, Ascensor, WC, Cámaras de seguridad fuera del alojamiento, Suelo de baldosa / mármol, Papel higiénico, Acceso a pisos superiores en ascensor, Inglés, Bar, Servicio de lavandería, Insonorización, Desayuno fabuloso, Sombrillas, Menús para dietas especiales (bajo petición), Plancha para ropa, Plancha para pantalones, Zona poco profunda, WiFi gratis, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Terraza / solárium, Centro de negocios, Bañera o ducha, Guardaequipaje, Supermercado pequeño en el alojamiento, Servicio de limpieza diario, Seguridad 24 horas, Vino / champán, Secador de pelo, Aire acondicionado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523625931.jpg?k=cbf7399a9f818dff6acfaf2ba07bec5ecaed2104ef741b76512498e42c5701ea&o=&hp=1,Rio Branco,Brasil
Amazônia Palace Hotel,https://www.booking.com/hotel/br/amaza-nia-palace.es.html?aid=2410095,"El Amazônia Palace Hotel es un establecimiento moderno y práctico situado a 2 km del centro de Rio Branco. Este hotel de 4 estrellas proporciona conexión Wi-Fi gratuita, ofrece servicio de consigna de equipaje y alberga un centro de negocios.

Todas las mañanas se sirve un desayuno bufé que incluye fruta fresca, panes y embutidos variados y una selección de bebidas.

Las habitaciones del Amazônia Hotel cuentan con aire acondicionado, TV de pantalla plana, armario, una estación de trabajo y baño privado.

El Amazônia Palace se halla a 17 km del aeropuerto internacional Plácido de Castro, a 7 km de la estación de autobuses de Rio Branco y del centro comercial Via Verde y a 2 km de los parques Chico Mendes y Horto Florestal. El establecimiento dispone de aparcamiento privado gratuito.","TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Extintores, Ropa de cama, Boles para mascotas, Escritorio, Zona de fumadores, Menús para dietas especiales (bajo petición), Insonorización, Plancha para ropa, Silla de masajes, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Traslado aeropuerto, Barbacoa, Teléfono, Fruta, Fax / fotocopiadora, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones insonorizadas, Centro de negocios, Caja fuerte, Buffet para niños, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Mesa de comedor, Toallas, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de limpieza diario, Jardín, Proporciona factura, Suelo de baldosa / mármol, WC con barras de apoyo, Desayuno en la habitación, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Alquiler de bicicletas, Vino / champán, Parking en un garaje, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Toda la unidad en la planta baja, Acceso a pisos superiores solo mediante escaleras, WC, Aire acondicionado, Habitaciones familiares, Tours en bici, Portugués, Servicio de traslado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/214345272.jpg?k=143a238c896e54568322e39b13813906f04cf570ff1eea81e122d2b4c4afc5d5&o=&hp=1,Rio Branco,Brasil
Aquiri Hostel,https://www.booking.com/hotel/br/aquiri-hostel-rio-branco.es.html?aid=2410095,"Aquiri Hostel está en Rio Branco, a 1,9 km de Horto Florestal, y dispone de alojamiento con jardín, parking privado gratis y salón de uso común. El albergue está a unos 3,8 km de Parque da Maternidade y a 3,6 km de Pasarela Joaquim Macedo. Este alojamiento libre de humo se encuentra a 3,2 km de Catedral de Nazaré.

Las habitaciones del alojamiento tienen baño privado con ducha. También cuentan con wifi gratis, y algunas de las habitaciones ofrecen vistas al jardín.

El desayuno diario ofrece opciones buffet, vegetarianas o veganas.

El aeropuerto más cercano (Aeropuerto Internacional de Río Branco) está a 20 km.","Vistas a un lugar de interés, Cocina compartida, Desayuno, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Happy hour, Habitaciones sin humo, Prohibido fumar en todo el alojamiento, Noches de cine, Español, Suelo de moqueta, Ducha, Jardín, Parking gratis, Baño privado, Toallas / sábanas (por un suplemento), Toda la unidad en la planta baja, Zona TV / salón de uso compartido, Aire acondicionado, Habitaciones familiares, Portugués, Tendedero",https://cf.bstatic.com/xdata/images/hotel/max1024x768/512017343.jpg?k=227691b0541cb44755cdc1522b50b1d8ac1a558645765cfae0abdc4d2a875a03&o=&hp=1,Rio Branco,Brasil
Cubo Hotel,https://www.booking.com/hotel/br/cubo-executive.es.html?aid=2410095,"Cubo Hotel se encuentra en Rio Branco, a 8,7 km de Catedral de Nazaré, y ofrece alojamiento con piscina al aire libre, parking privado gratis y jardín. El alojamiento está a 9,4 km de Parque da Maternidade, a 10 km de Horto Florestal y a 9,1 km de Pasarela Joaquim Macedo. El hotel también dispone de wifi gratis y servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, cada habitación incluye escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones cuentan con minibar.

En la recepción, el personal habla español y portugués.

El aeropuerto más cercano (Aeropuerto Internacional de Río Branco) está a 9 km del alojamiento.","Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Ropa de cama, Zona de fumadores, Escritorio, Perchero, WiFi gratis, Servicio de streaming (como Netflix), Registro de entrada y salida exprés, Traslado aeropuerto, Piscina al aire libre, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Bañera o ducha, Piscina privada, Ducha, Papel higiénico, Toallas, Artículos de aseo gratis, Solo para adultos, Jardín, Parking gratis, Baño privado, Horario de apertura, Toallas / sábanas (por un suplemento), Recepción 24 horas, WC, Aire acondicionado, Zona de pícnic, Habitaciones familiares, Portugués, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/541538183.jpg?k=a8b16a909c229c8d34f8725b9056cb5736f67dd48189d918db9b94abdd9581ba&o=&hp=1,Rio Branco,Brasil
