hotel,hotel_url,description,popular_facilities,highres_url,city,country
Gran Hotel Internacional Sanbara,https://www.booking.com/hotel/co/gran-internacional-sanbara.es.html?aid=2410095,"Gran Hotel Internacional Sanbara se encuentra en Arauca, a 3,3 km de Arauca Municipal Stadium, y ofrece alojamiento con centro de fitness, parking privado gratis, jardín y terraza. El alojamiento cuenta con restaurante y también tiene bar y bañera de hidromasaje. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones cuentan con escritorio. Todas las unidades del alojamiento tienen baño privado con bidet y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones tienen balcón. Las habitaciones cuentan con nevera.

En el alojamiento se puede disfrutar de un desayuno continental, americano o vegetariano.

El aeropuerto más cercano (Aeropuerto Santiago Pérez) está a 3 km del alojamiento.","Terraza, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Baño privado, Jardín, Centro de negocios, Extintores, Hipoalergénico, Tour o clase sobre cultura local, Servicio de limpieza en seco, Parking gratis, Parking en un garaje, Servicio de habitaciones, Alquiler de coches, Servicio de aparcacoches, Zona de comedor, Servicio de entrega de comestibles, Vestidor, Cambio de moneda, Aire acondicionado, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Muy buen desayuno, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Desayuno en la habitación, Zona de estar, Llave de acceso, Escritorio, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Lavadora, Habitaciones familiares, Plancha para pantalones, Papel higiénico, Fax / fotocopiadora, Sombrillas, Suelo de baldosa / mármol, Juegos de mesa / puzles, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Caja fuerte, Armario, Servicio de traslado, Acceso a pisos superiores en ascensor, Artículos de aseo gratis, Detectores de humo, Bañera de hidromasaje / jacuzzi, Ruta de bares, Productos de limpieza, Tours a pie, Secadora de ropa, Servicio de planchado, Guardaequipaje, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Español, Nevera, Zona de fumadores, Albornoz, Baños públicos, Recepción 24 horas, Traslado aeropuerto, Vino / champán, Información turística, Snack-bar, Registro de entrada / salida privado, Servicio de conserjería, Entrada privada, Menús para dietas especiales (bajo petición), Fruta, Ducha, Aseo adicional, Bidet, Gimnasio, Servicio de lavandería, Ascensor, Minibar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/81702675.jpg?k=be77fd313acd549eb2251d4f863d68cbbe9d5bf3b453ab78f4d0299721047727&o=&hp=1,Arauca,Colombia
Hotel Arauca Colonial,https://www.booking.com/hotel/co/arauca-colonial.es.html?aid=2410095,El Hotel Arauca Colonial ofrece alojamiento en Arauca y cuenta con recepción 24 horas.,"Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Recepción 24 horas, Baño privado, Centro de negocios, Extintores, Aire acondicionado, TV, Parking, Armario, Perchero, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking en un garaje, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Canales por cable, Llave de acceso, Servicio de planchado, Servicio de lavandería, Salas de reuniones / banquetes, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Plancha para pantalones, Español, Nevera, Minibar, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/112242393.jpg?k=5700920e663deedd8887a23f6f468b7992c9d219e8518842b646b20ae3d6fe6e&o=&hp=1,Arauca,Colombia
Deko rooms,https://www.booking.com/hotel/co/deko-rooms.es.html?aid=2410095,"Deko rooms se encuentra en Arauca, a 2,3 km de Arauca Municipal Stadium, y dispone de alojamiento con wifi gratis y parking privado gratis. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y cambio de moneda.

Todas las unidades incluyen aire acondicionado, nevera, microondas, cafetera, ducha, artículos de aseo gratuitos y escritorio. En el hotel, todas las habitaciones tienen baño privado y ropa de cama.

El aeropuerto más cercano (Aeropuerto Santiago Pérez) está a 2 km.","Supermercado pequeño en el alojamiento, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Canales de pago, Muebles de exterior, Cambio de moneda, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, Cocina, TV, Tarjetas de transporte público, Armario, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Reloj despertador, Cafetera, Vistas a un patio interior, Zona de estar, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Utensilios de cocina, Servicio de lavandería, WC, Microondas, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Toda la unidad en la planta baja, Zona de comedor, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/508231823.jpg?k=770069a1557f2027f9cbeb25c3707fcce18aa1d0da501c3dfec403dbe49c8f34&o=&hp=1,Arauca,Colombia
Hotel Nova Park,https://www.booking.com/hotel/co/nova-park.es.html?aid=2410095,"Hotel Nova Park está en Arauca, a 2,8 km de Arauca Municipal Stadium, y dispone de alojamiento con centro de fitness, parking privado gratis, salón de uso común y terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El bar es ideal para tomar algo.

En el hotel, las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades de este alojamiento tienen aire acondicionado y armario.

En Hotel Nova Park se puede disfrutar de un desayuno americano.

El aeropuerto (Aeropuerto Santiago Pérez) está a 3 km.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Almuerzos para llevar, Bañera o ducha, Teléfono, Toallas / sábanas (por un suplemento), Canales de pago, Recepción 24 horas, Baño privado, Centro de negocios, Extintores, Aire acondicionado, TV, Armario, Perchero, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Ropa de cama, Menús para dietas especiales (bajo petición), Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Buen desayuno, Ducha, Servicio de habitaciones, Mesa de comedor, Enchufe cerca de la cama, Detectores de humo, Proporciona factura, Bañera de hidromasaje / jacuzzi, Zona de fumadores, Sauna, Productos de limpieza, Canales por cable, Desayuno en la habitación, Gimnasio, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Baño al aire libre, Servicio de lavandería, Salas de reuniones / banquetes, Baño de vapor, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Zona de comedor, TV de pantalla plana, Canales vía satélite, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Nevera, Minibar, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/273172252.jpg?k=4c1889e44b903d2f566a29d159e2dec074725d82984183a8199f3c071882cd7c&o=&hp=1,Arauca,Colombia
Hotel Quinta del Sol,https://www.booking.com/hotel/co/quinta-del-sol.es.html?aid=2410095,"Hotel Quinta del Sol está en Arauca, a 2,6 km de Arauca Municipal Stadium. El alojamiento dispone de recepción 24 horas y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones disponen de armario. En Hotel Quinta del Sol, cada habitación cuenta con aire acondicionado, escritorio y TV de pantalla plana, y algunas también ofrecen terraza. En el alojamiento, las habitaciones disponen de zona de estar.

El aeropuerto más cercano (Aeropuerto Santiago Pérez) está a 2 km.","Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Centro de negocios, Hipoalergénico, Extintores, Aire acondicionado, TV, Mosquitera, Armario, Perchero, Cámaras de seguridad en las zonas comunitarias, Desayuno excepcional, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Enchufe cerca de la cama, Productos de limpieza, Canales por cable, Habitaciones insonorizadas, Tarjeta de acceso, Desayuno en la habitación, Zona de estar, Secadora de ropa, Servicio de despertador, Escritorio, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, Insonorización, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Servicio de despertador / alarma, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/129212324.jpg?k=f9e4f92b641fdcac074f8ecaa24d1553e33f64d2e0604f1f3087cedf3ae2a505&o=&hp=1,Arauca,Colombia
COOL HOUSE 24Horas,https://www.booking.com/hotel/co/cool-house-24horas-arauca.es.html?aid=2410095,"COOL HOUSE 24Horas dispone de wifi gratis en todo el alojamiento y habitaciones con aire acondicionado en Arauca. Este alojamiento libre de humo está a 2,8 km de Arauca Municipal Stadium.

Las unidades de este alojamiento están equipadas con cafetera. En el hostal o pensión, todas las habitaciones incluyen ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto Santiago Pérez) está a 3 km.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Servicio de limpieza diario, Aire acondicionado, Extintores, TV, Parking, Vino / champán, Perchero, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Ropa de cama, Artículos de aseo gratis, WiFi gratis, Seguridad 24 horas, Servicio de habitaciones, Enchufe cerca de la cama, Mobiliario exterior, Productos de limpieza, Cafetera, Aseo adicional, Llave de acceso, Habitaciones hipoalergénicas, Servicio de lavandería, Zona de comedor exterior, Microondas, Servicio de streaming (como Netflix), Tetera/cafetera en todas las habitaciones, Toda la unidad en la planta baja, TV de pantalla plana, Toallas, Lavadora, Habitaciones familiares, Tendedero, Plancha para pantalones, Español, Nevera, Utensilios de cocina, Papel higiénico, Detector de monóxido de carbono, Horno, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516240613.jpg?k=bd40781f37d4bc3214d86ffad826cec9447b5d8fd3b8ecedeff3f97406032216&o=&hp=1,Arauca,Colombia
Hotel Punta Arena Spa Boutique,https://www.booking.com/hotel/co/punta-arena-spa-boutique.es.html?aid=2410095,"El Hotel Punta Arena Spa Boutique se encuentra en Arauca, cerca del distrito comercial y financiero, y ofrece centro de spa y bañera de hidromasaje. Este hotel tiene vistas a su piscina al aire libre y dispone de restaurante. Hay aparcamiento privado gratuito.

Todas las habitaciones del hotel cuentan con aire acondicionado y TV de pantalla plana. Algunas tienen zona de estar. Las habitaciones incluyen baño privado con ducha. El Hotel Punta Arena Spa Boutique proporciona conexión WiFi gratuita en todas las instalaciones. También hay TV con canales vía satélite.

La recepción está abierta las 24 horas.","Secador de pelo, Terraza, Bañera o ducha, Habitaciones sin humo, Teléfono, Canales de pago, Baño privado, Jardín, Extintores, WC con barras de apoyo, Instalaciones de spa, Parking gratis, Parking en un garaje, Ropa de cama, Servicio de habitaciones, Masaje de pies, Masaje de cabeza, Utensilios de planchado, Restaurante, Masaje de espalda, Piscina interior, Servicio de entrega de comestibles, Vestidor, Entretenimiento nocturno, De temporada, Aire acondicionado, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Muy buen desayuno, WiFi gratis, Enchufe cerca de la cama, Canales por cable, Habitaciones insonorizadas, Tarjeta de acceso, Desayuno en la habitación, Zona de estar, Escritorio, Salas de reuniones / banquetes, Baño de vapor, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Masaje de cuello, Canales vía satélite, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Papel higiénico, Fax / fotocopiadora, Sombrillas, Suelo de baldosa / mármol, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Caja fuerte, Masaje de manos, TV, Armario, Masajes, Acceso a pisos superiores en ascensor, Seguridad 24 horas, Artículos de aseo gratis, Sauna, Productos de limpieza, Servicio de planchado, Guardaequipaje, WC, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Español, Prohibido fumar en todo el alojamiento, Vistas, Recepción 24 horas, Ventilador, Calefacción, Masaje en pareja, Vino / champán, Información turística, Snack-bar, Registro de entrada y salida exprés, Registro de entrada / salida privado, Menús para dietas especiales (bajo petición), Fruta, Ducha, Plancha para ropa, Taquillas, Servicio de despertador, Para todas las edades, Servicio de lavandería, Masaje corporal completo, Piscina infantil, Tumbonas/sillas de playa, Vistas a la ciudad, Ascensor, Minibar, Paquetes de spa / bienestar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552111439.jpg?k=7f9b38e3d15745f043b5aafcb61480badacef08886f9f8c3193f706eff6b33a1&o=&hp=1,Arauca,Colombia
Santa Barbara Arauca,https://www.booking.com/hotel/co/santa-barbara-arauca.es.html?aid=2410095,"Este establecimiento tiene piscina al aire libre, galerías españolas y un patio central. Se encuentra a 10 minutos en coche del aeropuerto de Santiago Pérez, en Arauca. Cuenta con sauna.

Las habitaciones del Santa Bárbara Arauca son funcionales y disponen de TV por cable y baño privado con ducha. Algunas están equipadas con aire acondicionado.

Todos los días se sirve un desayuno americano, que incluye el famoso café de Colombia. En el bar se ofrecen bebidas.

La catedral de Santa Bárbara está a 4 calles del hotel, mientras que el río Arauca se encuentra a 10 calles. Se pueden alquilar bicicletas.","Almuerzos para llevar, Caja fuerte, Baños públicos, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Minibar, Recepción 24 horas, Baño privado, Jardín, Centro de negocios, Aire acondicionado, Instalaciones de spa, Solárium, Menú para niños, Información turística, Vídeo, Snack-bar, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, WiFi gratis, Ducha, Sauna, Servicio de habitaciones, Taquillas en el gimnasio / spa, Zona de pícnic, Barbacoa, Mobiliario exterior, Radio, Canales por cable, Piscina al aire libre, Desayuno en la habitación, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Máquina expendedora (bebidas), Terraza / solárium, Bar, Restaurante, Abierta todo el año, Tumbonas/sillas de playa, Habitaciones familiares, Español, Artículos de aseo gratis, Fax / fotocopiadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/291540958.jpg?k=e799ea9be3f3957bc5d717b11953f2afec8ecd690f1064a4afe310ef21b51a53&o=&hp=1,Arauca,Colombia
Hotel Cima Real,https://www.booking.com/hotel/co/cima-real.es.html?aid=2410095,"Hotel Cima Real se encuentra en Arauca, a 3,2 km de Arauca Municipal Stadium, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. Este hotel de 4 estrellas ofrece bar y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

En el hotel, todas las habitaciones disponen de escritorio. Todas las unidades del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto Santiago Pérez) está a 3 km.","Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Piscina, Recepción 24 horas, Inglés, Baño privado, Jardín, Aire acondicionado, Perchero, Parking gratis, WiFi gratis, Ducha, Servicio de habitaciones, Escritorio, Bar, TV de pantalla plana, Balcón, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584448509.jpg?k=0e0c27eceaf724ae203c2b351acce40b9657a23ee9bf322e238488b21769b907&o=&hp=1,Arauca,Colombia
Apartamento Las Palmas,https://www.booking.com/hotel/co/apartamento-las-palmas-arauca.es.html?aid=2410095,"Apartamento Las Palmas está a 3,2 km de Arauca Municipal Stadium, en Arauca, y ofrece alojamiento con cocina.

Este apartamento de 2 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar.

El aeropuerto (Aeropuerto Santiago Pérez) está a 3 km.","Parking, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Lavadora, Vistas, Español, Cocina, Inglés, Aire acondicionado, Escritorio",https://cf.bstatic.com/xdata/images/hotel/max1024x768/433030019.jpg?k=efce8f0683bbced16392ed62cf7b8c3c6068ea5cd803c26a1c56d68a65c411b2&o=&hp=1,Arauca,Colombia
