hotel,hotel_url,description,popular_facilities,highres_url,city,country
Soft Win Hotel São Luís,https://www.booking.com/hotel/br/soft-inn-sapso-luis.es.html?aid=2410095,"El Soft Win Hotel São Luís ofrece habitaciones de calidad con WiFi gratuita en todo el establecimiento y recepción abierta las 24 horas a solo 4 km del centro de la ciudad de São Luís. La playa de Ponta d'Areia queda a 260 metros.

Las habitaciones presentan una decoración sencilla y moderna, aire acondicionado, TV de pantalla plana, minibar, escritorio y artículos de aseo.

Por la mañana se sirve un desayuno. A menos de 2 minutos a pie hay varios sitios para comer, como un bar de pizzas y hamburguesas. El desayuno es opcional y no está incluido en la tarifa de reserva.

El Soft Win Hotel São Luís se encuentra a 1 km de la laguna Lagoa da Jansen, a 7 km del centro histórico de São Luís y a 17 km del aeropuerto internacional Marechal Cunha Machado.","Inglés, Snack-bar, TV de pantalla plana, Extintores, Restaurante, Información turística, Desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Minibar, Guardaequipaje, Supermercado pequeño en el alojamiento, Ducha, Servicio de limpieza diario, Canales por cable, Parking gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/91742714.jpg?k=f8a3b714cd7d51010c0d82d61b98e972ac0436ba3819045edcdc37eaaebf5c1d&o=&hp=1,São Luís,Brasil
Solar dos Poetas,https://www.booking.com/hotel/br/solar-dos-poetas-sao-luis1.es.html?aid=2410095,"Solar dos Poetas se encuentra en São Luís y dispone de salón de uso común, terraza, bar y wifi gratis en todo el alojamiento. El alojamiento está a unos 3 min a pie de Teatro Arthur Azevedo, a 200 metros de Museo Histórico y Artístico do Maranhão y a 6 min a pie de Museo de Arte Sacro. El alojamiento ofrece servicio de habitaciones y guardaequipaje.

Algunas unidades de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también disponen de vistas a la ciudad. En el hotel, todas las habitaciones cuentan con ropa de cama y toallas.

El personal, que habla inglés, español, francés y portugués, ofrece información en la recepción.

Cerca del alojamiento hay puntos de interés como Fuente de la Piedra, Ayuntamiento de São Luis y Cafua das Mercês - Museo del Negro. El aeropuerto más cercano (Aeropuerto internacional Marechal Cunha Machado) está a 12 km del alojamiento.","Terraza, Inglés, Bar, Extintores, Ropa de cama, Galerías de arte temporales, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Happy hour, Registro de entrada y salida exprés, Alarma de seguridad, Servicio de despertador, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Minibar, Español, Francés, Guardaequipaje, Supermercado pequeño en el alojamiento, Ducha, Salas de reuniones / banquetes, Toallas, Artículos de aseo gratis, Billar, Eventos deportivos en directo (emisión), Proporciona factura, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Baño privado, Recepción 24 horas, Detectores de humo, Zona TV / salón de uso compartido, WC, Aire acondicionado, Zona de spa / relajación, Habitaciones familiares, Zona de comedor exterior, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/534252546.jpg?k=93ee5282cd9eff99033babde23502c0a2c0b8692fa09fa3446df1adfdbc1dc61&o=&hp=1,São Luís,Brasil
Boulevard Park Hotel,https://www.booking.com/hotel/br/boulevard-park-sao-luis.es.html?aid=2410095,"El Boulevard Park Hotel, situado a 11 km del centro histórico y a 11 km del Museo de Arte Sacro, ofrece habitaciones en São Luís. Este hotel de 2 estrellas cuenta con jardín y habitaciones con aire acondicionado, conexión Wi-Fi gratuita y baño privado. El alojamiento dispone de recepción 24 horas y salón compartido.

Las habitaciones incluyen escritorio y TV de pantalla plana. Todas las habitaciones tienen armario.

El Boulevard Park Hotel sirve un desayuno buffet.

El Museo de Arte e Historia de Maranhao y el Teatro Arthur Azevedo se encuentran a 11 km del alojamiento. El aeropuerto más cercano es el aeropuerto internacional Marechal Cunha Machado, situado a 2,2 km del Boulevard Park Hotel.","Parking gratis, Parking en un garaje, Jardín, Vino / champán, Portugués, Servicio de lavandería, Restaurante, Recepción 24 horas, Buen desayuno, Parking adaptado para personas de movilidad reducida, Zona TV / salón de uso compartido, Aire acondicionado, Habitaciones familiares, Almuerzos para llevar, WiFi gratis, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/519862105.jpg?k=57179c815781bfb2307a71d2076669a05f3da73fdaa79903439f3144d281091d&o=&hp=1,São Luís,Brasil
Pousada Tambaú,https://www.booking.com/hotel/br/pousada-tambau.es.html?aid=2410095,"La Pousada Tambaú se encuentra en la playa de Praia do Calhau de São Luís, a 15 minutos en coche del centro histórico. Ofrece alojamiento con TV por cable y conexión Wi-Fi gratuita.

Las habitaciones de la Tambaú presentan suelo de baldosa y están equipadas con muebles sencillos, minibar y baño privado con ducha.

En el comedor se sirve un desayuno típico brasileño con una selección de frutas exóticas, zumos, pan y pasteles. También hay servicio de restaurante.

La Pousada se encuentra a 10 minutos en coche de la preciosa Lagoa da Jansen y a 20 minutos en coche del aeropuerto internacional Marechal Cunha Machado.","Terraza, Playa, Bar, Snack-bar, TV de pantalla plana, Servicio de lavandería, Extintores, Situado frente a la playa, Restaurante, Ropa de cama, Vistas a un lugar de interés, Perchero, WiFi gratis, Fruta, Cámaras de seguridad en las zonas comunitarias, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Terraza / solárium, Bañera o ducha, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Suelo de baldosa / mármol, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Recepción 24 horas, WC, Aire acondicionado, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/138624830.jpg?k=75f3aea28b193addf4f4dca4e5b32b33ed4f7a006448a4692a4958bd49e4a558&o=&hp=1,São Luís,Brasil
Hotel Pilão,https://www.booking.com/hotel/br/pilao.es.html?aid=2410095,"Este hotel se encuentra a 4 km de la estación de autobuses de São Luís y del aeropuerto internacional de Cunha Machado y ofrece habitaciones con aire acondicionado, conexión Wi-Fi gratuita, aparcamiento gratuito y un restaurante. Los servicios de lavandería, traslado y masajes están disponibles por un suplemento.

Las habitaciones del Hotel Pilão tienen suelo de baldosa y baño privado. TV, reproductor de DVD y minibar. Se proporcionan toallas y ropa de cama.

El encantador centro histórico de São Luís se encuentra a 8 km. La pintoresca localidad de Alcântara está situada a 20 km del Hotel Pilão.","Peluquería / salón de belleza, Snack-bar, Servicio de lavandería, Llave de acceso, Información turística, Menús para dietas especiales (bajo petición), Adaptado personas de movilidad reducida, WiFi gratis, Parking en la calle, Traslado aeropuerto, Fruta, Fax / fotocopiadora, Alarma de seguridad, Habitaciones sin humo, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Menú para niños, Español, Guardaequipaje, Servicio de planchado, Servicio de aparcacoches, Buen desayuno, Servicio de limpieza diario, Jardín, Proporciona factura, Tours a pie, WC con barras de apoyo, Servicio de habitaciones, Ruta de bares, Parking gratis, Portugués, Adaptado para sillas de ruedas, Recepción 24 horas, Aire acondicionado, Habitaciones familiares, Taquillas, Servicio de traslado, Galerías de arte temporales",https://cf.bstatic.com/xdata/images/hotel/max1024x768/572226023.jpg?k=a31f80e9e640f07ae2b4973a311ef28efe2f098144031e936e6596c0d72646b9&o=&hp=1,São Luís,Brasil
Hotel Santos Dumont Aeroporto SLZ,https://www.booking.com/hotel/br/santos-dumont-slz.es.html?aid=2410095,"Hotel Santos Dumont Aeroporto SLZ está en São Luís, a 10 km de Iglesia de São Pantaleão y a 11 km de Fuente de la Piedra. Este hotel de 3 estrellas ofrece restaurante y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de recepción 24 horas y guardaequipaje.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, las habitaciones tienen ropa de cama y toallas.

Museo Histórico y Artístico do Maranhão está a 11 km del alojamiento, y Teatro Arthur Azevedo está a 11 km. El aeropuerto (Aeropuerto internacional Marechal Cunha Machado) está a 2 km.","Acceso a pisos superiores en ascensor, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Ropa de cama, Zona de comedor, Adaptado personas de movilidad reducida, WiFi gratis, Teléfono, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones insonorizadas, Guardaequipaje, Salas de reuniones / banquetes, Toallas, Buen desayuno, Servicio de limpieza diario, WC con barras de apoyo, Seguridad 24 horas, Parking gratis, Baño privado, Parking en un garaje, Caja fuerte para ordenador portátil, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Aire acondicionado, Lavamanos más bajo, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/451797183.jpg?k=16233221679a13edc3a8336fa4e441dcf2ecdf1ac6e07ac4bff0542558a55cee&o=&hp=1,São Luís,Brasil
Hotel Premier,https://www.booking.com/hotel/br/premier.es.html?aid=2410095,"El Hotel Premier está situado entre la playa de Ponta D'areia y la Lagoa do Jansen. Ofrece habitaciones con conexión Wi-Fi gratuita y TV y aparcamiento privado por un suplemento.

Todas las habitaciones del Premier Hotel están equipadas con aire acondicionado, minibar y baño privado.

El Hotel Premier cuenta con recepción abierta las 24 horas, mostrador de información turística y servicio de alquiler de coches.

Todas las mañanas se sirve un desayuno bufé en la cafetería.

La Villa Premier está situada junto al Hotel Premier y ofrece restaurantes, tiendas y otros servicios.","Peluquería / salón de belleza, Inglés, Tarjeta de acceso, Extintores, Escritorio, Alquiler de coches, Desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Parking privado, Teléfono, TV, Prohibido fumar en todo el alojamiento, Minibar, Guardaequipaje, Supermercado pequeño en el alojamiento, Ducha, Salas de reuniones / banquetes, WC con barras de apoyo, Parking en un garaje, Baño privado, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/66473925.jpg?k=dc40968c721943ef87a303cd968b5d422dd534d4dd360aca0f4d46ab351bdc75&o=&hp=1,São Luís,Brasil
Praiabella Hotel,https://www.booking.com/hotel/br/solare-praiabella.es.html?aid=2410095,"El Praiabella Hotel ofrece alojamiento moderno a solo unos minutos a pie de la playa de Calhau, en la pintoresca localidad de São Luis. Además, hay piscina con vistas al océano Atlántico.

Las habitaciones son cómodas, presentan una decoración sencilla e incluyen TV LCD y aire acondicionado. Algunas cuentan con vistas panorámicas al océano Atlántico. Todas disponen de balcón privado.

Los huéspedes del Praiabella Hotel pueden cenar en el restaurante del hotel, que está abierto para el desayuno, el almuerzo y la cena. El menú del restaurante se centra en la cocina regional. El bar propone refrescos y aperitivos ligeros.","Tumbonas/sillas de playa, Inglés, Playa, Bar, Tarjeta de acceso, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Situado frente a la playa, Restaurante, Sombrillas, Escritorio, Menús para dietas especiales (bajo petición), Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Registro de entrada / salida privado, Piscina al aire libre, Teléfono, Fruta, Servicio de conserjería, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Centro de negocios, Piscina con vistas, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Bar en la piscina, Servicio de limpieza diario, Gimnasio, Solo para adultos, Canales por cable, Desayuno en la habitación, Servicio de limpieza en seco, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Parking en un garaje, Vino / champán, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Toallas de playa/piscina, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/487985620.jpg?k=bfc0a8039e0add7171ddfb94f1c8a023bb5d375ba1935ec7c987364c98b6818a&o=&hp=1,São Luís,Brasil
Mais Hotel Express,https://www.booking.com/hotel/br/mais-express.es.html?aid=2410095,"Mais Hotel Express está en São Luís, a 12 km de Iglesia de São Pantaleão y a 12 km de Fuente de la Piedra. Ofrece alojamiento con salón de uso común y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento está a unos 13 km de Museo Histórico y Artístico do Maranhão, a 13 km de Teatro Arthur Azevedo y a 13 km de Palacio del León. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Todas las habitaciones tienen baño privado, artículos de aseo gratuitos y ropa de cama.

En el hotel cápsula se sirve cada mañana un desayuno americano.

Pedra da Memória está a 13 km del alojamiento, y Ayuntamiento de São Luis está a 13 km. El aeropuerto (Aeropuerto internacional Marechal Cunha Machado) está a pocos pasos.","Peluquería / salón de belleza, Inglés, Servicios de belleza, TV de pantalla plana, Extintores, Ropa de cama, Zona de fumadores, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Registro de entrada / salida privado, Alarma de seguridad, Fax / fotocopiadora, Corte de pelo, Parking adaptado para personas de movilidad reducida, WC elevado, TV, Prohibido fumar en todo el alojamiento, Ducha, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Suelo de baldosa / mármol, WC con barras de apoyo, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Adaptado para sillas de ruedas, Recepción 24 horas, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, WC, Aire acondicionado, Lavamanos más bajo, Acceso a pisos superiores solo mediante escaleras, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523371806.jpg?k=ffb9ad8f2359b192bf9f372cb2922e9cff90b5cf607e07fb80b2f3676e21acb5&o=&hp=1,São Luís,Brasil
Hotel Praia Ponta d'Areia,https://www.booking.com/hotel/br/praia-ponta-da-areia.es.html?aid=2410095,"El Hotel Praia Ponta D'Areia ofrece acogedoras habitaciones con vistas a la laguna Jansen o la piscina, y está ubicado a 6 km del centro de São Luis. Además, se encuentra a pocos pasos de la famosa playa de Ponta D'Areia y la laguna de Jansen, y en los alrededores también se pueden encontrar bares, restaurantes, discotecas, tiendas, supermercados y centros comerciales.

Este establecimiento dispone de habitaciones con aire acondicionado y piscina al aire libre.

El restaurante sirve un desayuno variado y platos de cocina regional e internacional para el almuerzo y la cena. Hay servicio de habitaciones 24 horas.","Peluquería / salón de belleza, Tumbonas/sillas de playa, Acceso a pisos superiores en ascensor, Bar, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Insonorización, Restaurante, Ropa de cama, Escritorio, Zona de fumadores, Alquiler de coches, Sombrillas, Desayuno, Zona poco profunda, WiFi gratis, Enchufe cerca de la cama, Parking en la calle, Piscina al aire libre, Teléfono, Fruta, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Habitaciones insonorizadas, Caja fuerte, Buffet para niños, Guardaequipaje, Canales vía satélite, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Bidet, Armario, Toallas, Servicio de limpieza diario, Jardín, Suelo de baldosa / mármol, Canales por cable, Desayuno en la habitación, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Vino / champán, Portugués, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Taquillas, Balcón, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/544441946.jpg?k=5cdf3e9014698e18ae0ddf81894c079f3a442ebc9b305b4a2b5da922c0b4f70e&o=&hp=1,São Luís,Brasil
